{u'lastRequest': 0, u'lastquality': 2, u'deviceTime': 1557735037798, u'lastChunkStartTime': 1557735036716, u'buffer': 4, u'nextChunkSize': [2123065, 1431809, 957685, 611087, 398865, 155580], u'bandwidthEst': 8301.583415597237, u'RebufferTime': 1425, u'droppedFrames': None, u'lastChunkFinishTime': 1557735037729, u'videoPlayed': 0, u'Type': u'BB', u'lastChunkSize': 1051188}
{u'lastRequest': 1, u'lastquality': 4, u'deviceTime': 1557735039116, u'lastChunkStartTime': 1557735037920, u'buffer': 8, u'nextChunkSize': [2177073, 1300868, 877771, 571051, 350812, 139857], u'bandwidthEst': 10191.244247151959, u'RebufferTime': 1425, u'droppedFrames': None, u'lastChunkFinishTime': 1557735038866, u'videoPlayed': 0, u'Type': u'BB', u'lastChunkSize': 1593536}
{u'lastRequest': 2, u'lastquality': 4, u'deviceTime': 1557735043322, u'lastChunkStartTime': 1557735039254, u'buffer': 12, u'nextChunkSize': [2160877, 1520281, 933276, 617681, 382355, 155432], u'bandwidthEst': 6305.175869706472, u'RebufferTime': 1425, u'droppedFrames': None, u'lastChunkFinishTime': 1557735043133, u'videoPlayed': 0, u'Type': u'BB', u'lastChunkSize': 2563549}
{u'lastRequest': 3, u'lastquality': 4, u'deviceTime': 1557735046510, u'lastChunkStartTime': 1557735043442, u'buffer': 13.451111000000001, u'nextChunkSize': [2233056, 1472558, 996749, 652874, 411561, 163442], u'bandwidthEst': 6520.71106342726, u'RebufferTime': 1425, u'droppedFrames': {u'droppedFrames': 0, u'totalFrames': 75, u'corruptedFrames': 0, u'time': 16372}, u'lastChunkFinishTime': 1557735046440, u'videoPlayed': 2.548889, u'Type': u'BB', u'lastChunkSize': 2617900}
{u'lastRequest': 4, u'lastquality': 4, u'deviceTime': 1557735048530, u'lastChunkStartTime': 1557735046658, u'buffer': 15.427207, u'nextChunkSize': [1941625, 1224260, 801058, 520315, 318564, 126289], u'bandwidthEst': 6681.937635911985, u'RebufferTime': 1425, u'droppedFrames': {u'droppedFrames': 0, u'totalFrames': 134, u'corruptedFrames': 0, u'time': 18339}, u'lastChunkFinishTime': 1557735048483, u'videoPlayed': 4.572793, u'Type': u'BB', u'lastChunkSize': 1731610}
{u'lastRequest': 5, u'lastquality': 4, u'deviceTime': 1557735050102, u'lastChunkStartTime': 1557735048678, u'buffer': 17.910365000000002, u'nextChunkSize': [2157535, 1388403, 905515, 561791, 352642, 153295], u'bandwidthEst': 6881.003544860181, u'RebufferTime': 1425, u'droppedFrames': {u'droppedFrames': 0, u'totalFrames': 184, u'corruptedFrames': 0, u'time': 20004}, u'lastChunkFinishTime': 1557735050061, u'videoPlayed': 6.156301, u'Type': u'BB', u'lastChunkSize': 1844248}
{u'lastRequest': 6, u'lastquality': 4, u'deviceTime': 1557735051402, u'lastChunkStartTime': 1557735050217, u'buffer': 20.583405, u'nextChunkSize': [2290172, 1638769, 1060487, 709534, 437162, 173849], u'bandwidthEst': 6956.838234179393, u'RebufferTime': 1425, u'droppedFrames': {u'droppedFrames': 0, u'totalFrames': 218, u'corruptedFrames': 0, u'time': 21134}, u'lastChunkFinishTime': 1557735051331, u'videoPlayed': 7.449928, u'Type': u'BB', u'lastChunkSize': 2017939}
{u'lastRequest': 7, u'lastquality': 4, u'deviceTime': 1557735052440, u'lastChunkStartTime': 1557735051508, u'buffer': 23.535702, u'nextChunkSize': [2055469, 1348011, 852833, 584846, 374758, 150710], u'bandwidthEst': 8876.870578627708, u'RebufferTime': 1425, u'droppedFrames': {u'droppedFrames': 0, u'totalFrames': 253, u'corruptedFrames': 0, u'time': 22292}, u'lastChunkFinishTime': 1557735052351, u'videoPlayed': 8.505083, u'Type': u'BB', u'lastChunkSize': 2043036}
{u'lastRequest': 8, u'lastquality': 4, u'deviceTime': 1557735053803, u'lastChunkStartTime': 1557735052556, u'buffer': 26.15, u'nextChunkSize': [2169201, 1429765, 913888, 560821, 362795, 139105], u'bandwidthEst': 11214.981452403636, u'RebufferTime': 1425, u'droppedFrames': {u'droppedFrames': 0, u'totalFrames': 295, u'corruptedFrames': 0, u'time': 23696}, u'lastChunkFinishTime': 1557735053672, u'videoPlayed': 9.85, u'Type': u'BB', u'lastChunkSize': 2235700}
{u'lastRequest': 9, u'lastquality': 4, u'deviceTime': 1557735054792, u'lastChunkStartTime': 1557735053938, u'buffer': 29.177063, u'nextChunkSize': [2173522, 1354548, 939819, 607410, 353220, 141840], u'bandwidthEst': 14741.121140969268, u'RebufferTime': 1425, u'droppedFrames': {u'droppedFrames': 0, u'totalFrames': 321, u'corruptedFrames': 0, u'time': 24549}, u'lastChunkFinishTime': 1557735054743, u'videoPlayed': 10.822937, u'Type': u'BB', u'lastChunkSize': 2173605}
{u'lastRequest': 10, u'lastquality': 4, u'deviceTime': 1557735058083, u'lastChunkStartTime': 1557735054900, u'buffer': 29.939518999999997, u'nextChunkSize': [2102452, 1519951, 917428, 594078, 405134, 156148], u'bandwidthEst': 18144.35309320405, u'RebufferTime': 1425, u'droppedFrames': {u'droppedFrames': 0, u'totalFrames': 422, u'corruptedFrames': 0, u'time': 27940}, u'lastChunkFinishTime': 1557735055468, u'videoPlayed': 14.133333, u'Type': u'BB', u'lastChunkSize': 2268048}
{u'lastRequest': 11, u'lastquality': 4, u'deviceTime': 1557735062188, u'lastChunkStartTime': 1557735058217, u'buffer': 29.975804999999998, u'nextChunkSize': [2209463, 1422919, 946851, 624282, 386351, 160746], u'bandwidthEst': 20118.561916457653, u'RebufferTime': 1425, u'droppedFrames': {u'droppedFrames': 0, u'totalFrames': 541, u'corruptedFrames': 0, u'time': 31904}, u'lastChunkFinishTime': 1557735059135, u'videoPlayed': 18.218992, u'Type': u'BB', u'lastChunkSize': 2444916}
{u'lastRequest': 12, u'lastquality': 4, u'deviceTime': 1557735066110, u'lastChunkStartTime': 1557735062305, u'buffer': 29.970757, u'nextChunkSize': [2275376, 1578343, 1036454, 687371, 434409, 179801], u'bandwidthEst': 17419.21254051383, u'RebufferTime': 1425, u'droppedFrames': {u'droppedFrames': 0, u'totalFrames': 660, u'corruptedFrames': 0, u'time': 35875}, u'lastChunkFinishTime': 1557735063526, u'videoPlayed': 22.150305, u'Type': u'BB', u'lastChunkSize': 1903216}
{u'lastRequest': 13, u'lastquality': 4, u'deviceTime': 1557735070649, u'lastChunkStartTime': 1557735066242, u'buffer': 29.446281, u'nextChunkSize': [2005399, 1231445, 821631, 526950, 337059, 140051], u'bandwidthEst': 18352.733973433613, u'RebufferTime': 1425, u'droppedFrames': {u'droppedFrames': 0, u'totalFrames': 794, u'corruptedFrames': 0, u'time': 40400}, u'lastChunkFinishTime': 1557735067080, u'videoPlayed': 26.716392, u'Type': u'BB', u'lastChunkSize': 2142408}
{u'lastRequest': 14, u'lastquality': 4, u'deviceTime': 1557735074640, u'lastChunkStartTime': 1557735070756, u'buffer': 29.482782, u'nextChunkSize': [2152483, 1471065, 923170, 587876, 366214, 138313], u'bandwidthEst': 18370.8038975587, u'RebufferTime': 1425, u'droppedFrames': {u'droppedFrames': 0, u'totalFrames': 912, u'corruptedFrames': 0, u'time': 44364}, u'lastChunkFinishTime': 1557735071562, u'videoPlayed': 30.678644, u'Type': u'BB', u'lastChunkSize': 2189508}
