{u'decodedSeries': 16, u'videoSeries': 0.410529, u'presentedSeries': 12, u'presentedTime': 1557735236861, u'decodedTime': 1557735236861, u'fpsSeries': 15, u'fpsTime': 1557735236861}
{u'decodedSeries': 45, u'videoSeries': 1.38575, u'presentedSeries': 42, u'presentedTime': 1557735237860, u'decodedTime': 1557735237860, u'fpsSeries': 44, u'fpsTime': 1557735237860}
{u'decodedSeries': 76, u'videoSeries': 2.397696, u'presentedSeries': 72, u'presentedTime': 1557735238861, u'decodedTime': 1557735238861, u'fpsSeries': 75, u'fpsTime': 1557735238861}
{u'decodedSeries': 106, u'videoSeries': 3.408593, u'presentedSeries': 102, u'presentedTime': 1557735239861, u'decodedTime': 1557735239861, u'fpsSeries': 104, u'fpsTime': 1557735239861}
{u'decodedSeries': 136, u'videoSeries': 4.378145, u'presentedSeries': 132, u'presentedTime': 1557735240862, u'decodedTime': 1557735240862, u'fpsSeries': 134, u'fpsTime': 1557735240862}
{u'decodedSeries': 165, u'videoSeries': 5.392497, u'presentedSeries': 162, u'presentedTime': 1557735241862, u'decodedTime': 1557735241862, u'fpsSeries': 165, u'fpsTime': 1557735241862}
{u'decodedSeries': 196, u'videoSeries': 6.409816, u'presentedSeries': 192, u'presentedTime': 1557735242861, u'decodedTime': 1557735242861, u'fpsSeries': 194, u'fpsTime': 1557735242861}
{u'decodedSeries': 225, u'videoSeries': 7.377892, u'presentedSeries': 222, u'presentedTime': 1557735243861, u'decodedTime': 1557735243861, u'fpsSeries': 225, u'fpsTime': 1557735243861}
{u'decodedSeries': 256, u'videoSeries': 8.390381, u'presentedSeries': 252, u'presentedTime': 1557735244862, u'decodedTime': 1557735244861, u'fpsSeries': 254, u'fpsTime': 1557735244862}
{u'decodedSeries': 285, u'videoSeries': 9.402022, u'presentedSeries': 282, u'presentedTime': 1557735245862, u'decodedTime': 1557735245861, u'fpsSeries': 285, u'fpsTime': 1557735245862}
{u'decodedSeries': 315, u'videoSeries': 10.410811, u'presentedSeries': 312, u'presentedTime': 1557735246862, u'decodedTime': 1557735246862, u'fpsSeries': 315, u'fpsTime': 1557735246862}
{u'decodedSeries': 345, u'videoSeries': 11.384488, u'presentedSeries': 342, u'presentedTime': 1557735247862, u'decodedTime': 1557735247862, u'fpsSeries': 344, u'fpsTime': 1557735247862}
{u'decodedSeries': 375, u'videoSeries': 12.397675, u'presentedSeries': 372, u'presentedTime': 1557735248863, u'decodedTime': 1557735248863, u'fpsSeries': 374, u'fpsTime': 1557735248863}
{u'decodedSeries': 405, u'videoSeries': 13.410591, u'presentedSeries': 402, u'presentedTime': 1557735249864, u'decodedTime': 1557735249864, u'fpsSeries': 405, u'fpsTime': 1557735249864}
{u'decodedSeries': 436, u'videoSeries': 14.382833, u'presentedSeries': 432, u'presentedTime': 1557735250864, u'decodedTime': 1557735250864, u'fpsSeries': 435, u'fpsTime': 1557735250864}
{u'decodedSeries': 465, u'videoSeries': 15.395933, u'presentedSeries': 462, u'presentedTime': 1557735251865, u'decodedTime': 1557735251864, u'fpsSeries': 465, u'fpsTime': 1557735251865}
{u'decodedSeries': 495, u'videoSeries': 16.403562, u'presentedSeries': 492, u'presentedTime': 1557735252864, u'decodedTime': 1557735252864, u'fpsSeries': 495, u'fpsTime': 1557735252864}
{u'decodedSeries': 526, u'videoSeries': 17.415574, u'presentedSeries': 522, u'presentedTime': 1557735253864, u'decodedTime': 1557735253864, u'fpsSeries': 524, u'fpsTime': 1557735253864}
{u'decodedSeries': 556, u'videoSeries': 18.384635, u'presentedSeries': 552, u'presentedTime': 1557735254866, u'decodedTime': 1557735254866, u'fpsSeries': 553, u'fpsTime': 1557735254866}
{u'decodedSeries': 586, u'videoSeries': 19.392717, u'presentedSeries': 582, u'presentedTime': 1557735255866, u'decodedTime': 1557735255866, u'fpsSeries': 584, u'fpsTime': 1557735255866}
{u'decodedSeries': 616, u'videoSeries': 20.40346, u'presentedSeries': 612, u'presentedTime': 1557735256866, u'decodedTime': 1557735256866, u'fpsSeries': 614, u'fpsTime': 1557735256866}
{u'decodedSeries': 646, u'videoSeries': 21.412766, u'presentedSeries': 642, u'presentedTime': 1557735257866, u'decodedTime': 1557735257866, u'fpsSeries': 644, u'fpsTime': 1557735257866}
{u'decodedSeries': 675, u'videoSeries': 22.383997, u'presentedSeries': 672, u'presentedTime': 1557735258867, u'decodedTime': 1557735258867, u'fpsSeries': 674, u'fpsTime': 1557735258867}
{u'decodedSeries': 705, u'videoSeries': 23.391946, u'presentedSeries': 702, u'presentedTime': 1557735259867, u'decodedTime': 1557735259867, u'fpsSeries': 704, u'fpsTime': 1557735259867}
{u'decodedSeries': 733, u'videoSeries': 24.402291, u'presentedSeries': 730, u'presentedTime': 1557735260867, u'decodedTime': 1557735260867, u'fpsSeries': 732, u'fpsTime': 1557735260867}
{u'decodedSeries': 764, u'videoSeries': 25.412305, u'presentedSeries': 760, u'presentedTime': 1557735261867, u'decodedTime': 1557735261867, u'fpsSeries': 762, u'fpsTime': 1557735261867}
{u'decodedSeries': 794, u'videoSeries': 26.381096, u'presentedSeries': 790, u'presentedTime': 1557735262867, u'decodedTime': 1557735262867, u'fpsSeries': 792, u'fpsTime': 1557735262867}
{u'decodedSeries': 824, u'videoSeries': 27.39127, u'presentedSeries': 820, u'presentedTime': 1557735263867, u'decodedTime': 1557735263867, u'fpsSeries': 822, u'fpsTime': 1557735263867}
{u'decodedSeries': 853, u'videoSeries': 28.4, u'presentedSeries': 849, u'presentedTime': 1557735264868, u'decodedTime': 1557735264868, u'fpsSeries': 851, u'fpsTime': 1557735264868}
{u'decodedSeries': 883, u'videoSeries': 29.4195, u'presentedSeries': 879, u'presentedTime': 1557735265868, u'decodedTime': 1557735265868, u'fpsSeries': 881, u'fpsTime': 1557735265868}
{u'decodedSeries': 913, u'videoSeries': 30.392956, u'presentedSeries': 909, u'presentedTime': 1557735266868, u'decodedTime': 1557735266868, u'fpsSeries': 911, u'fpsTime': 1557735266868}
{u'decodedSeries': 943, u'videoSeries': 31.403701, u'presentedSeries': 939, u'presentedTime': 1557735267869, u'decodedTime': 1557735267869, u'fpsSeries': 941, u'fpsTime': 1557735267869}
{u'decodedSeries': 973, u'videoSeries': 32.411305, u'presentedSeries': 969, u'presentedTime': 1557735268869, u'decodedTime': 1557735268869, u'fpsSeries': 971, u'fpsTime': 1557735268869}
{u'decodedSeries': 1003, u'videoSeries': 33.420665, u'presentedSeries': 999, u'presentedTime': 1557735269869, u'decodedTime': 1557735269868, u'fpsSeries': 1001, u'fpsTime': 1557735269869}
{u'decodedSeries': 1033, u'videoSeries': 34.387831, u'presentedSeries': 1029, u'presentedTime': 1557735270869, u'decodedTime': 1557735270869, u'fpsSeries': 1031, u'fpsTime': 1557735270869}
{u'decodedSeries': 1063, u'videoSeries': 35.4, u'presentedSeries': 1059, u'presentedTime': 1557735271869, u'decodedTime': 1557735271869, u'fpsSeries': 1061, u'fpsTime': 1557735271869}
{u'decodedSeries': 1093, u'videoSeries': 36.408512, u'presentedSeries': 1089, u'presentedTime': 1557735272870, u'decodedTime': 1557735272870, u'fpsSeries': 1091, u'fpsTime': 1557735272870}
{u'decodedSeries': 1123, u'videoSeries': 37.417701, u'presentedSeries': 1119, u'presentedTime': 1557735273870, u'decodedTime': 1557735273870, u'fpsSeries': 1121, u'fpsTime': 1557735273870}
{u'decodedSeries': 1153, u'videoSeries': 38.385879, u'presentedSeries': 1149, u'presentedTime': 1557735274870, u'decodedTime': 1557735274870, u'fpsSeries': 1151, u'fpsTime': 1557735274870}
{u'decodedSeries': 1183, u'videoSeries': 39.418383, u'presentedSeries': 1179, u'presentedTime': 1557735275870, u'decodedTime': 1557735275870, u'fpsSeries': 1181, u'fpsTime': 1557735275870}
{u'decodedSeries': 1214, u'videoSeries': 40.386163, u'presentedSeries': 1209, u'presentedTime': 1557735276872, u'decodedTime': 1557735276871, u'fpsSeries': 1211, u'fpsTime': 1557735276872}
{u'decodedSeries': 1243, u'videoSeries': 41.402708, u'presentedSeries': 1239, u'presentedTime': 1557735277871, u'decodedTime': 1557735277871, u'fpsSeries': 1241, u'fpsTime': 1557735277871}
{u'decodedSeries': 1273, u'videoSeries': 42.38832, u'presentedSeries': 1269, u'presentedTime': 1557735278876, u'decodedTime': 1557735278876, u'fpsSeries': 1268, u'fpsTime': 1557735278876}
{u'decodedSeries': 1303, u'videoSeries': 43.398116, u'presentedSeries': 1299, u'presentedTime': 1557735279875, u'decodedTime': 1557735279875, u'fpsSeries': 1298, u'fpsTime': 1557735279875}
{u'decodedSeries': 1332, u'videoSeries': 44.419352, u'presentedSeries': 1328, u'presentedTime': 1557735280876, u'decodedTime': 1557735280876, u'fpsSeries': 1327, u'fpsTime': 1557735280876}
{u'decodedSeries': 1362, u'videoSeries': 45.391126, u'presentedSeries': 1358, u'presentedTime': 1557735281876, u'decodedTime': 1557735281876, u'fpsSeries': 1357, u'fpsTime': 1557735281876}
{u'decodedSeries': 1394, u'videoSeries': 46.498552, u'presentedSeries': 1391, u'presentedTime': 1557735282963, u'decodedTime': 1557735282963, u'fpsSeries': 1389, u'fpsTime': 1557735282963}
{u'decodedSeries': 1425, u'videoSeries': 47.513237, u'presentedSeries': 1421, u'presentedTime': 1557735283963, u'decodedTime': 1557735283962, u'fpsSeries': 1418, u'fpsTime': 1557735283963}
{u'decodedSeries': 1453, u'videoSeries': 48.482255, u'presentedSeries': 1450, u'presentedTime': 1557735284963, u'decodedTime': 1557735284963, u'fpsSeries': 1448, u'fpsTime': 1557735284963}
{u'decodedSeries': 1483, u'videoSeries': 49.491973, u'presentedSeries': 1480, u'presentedTime': 1557735285964, u'decodedTime': 1557735285964, u'fpsSeries': 1476, u'fpsTime': 1557735285964}
{u'decodedSeries': 1513, u'videoSeries': 50.507012, u'presentedSeries': 1510, u'presentedTime': 1557735286964, u'decodedTime': 1557735286964, u'fpsSeries': 1508, u'fpsTime': 1557735286964}
{u'decodedSeries': 1543, u'videoSeries': 51.485024, u'presentedSeries': 1540, u'presentedTime': 1557735287964, u'decodedTime': 1557735287964, u'fpsSeries': 1538, u'fpsTime': 1557735287964}
{u'decodedSeries': 1573, u'videoSeries': 52.505043, u'presentedSeries': 1570, u'presentedTime': 1557735288964, u'decodedTime': 1557735288964, u'fpsSeries': 1567, u'fpsTime': 1557735288964}
{u'decodedSeries': 1603, u'videoSeries': 53.501676, u'presentedSeries': 1600, u'presentedTime': 1557735289964, u'decodedTime': 1557735289964, u'fpsSeries': 1597, u'fpsTime': 1557735289964}
{u'decodedSeries': 1633, u'videoSeries': 54.511093, u'presentedSeries': 1630, u'presentedTime': 1557735290966, u'decodedTime': 1557735290965, u'fpsSeries': 1626, u'fpsTime': 1557735290966}
{u'decodedSeries': 1664, u'videoSeries': 55.48049, u'presentedSeries': 1660, u'presentedTime': 1557735291968, u'decodedTime': 1557735291968, u'fpsSeries': 1657, u'fpsTime': 1557735291968}
{u'decodedSeries': 1694, u'videoSeries': 56.490262, u'presentedSeries': 1690, u'presentedTime': 1557735292968, u'decodedTime': 1557735292967, u'fpsSeries': 1687, u'fpsTime': 1557735292968}
{u'decodedSeries': 1724, u'videoSeries': 57.506602, u'presentedSeries': 1720, u'presentedTime': 1557735293968, u'decodedTime': 1557735293968, u'fpsSeries': 1717, u'fpsTime': 1557735293968}
{u'decodedSeries': 1753, u'videoSeries': 58.517979, u'presentedSeries': 1750, u'presentedTime': 1557735294969, u'decodedTime': 1557735294969, u'fpsSeries': 1747, u'fpsTime': 1557735294969}
{u'decodedSeries': 1783, u'videoSeries': 59.48815, u'presentedSeries': 1780, u'presentedTime': 1557735295969, u'decodedTime': 1557735295969, u'fpsSeries': 1777, u'fpsTime': 1557735295969}
{u'decodedSeries': 1814, u'videoSeries': 60.49759, u'presentedSeries': 1810, u'presentedTime': 1557735296969, u'decodedTime': 1557735296969, u'fpsSeries': 1807, u'fpsTime': 1557735296969}
{u'decodedSeries': 1844, u'videoSeries': 61.510762, u'presentedSeries': 1840, u'presentedTime': 1557735297970, u'decodedTime': 1557735297970, u'fpsSeries': 1837, u'fpsTime': 1557735297970}
{u'decodedSeries': 1875, u'videoSeries': 62.522808, u'presentedSeries': 1870, u'presentedTime': 1557735298979, u'decodedTime': 1557735298979, u'fpsSeries': 1867, u'fpsTime': 1557735298979}
{u'decodedSeries': 1904, u'videoSeries': 63.532351, u'presentedSeries': 1900, u'presentedTime': 1557735299979, u'decodedTime': 1557735299979, u'fpsSeries': 1897, u'fpsTime': 1557735299979}
{u'decodedSeries': 1933, u'videoSeries': 64.506292, u'presentedSeries': 1929, u'presentedTime': 1557735300979, u'decodedTime': 1557735300979, u'fpsSeries': 1926, u'fpsTime': 1557735300979}
{u'decodedSeries': 1963, u'videoSeries': 65.514559, u'presentedSeries': 1959, u'presentedTime': 1557735301980, u'decodedTime': 1557735301980, u'fpsSeries': 1956, u'fpsTime': 1557735301980}
{u'decodedSeries': 1994, u'videoSeries': 66.529906, u'presentedSeries': 1990, u'presentedTime': 1557735302981, u'decodedTime': 1557735302981, u'fpsSeries': 1986, u'fpsTime': 1557735302981}
{u'decodedSeries': 2024, u'videoSeries': 67.498686, u'presentedSeries': 2020, u'presentedTime': 1557735303980, u'decodedTime': 1557735303980, u'fpsSeries': 2016, u'fpsTime': 1557735303980}
{u'decodedSeries': 2054, u'videoSeries': 68.506511, u'presentedSeries': 2050, u'presentedTime': 1557735304981, u'decodedTime': 1557735304981, u'fpsSeries': 2046, u'fpsTime': 1557735304981}
{u'decodedSeries': 2084, u'videoSeries': 69.516942, u'presentedSeries': 2080, u'presentedTime': 1557735305982, u'decodedTime': 1557735305981, u'fpsSeries': 2076, u'fpsTime': 1557735305982}
{u'decodedSeries': 2113, u'videoSeries': 70.49705, u'presentedSeries': 2110, u'presentedTime': 1557735306994, u'decodedTime': 1557735306994, u'fpsSeries': 2107, u'fpsTime': 1557735306994}
{u'decodedSeries': 2144, u'videoSeries': 71.508747, u'presentedSeries': 2140, u'presentedTime': 1557735307995, u'decodedTime': 1557735307995, u'fpsSeries': 2137, u'fpsTime': 1557735307995}
{u'decodedSeries': 2172, u'videoSeries': 72.518019, u'presentedSeries': 2168, u'presentedTime': 1557735308995, u'decodedTime': 1557735308995, u'fpsSeries': 2165, u'fpsTime': 1557735308995}
{u'decodedSeries': 2201, u'videoSeries': 73.527909, u'presentedSeries': 2198, u'presentedTime': 1557735309995, u'decodedTime': 1557735309995, u'fpsSeries': 2195, u'fpsTime': 1557735309995}
{u'decodedSeries': 2232, u'videoSeries': 74.536835, u'presentedSeries': 2228, u'presentedTime': 1557735310996, u'decodedTime': 1557735310995, u'fpsSeries': 2224, u'fpsTime': 1557735310996}
{u'decodedSeries': 2261, u'videoSeries': 75.54714, u'presentedSeries': 2258, u'presentedTime': 1557735311996, u'decodedTime': 1557735311996, u'fpsSeries': 2255, u'fpsTime': 1557735311996}
{u'decodedSeries': 2291, u'videoSeries': 76.517512, u'presentedSeries': 2288, u'presentedTime': 1557735312996, u'decodedTime': 1557735312996, u'fpsSeries': 2284, u'fpsTime': 1557735312996}
{u'decodedSeries': 2321, u'videoSeries': 77.532549, u'presentedSeries': 2318, u'presentedTime': 1557735313995, u'decodedTime': 1557735313995, u'fpsSeries': 2315, u'fpsTime': 1557735313995}
{u'decodedSeries': 2353, u'videoSeries': 78.544359, u'presentedSeries': 2348, u'presentedTime': 1557735315013, u'decodedTime': 1557735315013, u'fpsSeries': 2345, u'fpsTime': 1557735315013}
{u'decodedSeries': 2383, u'videoSeries': 79.554506, u'presentedSeries': 2378, u'presentedTime': 1557735316013, u'decodedTime': 1557735316013, u'fpsSeries': 2375, u'fpsTime': 1557735316013}
{u'decodedSeries': 2411, u'videoSeries': 80.565044, u'presentedSeries': 2407, u'presentedTime': 1557735317013, u'decodedTime': 1557735317013, u'fpsSeries': 2404, u'fpsTime': 1557735317013}
{u'decodedSeries': 2441, u'videoSeries': 81.536317, u'presentedSeries': 2437, u'presentedTime': 1557735318013, u'decodedTime': 1557735318013, u'fpsSeries': 2434, u'fpsTime': 1557735318013}
{u'decodedSeries': 2471, u'videoSeries': 82.545659, u'presentedSeries': 2468, u'presentedTime': 1557735319014, u'decodedTime': 1557735319014, u'fpsSeries': 2464, u'fpsTime': 1557735319014}
{u'decodedSeries': 2501, u'videoSeries': 83.558176, u'presentedSeries': 2498, u'presentedTime': 1557735320015, u'decodedTime': 1557735320015, u'fpsSeries': 2494, u'fpsTime': 1557735320015}
{u'decodedSeries': 2531, u'videoSeries': 84.531141, u'presentedSeries': 2527, u'presentedTime': 1557735321015, u'decodedTime': 1557735321015, u'fpsSeries': 2523, u'fpsTime': 1557735321015}
{u'decodedSeries': 2560, u'videoSeries': 85.541563, u'presentedSeries': 2557, u'presentedTime': 1557735322015, u'decodedTime': 1557735322015, u'fpsSeries': 2553, u'fpsTime': 1557735322015}
{u'decodedSeries': 2590, u'videoSeries': 86.552427, u'presentedSeries': 2587, u'presentedTime': 1557735323017, u'decodedTime': 1557735323017, u'fpsSeries': 2583, u'fpsTime': 1557735323017}
{u'decodedSeries': 2620, u'videoSeries': 87.561161, u'presentedSeries': 2617, u'presentedTime': 1557735324016, u'decodedTime': 1557735324016, u'fpsSeries': 2613, u'fpsTime': 1557735324016}
{u'decodedSeries': 2650, u'videoSeries': 88.531475, u'presentedSeries': 2647, u'presentedTime': 1557735325017, u'decodedTime': 1557735325017, u'fpsSeries': 2643, u'fpsTime': 1557735325017}
{u'decodedSeries': 2680, u'videoSeries': 89.550485, u'presentedSeries': 2677, u'presentedTime': 1557735326018, u'decodedTime': 1557735326017, u'fpsSeries': 2673, u'fpsTime': 1557735326018}
{u'decodedSeries': 2710, u'videoSeries': 90.5607, u'presentedSeries': 2707, u'presentedTime': 1557735327022, u'decodedTime': 1557735327022, u'fpsSeries': 2704, u'fpsTime': 1557735327022}
{u'decodedSeries': 2741, u'videoSeries': 91.536346, u'presentedSeries': 2737, u'presentedTime': 1557735328022, u'decodedTime': 1557735328022, u'fpsSeries': 2733, u'fpsTime': 1557735328022}
{u'decodedSeries': 2771, u'videoSeries': 92.550802, u'presentedSeries': 2767, u'presentedTime': 1557735329022, u'decodedTime': 1557735329022, u'fpsSeries': 2764, u'fpsTime': 1557735329022}
{u'decodedSeries': 2800, u'videoSeries': 93.563576, u'presentedSeries': 2797, u'presentedTime': 1557735330023, u'decodedTime': 1557735330023, u'fpsSeries': 2793, u'fpsTime': 1557735330023}
{u'decodedSeries': 2831, u'videoSeries': 94.575967, u'presentedSeries': 2827, u'presentedTime': 1557735331022, u'decodedTime': 1557735331022, u'fpsSeries': 2823, u'fpsTime': 1557735331022}
{u'decodedSeries': 2861, u'videoSeries': 95.547284, u'presentedSeries': 2857, u'presentedTime': 1557735332023, u'decodedTime': 1557735332023, u'fpsSeries': 2853, u'fpsTime': 1557735332023}
{u'decodedSeries': 2890, u'videoSeries': 96.561653, u'presentedSeries': 2886, u'presentedTime': 1557735333023, u'decodedTime': 1557735333023, u'fpsSeries': 2882, u'fpsTime': 1557735333023}
{u'decodedSeries': 2920, u'videoSeries': 97.572749, u'presentedSeries': 2916, u'presentedTime': 1557735334023, u'decodedTime': 1557735334023, u'fpsSeries': 2913, u'fpsTime': 1557735334023}
{u'decodedSeries': 2950, u'videoSeries': 98.54519, u'presentedSeries': 2946, u'presentedTime': 1557735335023, u'decodedTime': 1557735335023, u'fpsSeries': 2942, u'fpsTime': 1557735335023}
{u'decodedSeries': 2980, u'videoSeries': 99.555935, u'presentedSeries': 2976, u'presentedTime': 1557735336023, u'decodedTime': 1557735336023, u'fpsSeries': 2973, u'fpsTime': 1557735336023}
{u'decodedSeries': 3009, u'videoSeries': 100.569926, u'presentedSeries': 3005, u'presentedTime': 1557735337024, u'decodedTime': 1557735337024, u'fpsSeries': 3001, u'fpsTime': 1557735337024}
{u'decodedSeries': 3039, u'videoSeries': 101.540461, u'presentedSeries': 3035, u'presentedTime': 1557735338024, u'decodedTime': 1557735338024, u'fpsSeries': 3032, u'fpsTime': 1557735338024}
{u'decodedSeries': 3068, u'videoSeries': 102.553399, u'presentedSeries': 3065, u'presentedTime': 1557735339025, u'decodedTime': 1557735339024, u'fpsSeries': 3061, u'fpsTime': 1557735339025}
{u'decodedSeries': 3099, u'videoSeries': 103.565436, u'presentedSeries': 3095, u'presentedTime': 1557735340024, u'decodedTime': 1557735340024, u'fpsSeries': 3092, u'fpsTime': 1557735340024}
{u'decodedSeries': 3128, u'videoSeries': 104.539794, u'presentedSeries': 3125, u'presentedTime': 1557735341025, u'decodedTime': 1557735341025, u'fpsSeries': 3121, u'fpsTime': 1557735341025}
{u'decodedSeries': 3158, u'videoSeries': 105.551272, u'presentedSeries': 3155, u'presentedTime': 1557735342025, u'decodedTime': 1557735342024, u'fpsSeries': 3151, u'fpsTime': 1557735342025}
