{u'lastRequest': 0, u'lastquality': 2, u'deviceTime': 1557661985916, u'lastChunkStartTime': 1557661983640, u'buffer': 4, u'nextChunkSize': [2123065, 1431809, 957685, 611087, 398865, 155580], u'bandwidthEst': 3803.4843962008144, u'RebufferTime': 2644, u'droppedFrames': None, u'lastChunkFinishTime': 1557661985851, u'videoPlayed': 0, u'Type': u'BB', u'lastChunkSize': 1051188}
{u'lastRequest': 1, u'lastquality': 4, u'deviceTime': 1557661988136, u'lastChunkStartTime': 1557661986069, u'buffer': 8, u'nextChunkSize': [2177073, 1300868, 877771, 571051, 350812, 139857], u'bandwidthEst': 4690.642952440458, u'RebufferTime': 2644, u'droppedFrames': None, u'lastChunkFinishTime': 1557661988095, u'videoPlayed': 0, u'Type': u'BB', u'lastChunkSize': 1593536}
{u'lastRequest': 2, u'lastquality': 4, u'deviceTime': 1557661990978, u'lastChunkStartTime': 1557661988268, u'buffer': 12, u'nextChunkSize': [2160877, 1520281, 933276, 617681, 382355, 155432], u'bandwidthEst': 5557.398615128642, u'RebufferTime': 2644, u'droppedFrames': None, u'lastChunkFinishTime': 1557661990831, u'videoPlayed': 0, u'Type': u'BB', u'lastChunkSize': 2563549}
{u'lastRequest': 3, u'lastquality': 4, u'deviceTime': 1557661993303, u'lastChunkStartTime': 1557661991107, u'buffer': 14.222477, u'nextChunkSize': [2233056, 1472558, 996749, 652874, 411561, 163442], u'bandwidthEst': 6202.756618425117, u'RebufferTime': 2644, u'droppedFrames': {u'droppedFrames': 0, u'totalFrames': 50, u'corruptedFrames': 0, u'time': 17596}, u'lastChunkFinishTime': 1557661993224, u'videoPlayed': 1.81901, u'Type': u'BB', u'lastChunkSize': 2617900}
{u'lastRequest': 4, u'lastquality': 4, u'deviceTime': 1557661994517, u'lastChunkStartTime': 1557661993421, u'buffer': 16.968953, u'nextChunkSize': [1941625, 1224260, 801058, 520315, 318564, 126289], u'bandwidthEst': 6569.405506474463, u'RebufferTime': 2644, u'droppedFrames': {u'droppedFrames': 0, u'totalFrames': 83, u'corruptedFrames': 0, u'time': 18689}, u'lastChunkFinishTime': 1557661994462, u'videoPlayed': 3.031047, u'Type': u'BB', u'lastChunkSize': 1731610}
{u'lastRequest': 5, u'lastquality': 4, u'deviceTime': 1557661995485, u'lastChunkStartTime': 1557661994643, u'buffer': 20.102338000000003, u'nextChunkSize': [2157535, 1388403, 905515, 561791, 352642, 153295], u'bandwidthEst': 8739.29456703853, u'RebufferTime': 2644, u'droppedFrames': {u'droppedFrames': 0, u'totalFrames': 117, u'corruptedFrames': 0, u'time': 19824}, u'lastChunkFinishTime': 1557661995427, u'videoPlayed': 4.004634, u'Type': u'BB', u'lastChunkSize': 1844248}
{u'lastRequest': 6, u'lastquality': 4, u'deviceTime': 1557661996389, u'lastChunkStartTime': 1557661995616, u'buffer': 23.161364, u'nextChunkSize': [2290172, 1638769, 1060487, 709534, 437162, 173849], u'bandwidthEst': 10525.8121255188, u'RebufferTime': 2644, u'droppedFrames': {u'droppedFrames': 0, u'totalFrames': 142, u'corruptedFrames': 0, u'time': 20650}, u'lastChunkFinishTime': 1557661996320, u'videoPlayed': 4.871969, u'Type': u'BB', u'lastChunkSize': 2017939}
{u'lastRequest': 7, u'lastquality': 4, u'deviceTime': 1557661997154, u'lastChunkStartTime': 1557661996508, u'buffer': 26.359269, u'nextChunkSize': [2055469, 1348011, 852833, 584846, 374758, 150710], u'bandwidthEst': 13568.357993712445, u'RebufferTime': 2644, u'droppedFrames': {u'droppedFrames': 0, u'totalFrames': 168, u'corruptedFrames': 0, u'time': 21503}, u'lastChunkFinishTime': 1557661997089, u'videoPlayed': 5.640731, u'Type': u'BB', u'lastChunkSize': 2043036}
{u'lastRequest': 8, u'lastquality': 4, u'deviceTime': 1557661997892, u'lastChunkStartTime': 1557661997266, u'buffer': 29.629635, u'nextChunkSize': [2169201, 1429765, 913888, 560821, 362795, 139105], u'bandwidthEst': 19427.753287213014, u'RebufferTime': 2644, u'droppedFrames': {u'droppedFrames': 0, u'totalFrames': 185, u'corruptedFrames': 0, u'time': 22072}, u'lastChunkFinishTime': 1557661997837, u'videoPlayed': 6.370365, u'Type': u'BB', u'lastChunkSize': 2235700}
{u'lastRequest': 9, u'lastquality': 4, u'deviceTime': 1557661998598, u'lastChunkStartTime': 1557661998005, u'buffer': 32.902975, u'nextChunkSize': [2173522, 1354548, 939819, 607410, 353220, 141840], u'bandwidthEst': 24849.722132276434, u'RebufferTime': 2644, u'droppedFrames': {u'droppedFrames': 0, u'totalFrames': 209, u'corruptedFrames': 0, u'time': 22876}, u'lastChunkFinishTime': 1557661998543, u'videoPlayed': 7.097025, u'Type': u'BB', u'lastChunkSize': 2173605}
{u'lastRequest': 10, u'lastquality': 4, u'deviceTime': 1557661999357, u'lastChunkStartTime': 1557661998720, u'buffer': 36.20541, u'nextChunkSize': [2102452, 1519951, 917428, 594078, 405134, 156148], u'bandwidthEst': 28552.425571998785, u'RebufferTime': 2644, u'droppedFrames': {u'droppedFrames': 0, u'totalFrames': 235, u'corruptedFrames': 0, u'time': 23735}, u'lastChunkFinishTime': 1557661999278, u'videoPlayed': 7.868541, u'Type': u'BB', u'lastChunkSize': 2268048}
{u'lastRequest': 11, u'lastquality': 4, u'deviceTime': 1557662000082, u'lastChunkStartTime': 1557661999490, u'buffer': 39.43503, u'nextChunkSize': [2209463, 1422919, 946851, 624282, 386351, 160746], u'bandwidthEst': 31921.218912150922, u'RebufferTime': 2644, u'droppedFrames': {u'droppedFrames': 0, u'totalFrames': 251, u'corruptedFrames': 0, u'time': 24296}, u'lastChunkFinishTime': 1557662000019, u'videoPlayed': 8.598303, u'Type': u'BB', u'lastChunkSize': 2444916}
{u'lastRequest': 12, u'lastquality': 4, u'deviceTime': 1557662000660, u'lastChunkStartTime': 1557662000190, u'buffer': 42.837227999999996, u'nextChunkSize': [2275376, 1578343, 1036454, 687371, 434409, 179801], u'bandwidthEst': 33591.26350472775, u'RebufferTime': 2644, u'droppedFrames': {u'droppedFrames': 0, u'totalFrames': 268, u'corruptedFrames': 0, u'time': 24861}, u'lastChunkFinishTime': 1557662000608, u'videoPlayed': 9.162772, u'Type': u'BB', u'lastChunkSize': 1903216}
{u'lastRequest': 13, u'lastquality': 4, u'deviceTime': 1557662001387, u'lastChunkStartTime': 1557662000769, u'buffer': 46.108632, u'nextChunkSize': [2005399, 1231445, 821631, 526950, 337059, 140051], u'bandwidthEst': 33390.28574237407, u'RebufferTime': 2644, u'droppedFrames': {u'droppedFrames': 0, u'totalFrames': 294, u'corruptedFrames': 0, u'time': 25710}, u'lastChunkFinishTime': 1557662001331, u'videoPlayed': 9.891368, u'Type': u'BB', u'lastChunkSize': 2142408}
