{u'decodedSeries': 14, u'videoSeries': 0.364081, u'presentedSeries': 11, u'presentedTime': 1557661462714, u'decodedTime': 1557661462714, u'fpsSeries': 14, u'fpsTime': 1557661462714}
{u'decodedSeries': 45, u'videoSeries': 1.380338, u'presentedSeries': 41, u'presentedTime': 1557661463714, u'decodedTime': 1557661463714, u'fpsSeries': 44, u'fpsTime': 1557661463714}
{u'decodedSeries': 75, u'videoSeries': 2.388661, u'presentedSeries': 71, u'presentedTime': 1557661464715, u'decodedTime': 1557661464715, u'fpsSeries': 74, u'fpsTime': 1557661464715}
{u'decodedSeries': 104, u'videoSeries': 3.358728, u'presentedSeries': 101, u'presentedTime': 1557661465715, u'decodedTime': 1557661465715, u'fpsSeries': 104, u'fpsTime': 1557661465715}
{u'decodedSeries': 134, u'videoSeries': 4.369827, u'presentedSeries': 131, u'presentedTime': 1557661466715, u'decodedTime': 1557661466715, u'fpsSeries': 134, u'fpsTime': 1557661466715}
{u'decodedSeries': 165, u'videoSeries': 5.379575, u'presentedSeries': 161, u'presentedTime': 1557661467719, u'decodedTime': 1557661467719, u'fpsSeries': 164, u'fpsTime': 1557661467719}
{u'decodedSeries': 195, u'videoSeries': 6.38893, u'presentedSeries': 191, u'presentedTime': 1557661468720, u'decodedTime': 1557661468720, u'fpsSeries': 194, u'fpsTime': 1557661468720}
{u'decodedSeries': 225, u'videoSeries': 7.359783, u'presentedSeries': 221, u'presentedTime': 1557661469720, u'decodedTime': 1557661469720, u'fpsSeries': 224, u'fpsTime': 1557661469720}
{u'decodedSeries': 254, u'videoSeries': 8.36956, u'presentedSeries': 251, u'presentedTime': 1557661470721, u'decodedTime': 1557661470720, u'fpsSeries': 254, u'fpsTime': 1557661470721}
{u'decodedSeries': 285, u'videoSeries': 9.380043, u'presentedSeries': 281, u'presentedTime': 1557661471721, u'decodedTime': 1557661471721, u'fpsSeries': 284, u'fpsTime': 1557661471721}
{u'decodedSeries': 315, u'videoSeries': 10.391745, u'presentedSeries': 311, u'presentedTime': 1557661472721, u'decodedTime': 1557661472721, u'fpsSeries': 314, u'fpsTime': 1557661472721}
{u'decodedSeries': 345, u'videoSeries': 11.364009, u'presentedSeries': 341, u'presentedTime': 1557661473721, u'decodedTime': 1557661473721, u'fpsSeries': 344, u'fpsTime': 1557661473721}
{u'decodedSeries': 375, u'videoSeries': 12.380208, u'presentedSeries': 371, u'presentedTime': 1557661474722, u'decodedTime': 1557661474721, u'fpsSeries': 374, u'fpsTime': 1557661474722}
{u'decodedSeries': 405, u'videoSeries': 13.361881, u'presentedSeries': 401, u'presentedTime': 1557661475722, u'decodedTime': 1557661475722, u'fpsSeries': 404, u'fpsTime': 1557661475722}
{u'decodedSeries': 434, u'videoSeries': 14.38259, u'presentedSeries': 431, u'presentedTime': 1557661476722, u'decodedTime': 1557661476722, u'fpsSeries': 434, u'fpsTime': 1557661476722}
{u'decodedSeries': 465, u'videoSeries': 15.356537, u'presentedSeries': 461, u'presentedTime': 1557661477722, u'decodedTime': 1557661477722, u'fpsSeries': 464, u'fpsTime': 1557661477722}
{u'decodedSeries': 495, u'videoSeries': 16.373499, u'presentedSeries': 492, u'presentedTime': 1557661478742, u'decodedTime': 1557661478742, u'fpsSeries': 494, u'fpsTime': 1557661478742}
{u'decodedSeries': 526, u'videoSeries': 17.365515, u'presentedSeries': 522, u'presentedTime': 1557661479756, u'decodedTime': 1557661479756, u'fpsSeries': 524, u'fpsTime': 1557661479756}
{u'decodedSeries': 556, u'videoSeries': 18.419546, u'presentedSeries': 552, u'presentedTime': 1557661480755, u'decodedTime': 1557661480755, u'fpsSeries': 554, u'fpsTime': 1557661480755}
{u'decodedSeries': 586, u'videoSeries': 19.39571, u'presentedSeries': 582, u'presentedTime': 1557661481757, u'decodedTime': 1557661481757, u'fpsSeries': 584, u'fpsTime': 1557661481757}
{u'decodedSeries': 616, u'videoSeries': 20.417231, u'presentedSeries': 612, u'presentedTime': 1557661482758, u'decodedTime': 1557661482757, u'fpsSeries': 614, u'fpsTime': 1557661482758}
{u'decodedSeries': 646, u'videoSeries': 21.431794, u'presentedSeries': 642, u'presentedTime': 1557661483757, u'decodedTime': 1557661483757, u'fpsSeries': 644, u'fpsTime': 1557661483757}
{u'decodedSeries': 677, u'videoSeries': 22.404122, u'presentedSeries': 672, u'presentedTime': 1557661484758, u'decodedTime': 1557661484758, u'fpsSeries': 674, u'fpsTime': 1557661484758}
{u'decodedSeries': 707, u'videoSeries': 23.418077, u'presentedSeries': 702, u'presentedTime': 1557661485759, u'decodedTime': 1557661485758, u'fpsSeries': 704, u'fpsTime': 1557661485759}
{u'decodedSeries': 734, u'videoSeries': 24.431816, u'presentedSeries': 730, u'presentedTime': 1557661486758, u'decodedTime': 1557661486758, u'fpsSeries': 732, u'fpsTime': 1557661486758}
{u'decodedSeries': 764, u'videoSeries': 25.41256, u'presentedSeries': 761, u'presentedTime': 1557661487758, u'decodedTime': 1557661487758, u'fpsSeries': 762, u'fpsTime': 1557661487758}
{u'decodedSeries': 795, u'videoSeries': 26.430784, u'presentedSeries': 791, u'presentedTime': 1557661488791, u'decodedTime': 1557661488791, u'fpsSeries': 793, u'fpsTime': 1557661488791}
{u'decodedSeries': 825, u'videoSeries': 27.447296, u'presentedSeries': 821, u'presentedTime': 1557661489792, u'decodedTime': 1557661489792, u'fpsSeries': 823, u'fpsTime': 1557661489792}
{u'decodedSeries': 854, u'videoSeries': 28.427857, u'presentedSeries': 851, u'presentedTime': 1557661490792, u'decodedTime': 1557661490792, u'fpsSeries': 852, u'fpsTime': 1557661490792}
