{u'lastRequest': 0, u'lastquality': 2, u'deviceTime': 1557575181002, u'lastChunkStartTime': 1557575180434, u'buffer': 4.033333, u'nextChunkSize': [2123065, 1431809, 957685, 611087, 398865, 155580], u'bandwidthEst': 2540.8, u'RebufferTime': 733, u'droppedFrames': None, u'lastChunkFinishTime': 1557575180729, u'videoPlayed': 0, u'Type': u'BB', u'lastChunkSize': 93692}
{u'lastRequest': 1, u'lastquality': 4, u'deviceTime': 1557575181796, u'lastChunkStartTime': 1557575181253, u'buffer': 8, u'nextChunkSize': [2177073, 1300868, 877771, 571051, 350812, 139857], u'bandwidthEst': 2733.9421285300664, u'RebufferTime': 733, u'droppedFrames': None, u'lastChunkFinishTime': 1557575181550, u'videoPlayed': 0, u'Type': u'BB', u'lastChunkSize': 109787}
{u'lastRequest': 2, u'lastquality': 4, u'deviceTime': 1557575183325, u'lastChunkStartTime': 1557575181960, u'buffer': 12, u'nextChunkSize': [2160877, 1520281, 933276, 617681, 382355, 155432], u'bandwidthEst': 3027.4447034047207, u'RebufferTime': 733, u'droppedFrames': None, u'lastChunkFinishTime': 1557575182279, u'videoPlayed': 0, u'Type': u'BB', u'lastChunkSize': 150754}
{u'lastRequest': 3, u'lastquality': 4, u'deviceTime': 1557575184306, u'lastChunkStartTime': 1557575183762, u'buffer': 16, u'nextChunkSize': [2233056, 1472558, 996749, 652874, 411561, 163442], u'bandwidthEst': 3243.0829335944786, u'RebufferTime': 733, u'droppedFrames': None, u'lastChunkFinishTime': 1557575183949, u'videoPlayed': 0, u'Type': u'BB', u'lastChunkSize': 116090}
{u'lastRequest': 4, u'lastquality': 4, u'deviceTime': 1557575185227, u'lastChunkStartTime': 1557575184642, u'buffer': 19, u'nextChunkSize': [1941625, 1224260, 801058, 520315, 318564, 126289], u'bandwidthEst': 3314.1486088531888, u'RebufferTime': 733, u'droppedFrames': {u'droppedFrames': 6, u'totalFrames': 31, u'corruptedFrames': 0, u'time': 8249.76}, u'lastChunkFinishTime': 1557575184924, u'videoPlayed': 1.040557, u'Type': u'BB', u'lastChunkSize': 127721}
{u'lastRequest': 5, u'lastquality': 4, u'deviceTime': 1557575185943, u'lastChunkStartTime': 1557575185569, u'buffer': 22.272043, u'nextChunkSize': [2157535, 1388403, 905515, 561791, 352642, 153295], u'bandwidthEst': 3808.6878356406633, u'RebufferTime': 733, u'droppedFrames': {u'droppedFrames': 6, u'totalFrames': 47, u'corruptedFrames': 0, u'time': 8797.995}, u'lastChunkFinishTime': 1557575185635, u'videoPlayed': 1.727957, u'Type': u'BB', u'lastChunkSize': 115320}
{u'lastRequest': 6, u'lastquality': 4, u'deviceTime': 1557575187087, u'lastChunkStartTime': 1557575186018, u'buffer': 25.041486, u'nextChunkSize': [2290172, 1638769, 1060487, 709534, 437162, 173849], u'bandwidthEst': 1851.7307403553887, u'RebufferTime': 733, u'droppedFrames': {u'droppedFrames': 6, u'totalFrames': 87, u'corruptedFrames': 0, u'time': 10145.130000000001}, u'lastChunkFinishTime': 1557575186875, u'videoPlayed': 2.958514, u'Type': u'BB', u'lastChunkSize': 125476}
{u'lastRequest': 7, u'lastquality': 4, u'deviceTime': 1557575188285, u'lastChunkStartTime': 1557575187253, u'buffer': 27.952618, u'nextChunkSize': [2055469, 1348011, 852833, 584846, 374758, 150710], u'bandwidthEst': 1797.7849504036785, u'RebufferTime': 733, u'droppedFrames': {u'droppedFrames': 7, u'totalFrames': 124, u'corruptedFrames': 0, u'time': 11351.755000000001}, u'lastChunkFinishTime': 1557575187619, u'videoPlayed': 4.092461, u'Type': u'BB', u'lastChunkSize': 120640}
{u'lastRequest': 8, u'lastquality': 4, u'deviceTime': 1557575188899, u'lastChunkStartTime': 1557575188595, u'buffer': 31.243736, u'nextChunkSize': [2169201, 1429765, 913888, 560821, 362795, 139105], u'bandwidthEst': 1816.0289878859942, u'RebufferTime': 733, u'droppedFrames': {u'droppedFrames': 7, u'totalFrames': 140, u'corruptedFrames': 0, u'time': 11896.695}, u'lastChunkFinishTime': 1557575188831, u'videoPlayed': 4.796952, u'Type': u'BB', u'lastChunkSize': 127460}
{u'lastRequest': 9, u'lastquality': 4, u'deviceTime': 1557575189244, u'lastChunkStartTime': 1557575189136, u'buffer': 34.901137, u'nextChunkSize': [2173522, 1354548, 939819, 607410, 353220, 141840], u'bandwidthEst': 1754.0790095987659, u'RebufferTime': 733, u'droppedFrames': {u'droppedFrames': 7, u'totalFrames': 149, u'corruptedFrames': 0, u'time': 12187.455}, u'lastChunkFinishTime': 1557575189170, u'videoPlayed': 5.098863, u'Type': u'BB', u'lastChunkSize': 126583}
{u'lastRequest': 10, u'lastquality': 4, u'deviceTime': 1557575189662, u'lastChunkStartTime': 1557575189517, u'buffer': 38.46401, u'nextChunkSize': [2102452, 1519951, 917428, 594078, 405134, 156148], u'bandwidthEst': 1762.079506004356, u'RebufferTime': 733, u'droppedFrames': {u'droppedFrames': 7, u'totalFrames': 160, u'corruptedFrames': 0, u'time': 12579.185}, u'lastChunkFinishTime': 1557575189624, u'videoPlayed': 5.576759, u'Type': u'BB', u'lastChunkSize': 136068}
{u'lastRequest': 11, u'lastquality': 4, u'deviceTime': 1557575190002, u'lastChunkStartTime': 1557575189907, u'buffer': 42.199999999999996, u'nextChunkSize': [2209463, 1422919, 946851, 624282, 386351, 160746], u'bandwidthEst': 4063.732375574003, u'RebufferTime': 733, u'droppedFrames': {u'droppedFrames': 7, u'totalFrames': 171, u'corruptedFrames': 0, u'time': 12921.345000000001}, u'lastChunkFinishTime': 1557575189933, u'videoPlayed': 5.866666, u'Type': u'BB', u'lastChunkSize': 126582}
{u'lastRequest': 12, u'lastquality': 4, u'deviceTime': 1557575190549, u'lastChunkStartTime': 1557575190215, u'buffer': 45.609523, u'nextChunkSize': [2275376, 1578343, 1036454, 687371, 434409, 179801], u'bandwidthEst': 6658.623130149333, u'RebufferTime': 733, u'droppedFrames': {u'droppedFrames': 7, u'totalFrames': 192, u'corruptedFrames': 0, u'time': 13631.015}, u'lastChunkFinishTime': 1557575190271, u'videoPlayed': 6.430746, u'Type': u'BB', u'lastChunkSize': 107041}
{u'lastRequest': 13, u'lastquality': 4, u'deviceTime': 1557575191111, u'lastChunkStartTime': 1557575190684, u'buffer': 49.170387, u'nextChunkSize': [2005399, 1231445, 821631, 526950, 337059, 140051], u'bandwidthEst': 6938.549303238473, u'RebufferTime': 733, u'droppedFrames': {u'droppedFrames': 7, u'totalFrames': 203, u'corruptedFrames': 0, u'time': 14003.85}, u'lastChunkFinishTime': 1557575190907, u'videoPlayed': 6.871396, u'Type': u'BB', u'lastChunkSize': 127245}
{u'lastRequest': 14, u'lastquality': 4, u'deviceTime': 1557575191674, u'lastChunkStartTime': 1557575191411, u'buffer': 52.675585, u'nextChunkSize': [2152483, 1471065, 923170, 587876, 366214, 138313], u'bandwidthEst': 6914.005924238272, u'RebufferTime': 733, u'droppedFrames': {u'droppedFrames': 7, u'totalFrames': 218, u'corruptedFrames': 0, u'time': 14507.79}, u'lastChunkFinishTime': 1557575191436, u'videoPlayed': 7.433333, u'Type': u'BB', u'lastChunkSize': 122582}
