{u'lastRequest': 0, u'lastquality': 2, u'deviceTime': 1557575593783, u'lastChunkStartTime': 1557575593279, u'buffer': 4.033333, u'nextChunkSize': [2123065, 1431809, 957685, 611087, 398865, 155580], u'bandwidthEst': 2371.9493670886077, u'RebufferTime': 833, u'droppedFrames': None, u'lastChunkFinishTime': 1557575593595, u'videoPlayed': 0, u'Type': u'BB', u'lastChunkSize': 93692}
{u'lastRequest': 1, u'lastquality': 4, u'deviceTime': 1557575594577, u'lastChunkStartTime': 1557575593869, u'buffer': 8, u'nextChunkSize': [2177073, 1300868, 877771, 571051, 350812, 139857], u'bandwidthEst': 2006.3332726046433, u'RebufferTime': 833, u'droppedFrames': None, u'lastChunkFinishTime': 1557575594351, u'videoPlayed': 0, u'Type': u'BB', u'lastChunkSize': 109787}
{u'lastRequest': 2, u'lastquality': 4, u'deviceTime': 1557575595189, u'lastChunkStartTime': 1557575594908, u'buffer': 12, u'nextChunkSize': [2160877, 1520281, 933276, 617681, 382355, 155432], u'bandwidthEst': 2281.753732503796, u'RebufferTime': 833, u'droppedFrames': None, u'lastChunkFinishTime': 1557575595063, u'videoPlayed': 0, u'Type': u'BB', u'lastChunkSize': 150754}
{u'lastRequest': 3, u'lastquality': 4, u'deviceTime': 1557575596374, u'lastChunkStartTime': 1557575595309, u'buffer': 16, u'nextChunkSize': [2233056, 1472558, 996749, 652874, 411561, 163442], u'bandwidthEst': 2490.45483489163, u'RebufferTime': 833, u'droppedFrames': None, u'lastChunkFinishTime': 1557575595543, u'videoPlayed': 0, u'Type': u'BB', u'lastChunkSize': 116090}
{u'lastRequest': 4, u'lastquality': 4, u'deviceTime': 1557575597253, u'lastChunkStartTime': 1557575596615, u'buffer': 19.525992, u'nextChunkSize': [1941625, 1224260, 801058, 520315, 318564, 126289], u'bandwidthEst': 2590.425278332, u'RebufferTime': 833, u'droppedFrames': {u'droppedFrames': 0, u'totalFrames': 11, u'corruptedFrames': 0, u'time': 7452.285}, u'lastChunkFinishTime': 1557575596954, u'videoPlayed': 0.517066, u'Type': u'BB', u'lastChunkSize': 127721}
{u'lastRequest': 5, u'lastquality': 4, u'deviceTime': 1557575598209, u'lastChunkStartTime': 1557575597481, u'buffer': 22.568627, u'nextChunkSize': [2157535, 1388403, 905515, 561791, 352642, 153295], u'bandwidthEst': 2706.6712755440954, u'RebufferTime': 833, u'droppedFrames': {u'droppedFrames': 0, u'totalFrames': 44, u'corruptedFrames': 0, u'time': 8551.17}, u'lastChunkFinishTime': 1557575597796, u'videoPlayed': 1.47388, u'Type': u'BB', u'lastChunkSize': 115320}
{u'lastRequest': 6, u'lastquality': 4, u'deviceTime': 1557575599246, u'lastChunkStartTime': 1557575598585, u'buffer': 25.481188, u'nextChunkSize': [2290172, 1638769, 1060487, 709534, 437162, 173849], u'bandwidthEst': 3379.1341761907115, u'RebufferTime': 833, u'droppedFrames': {u'droppedFrames': 0, u'totalFrames': 72, u'corruptedFrames': 0, u'time': 9500.555}, u'lastChunkFinishTime': 1557575598912, u'videoPlayed': 2.518812, u'Type': u'BB', u'lastChunkSize': 125476}
{u'lastRequest': 7, u'lastquality': 4, u'deviceTime': 1557575600096, u'lastChunkStartTime': 1557575599647, u'buffer': 28.615111, u'nextChunkSize': [2055469, 1348011, 852833, 584846, 374758, 150710], u'bandwidthEst': 3261.0909453419317, u'RebufferTime': 833, u'droppedFrames': {u'droppedFrames': 0, u'totalFrames': 101, u'corruptedFrames': 0, u'time': 10457.42}, u'lastChunkFinishTime': 1557575599892, u'videoPlayed': 3.425192, u'Type': u'BB', u'lastChunkSize': 120640}
{u'lastRequest': 8, u'lastquality': 4, u'deviceTime': 1557575600754, u'lastChunkStartTime': 1557575600280, u'buffer': 32.046255, u'nextChunkSize': [2169201, 1429765, 913888, 560821, 362795, 139105], u'bandwidthEst': 3334.0803438709245, u'RebufferTime': 833, u'droppedFrames': {u'droppedFrames': 0, u'totalFrames': 118, u'corruptedFrames': 0, u'time': 11070.095}, u'lastChunkFinishTime': 1557575600477, u'videoPlayed': 4.077854, u'Type': u'BB', u'lastChunkSize': 127460}
{u'lastRequest': 9, u'lastquality': 4, u'deviceTime': 1557575601513, u'lastChunkStartTime': 1557575601057, u'buffer': 35.373452, u'nextChunkSize': [2173522, 1354548, 939819, 607410, 353220, 141840], u'bandwidthEst': 3644.241535190391, u'RebufferTime': 833, u'droppedFrames': {u'droppedFrames': 2, u'totalFrames': 139, u'corruptedFrames': 0, u'time': 11734.735}, u'lastChunkFinishTime': 1557575601243, u'videoPlayed': 4.708084, u'Type': u'BB', u'lastChunkSize': 126583}
{u'lastRequest': 10, u'lastquality': 4, u'deviceTime': 1557575602016, u'lastChunkStartTime': 1557575601886, u'buffer': 38.7, u'nextChunkSize': [2102452, 1519951, 917428, 594078, 405134, 156148], u'bandwidthEst': 4217.8469472872985, u'RebufferTime': 833, u'droppedFrames': {u'droppedFrames': 2, u'totalFrames': 153, u'corruptedFrames': 0, u'time': 12181.885}, u'lastChunkFinishTime': 1557575601913, u'videoPlayed': 5.343339, u'Type': u'BB', u'lastChunkSize': 136068}
{u'lastRequest': 11, u'lastquality': 4, u'deviceTime': 1557575602455, u'lastChunkStartTime': 1557575602137, u'buffer': 42.261764, u'nextChunkSize': [2209463, 1422919, 946851, 624282, 386351, 160746], u'bandwidthEst': 4776.362715952761, u'RebufferTime': 833, u'droppedFrames': {u'droppedFrames': 2, u'totalFrames': 173, u'corruptedFrames': 0, u'time': 12857.575}, u'lastChunkFinishTime': 1557575602385, u'videoPlayed': 5.804902, u'Type': u'BB', u'lastChunkSize': 126582}
{u'lastRequest': 12, u'lastquality': 4, u'deviceTime': 1557575602817, u'lastChunkStartTime': 1557575602623, u'buffer': 45.904071, u'nextChunkSize': [2275376, 1578343, 1036454, 687371, 434409, 179801], u'bandwidthEst': 5402.3123457491465, u'RebufferTime': 833, u'droppedFrames': {u'droppedFrames': 2, u'totalFrames': 177, u'corruptedFrames': 0, u'time': 12985.18}, u'lastChunkFinishTime': 1557575602684, u'videoPlayed': 6.095929, u'Type': u'BB', u'lastChunkSize': 107041}
{u'lastRequest': 13, u'lastquality': 4, u'deviceTime': 1557575603287, u'lastChunkStartTime': 1557575602985, u'buffer': 49.46826, u'nextChunkSize': [2005399, 1231445, 821631, 526950, 337059, 140051], u'bandwidthEst': 5843.347586630767, u'RebufferTime': 833, u'droppedFrames': {u'droppedFrames': 2, u'totalFrames': 196, u'corruptedFrames': 0, u'time': 13635.855}, u'lastChunkFinishTime': 1557575603086, u'videoPlayed': 6.615249, u'Type': u'BB', u'lastChunkSize': 127245}
{u'lastRequest': 14, u'lastquality': 4, u'deviceTime': 1557575603755, u'lastChunkStartTime': 1557575603340, u'buffer': 53.033333, u'nextChunkSize': [2152483, 1471065, 923170, 587876, 366214, 138313], u'bandwidthEst': 4934.962683423512, u'RebufferTime': 833, u'droppedFrames': {u'droppedFrames': 2, u'totalFrames': 210, u'corruptedFrames': 0, u'time': 14103.695}, u'lastChunkFinishTime': 1557575603610, u'videoPlayed': 7.074758, u'Type': u'BB', u'lastChunkSize': 122582}
