{u'decodedSeries': 27, u'videoSeries': 0.6, u'presentedSeries': 23, u'presentedTime': 1557575597415, u'decodedTime': 1557575597415, u'fpsSeries': 11, u'fpsTime': 1557575597415}
{u'decodedSeries': 62, u'videoSeries': 1.774481, u'presentedSeries': 58, u'presentedTime': 1557575598570, u'decodedTime': 1557575598570, u'fpsSeries': 45, u'fpsTime': 1557575598570}
{u'decodedSeries': 93, u'videoSeries': 2.907426, u'presentedSeries': 89, u'presentedTime': 1557575599621, u'decodedTime': 1557575599621, u'fpsSeries': 74, u'fpsTime': 1557575599621}
{u'decodedSeries': 124, u'videoSeries': 3.953745, u'presentedSeries': 120, u'presentedTime': 1557575600685, u'decodedTime': 1557575600685, u'fpsSeries': 100, u'fpsTime': 1557575600685}
{u'decodedSeries': 156, u'videoSeries': 4.833333, u'presentedSeries': 150, u'presentedTime': 1557575601712, u'decodedTime': 1557575601712, u'fpsSeries': 122, u'fpsTime': 1557575601712}
{u'decodedSeries': 185, u'videoSeries': 6.054678, u'presentedSeries': 180, u'presentedTime': 1557575602713, u'decodedTime': 1557575602713, u'fpsSeries': 147, u'fpsTime': 1557575602713}
{u'decodedSeries': 216, u'videoSeries': 7.074758, u'presentedSeries': 210, u'presentedTime': 1557575603719, u'decodedTime': 1557575603719, u'fpsSeries': 169, u'fpsTime': 1557575603719}
{u'decodedSeries': 251, u'videoSeries': 8.132866, u'presentedSeries': 245, u'presentedTime': 1557575604883, u'decodedTime': 1557575604883, u'fpsSeries': 199, u'fpsTime': 1557575604883}
{u'decodedSeries': 283, u'videoSeries': 9.24891, u'presentedSeries': 278, u'presentedTime': 1557575605957, u'decodedTime': 1557575605957, u'fpsSeries': 231, u'fpsTime': 1557575605957}
{u'decodedSeries': 313, u'videoSeries': 10.304323, u'presentedSeries': 308, u'presentedTime': 1557575606956, u'decodedTime': 1557575606956, u'fpsSeries': 260, u'fpsTime': 1557575606956}
{u'decodedSeries': 343, u'videoSeries': 11.324521, u'presentedSeries': 338, u'presentedTime': 1557575607957, u'decodedTime': 1557575607957, u'fpsSeries': 289, u'fpsTime': 1557575607957}
