{u'decodedSeries': 16, u'videoSeries': 0.421721, u'presentedSeries': 15, u'presentedTime': 1557577085437, u'decodedTime': 1557577085437, u'fpsSeries': 7, u'fpsTime': 1557577085437}
{u'decodedSeries': 64, u'videoSeries': 1.597965, u'presentedSeries': 52, u'presentedTime': 1557577086834, u'decodedTime': 1557577086834, u'fpsSeries': 40, u'fpsTime': 1557577086834}
{u'decodedSeries': 95, u'videoSeries': 3.025569, u'presentedSeries': 78, u'presentedTime': 1557577087838, u'decodedTime': 1557577087838, u'fpsSeries': 64, u'fpsTime': 1557577087838}
{u'decodedSeries': 133, u'videoSeries': 4.284909, u'presentedSeries': 113, u'presentedTime': 1557577089118, u'decodedTime': 1557577089118, u'fpsSeries': 90, u'fpsTime': 1557577089118}
{u'decodedSeries': 166, u'videoSeries': 5.329893, u'presentedSeries': 142, u'presentedTime': 1557577090202, u'decodedTime': 1557577090202, u'fpsSeries': 110, u'fpsTime': 1557577090202}
{u'decodedSeries': 196, u'videoSeries': 6.414789, u'presentedSeries': 172, u'presentedTime': 1557577091206, u'decodedTime': 1557577091206, u'fpsSeries': 139, u'fpsTime': 1557577091206}
{u'decodedSeries': 228, u'videoSeries': 7.391774, u'presentedSeries': 201, u'presentedTime': 1557577092255, u'decodedTime': 1557577092255, u'fpsSeries': 162, u'fpsTime': 1557577092255}
{u'decodedSeries': 263, u'videoSeries': 8.322109, u'presentedSeries': 231, u'presentedTime': 1557577093430, u'decodedTime': 1557577093430, u'fpsSeries': 190, u'fpsTime': 1557577093430}
{u'decodedSeries': 295, u'videoSeries': 9.627424, u'presentedSeries': 262, u'presentedTime': 1557577094492, u'decodedTime': 1557577094492, u'fpsSeries': 216, u'fpsTime': 1557577094492}
{u'decodedSeries': 332, u'videoSeries': 10.85957, u'presentedSeries': 281, u'presentedTime': 1557577095742, u'decodedTime': 1557577095742, u'fpsSeries': 231, u'fpsTime': 1557577095742}
{u'decodedSeries': 363, u'videoSeries': 11.924327, u'presentedSeries': 310, u'presentedTime': 1557577096778, u'decodedTime': 1557577096778, u'fpsSeries': 254, u'fpsTime': 1557577096778}
