{u'lastRequest': 0, u'lastquality': 2, u'deviceTime': 1557581368443, u'lastChunkStartTime': 1557581367866, u'buffer': 4.033333, u'nextChunkSize': [2123065, 1431809, 957685, 611087, 398865, 155580], u'bandwidthEst': 5367.314285714286, u'RebufferTime': 732, u'droppedFrames': None, u'lastChunkFinishTime': 1557581368286, u'videoPlayed': 0, u'Type': u'BB', u'lastChunkSize': 281784}
{u'lastRequest': 1, u'lastquality': 4, u'deviceTime': 1557581370575, u'lastChunkStartTime': 1557581369193, u'buffer': 7.951545, u'nextChunkSize': [2177073, 1300868, 877771, 571051, 350812, 139857], u'bandwidthEst': 6512.937645240312, u'RebufferTime': 732, u'droppedFrames': {u'droppedFrames': 0, u'totalFrames': 5, u'corruptedFrames': 0, u'time': 4606.345}, u'lastChunkFinishTime': 1557581369641, u'videoPlayed': 0.229263, u'Type': u'BB', u'lastChunkSize': 455965}
{u'lastRequest': 2, u'lastquality': 4, u'deviceTime': 1557581371492, u'lastChunkStartTime': 1557581370853, u'buffer': 10.276893, u'nextChunkSize': [2160877, 1520281, 933276, 617681, 382355, 155432], u'bandwidthEst': 7547.710500669785, u'RebufferTime': 732, u'droppedFrames': {u'droppedFrames': 0, u'totalFrames': 50, u'corruptedFrames': 0, u'time': 6110.415}, u'lastChunkFinishTime': 1557581371385, u'videoPlayed': 1.765419, u'Type': u'BB', u'lastChunkSize': 677564}
{u'lastRequest': 3, u'lastquality': 4, u'deviceTime': 1557581372200, u'lastChunkStartTime': 1557581371659, u'buffer': 13.586003999999999, u'nextChunkSize': [2233056, 1472558, 996749, 652874, 411561, 163442], u'bandwidthEst': 8156.362105602143, u'RebufferTime': 732, u'droppedFrames': {u'droppedFrames': 0, u'totalFrames': 67, u'corruptedFrames': 0, u'time': 6661.67}, u'lastChunkFinishTime': 1557581372065, u'videoPlayed': 2.447329, u'Type': u'BB', u'lastChunkSize': 573374}
{u'lastRequest': 4, u'lastquality': 4, u'deviceTime': 1557581373154, u'lastChunkStartTime': 1557581372496, u'buffer': 16.722588000000002, u'nextChunkSize': [1941625, 1224260, 801058, 520315, 318564, 126289], u'bandwidthEst': 8624.1679866686, u'RebufferTime': 732, u'droppedFrames': {u'droppedFrames': 0, u'totalFrames': 96, u'corruptedFrames': 0, u'time': 7639.045}, u'lastChunkFinishTime': 1557581372918, u'videoPlayed': 3.318318, u'Type': u'BB', u'lastChunkSize': 602914}
{u'lastRequest': 5, u'lastquality': 4, u'deviceTime': 1557581373993, u'lastChunkStartTime': 1557581373450, u'buffer': 19.907213000000002, u'nextChunkSize': [2157535, 1388403, 905515, 561791, 352642, 153295], u'bandwidthEst': 10268.664279187036, u'RebufferTime': 732, u'droppedFrames': {u'droppedFrames': 1, u'totalFrames': 124, u'corruptedFrames': 0, u'time': 8575.57}, u'lastChunkFinishTime': 1557581373795, u'videoPlayed': 4.199871, u'Type': u'BB', u'lastChunkSize': 503070}
{u'lastRequest': 6, u'lastquality': 4, u'deviceTime': 1557581374964, u'lastChunkStartTime': 1557581374233, u'buffer': 22.960548000000003, u'nextChunkSize': [2290172, 1638769, 1060487, 709534, 437162, 173849], u'bandwidthEst': 10887.76750964996, u'RebufferTime': 732, u'droppedFrames': {u'droppedFrames': 1, u'totalFrames': 154, u'corruptedFrames': 0, u'time': 9555.765}, u'lastChunkFinishTime': 1557581374664, u'videoPlayed': 5.166666, u'Type': u'BB', u'lastChunkSize': 559006}
{u'lastRequest': 7, u'lastquality': 4, u'deviceTime': 1557581375738, u'lastChunkStartTime': 1557581375255, u'buffer': 26.023184999999998, u'nextChunkSize': [2055469, 1348011, 852833, 584846, 374758, 150710], u'bandwidthEst': 11359.713805028716, u'RebufferTime': 732, u'droppedFrames': {u'droppedFrames': 1, u'totalFrames': 179, u'corruptedFrames': 0, u'time': 10386.18}, u'lastChunkFinishTime': 1557581375634, u'videoPlayed': 5.976815, u'Type': u'BB', u'lastChunkSize': 586878}
{u'lastRequest': 8, u'lastquality': 4, u'deviceTime': 1557581376432, u'lastChunkStartTime': 1557581375950, u'buffer': 29.319126, u'nextChunkSize': [2169201, 1429765, 913888, 560821, 362795, 139105], u'bandwidthEst': 11425.170517815932, u'RebufferTime': 732, u'droppedFrames': {u'droppedFrames': 1, u'totalFrames': 197, u'corruptedFrames': 0, u'time': 10991.065}, u'lastChunkFinishTime': 1557581376353, u'videoPlayed': 6.680874, u'Type': u'BB', u'lastChunkSize': 585505}
{u'lastRequest': 9, u'lastquality': 4, u'deviceTime': 1557581377093, u'lastChunkStartTime': 1557581376676, u'buffer': 32.701777, u'nextChunkSize': [2173522, 1354548, 939819, 607410, 353220, 141840], u'bandwidthEst': 11870.783349165255, u'RebufferTime': 732, u'droppedFrames': {u'droppedFrames': 1, u'totalFrames': 213, u'corruptedFrames': 0, u'time': 11536.33}, u'lastChunkFinishTime': 1557581376997, u'videoPlayed': 7.340508, u'Type': u'BB', u'lastChunkSize': 587926}
{u'lastRequest': 10, u'lastquality': 4, u'deviceTime': 1557581377752, u'lastChunkStartTime': 1557581377233, u'buffer': 35.990877, u'nextChunkSize': [2102452, 1519951, 917428, 594078, 405134, 156148], u'bandwidthEst': 11622.491521766757, u'RebufferTime': 732, u'droppedFrames': {u'droppedFrames': 1, u'totalFrames': 238, u'corruptedFrames': 0, u'time': 12364.5}, u'lastChunkFinishTime': 1557581377692, u'videoPlayed': 8.009123, u'Type': u'BB', u'lastChunkSize': 615814}
{u'lastRequest': 11, u'lastquality': 4, u'deviceTime': 1557581378587, u'lastChunkStartTime': 1557581377930, u'buffer': 39.208533, u'nextChunkSize': [2209463, 1422919, 946851, 624282, 386351, 160746], u'bandwidthEst': 11904.200801640582, u'RebufferTime': 732, u'droppedFrames': {u'droppedFrames': 1, u'totalFrames': 262, u'corruptedFrames': 0, u'time': 13165.845000000001}, u'lastChunkFinishTime': 1557581378379, u'videoPlayed': 8.8248, u'Type': u'BB', u'lastChunkSize': 646284}
