{u'decodedSeries': 33, u'videoSeries': 0.955528, u'presentedSeries': 29, u'presentedTime': 1557581951697, u'decodedTime': 1557581951697, u'fpsSeries': 26, u'fpsTime': 1557581951697}
{u'decodedSeries': 63, u'videoSeries': 1.970386, u'presentedSeries': 59, u'presentedTime': 1557581952698, u'decodedTime': 1557581952698, u'fpsSeries': 55, u'fpsTime': 1557581952698}
{u'decodedSeries': 91, u'videoSeries': 2.958006, u'presentedSeries': 89, u'presentedTime': 1557581953703, u'decodedTime': 1557581953703, u'fpsSeries': 82, u'fpsTime': 1557581953703}
{u'decodedSeries': 124, u'videoSeries': 4.015799, u'presentedSeries': 119, u'presentedTime': 1557581954754, u'decodedTime': 1557581954754, u'fpsSeries': 107, u'fpsTime': 1557581954754}
{u'decodedSeries': 157, u'videoSeries': 4.833333, u'presentedSeries': 145, u'presentedTime': 1557581955900, u'decodedTime': 1557581955900, u'fpsSeries': 131, u'fpsTime': 1557581955900}
{u'decodedSeries': 189, u'videoSeries': 6.165894, u'presentedSeries': 174, u'presentedTime': 1557581956900, u'decodedTime': 1557581956900, u'fpsSeries': 160, u'fpsTime': 1557581956900}
{u'decodedSeries': 216, u'videoSeries': 7.166666, u'presentedSeries': 204, u'presentedTime': 1557581957909, u'decodedTime': 1557581957909, u'fpsSeries': 185, u'fpsTime': 1557581957909}
{u'decodedSeries': 249, u'videoSeries': 8.039429, u'presentedSeries': 236, u'presentedTime': 1557581958942, u'decodedTime': 1557581958942, u'fpsSeries': 214, u'fpsTime': 1557581958942}
{u'decodedSeries': 280, u'videoSeries': 9.2, u'presentedSeries': 264, u'presentedTime': 1557581959974, u'decodedTime': 1557581959974, u'fpsSeries': 241, u'fpsTime': 1557581959974}
{u'decodedSeries': 312, u'videoSeries': 10.232671, u'presentedSeries': 295, u'presentedTime': 1557581960984, u'decodedTime': 1557581960984, u'fpsSeries': 268, u'fpsTime': 1557581960984}
{u'decodedSeries': 341, u'videoSeries': 11.260269, u'presentedSeries': 323, u'presentedTime': 1557581961991, u'decodedTime': 1557581961991, u'fpsSeries': 292, u'fpsTime': 1557581961991}
{u'decodedSeries': 372, u'videoSeries': 12.19335, u'presentedSeries': 356, u'presentedTime': 1557581963146, u'decodedTime': 1557581963146, u'fpsSeries': 317, u'fpsTime': 1557581963146}
{u'decodedSeries': 407, u'videoSeries': 13.411723, u'presentedSeries': 383, u'presentedTime': 1557581964147, u'decodedTime': 1557581964147, u'fpsSeries': 343, u'fpsTime': 1557581964147}
{u'decodedSeries': 436, u'videoSeries': 14.408529, u'presentedSeries': 413, u'presentedTime': 1557581965148, u'decodedTime': 1557581965148, u'fpsSeries': 373, u'fpsTime': 1557581965148}
{u'decodedSeries': 467, u'videoSeries': 15.442823, u'presentedSeries': 443, u'presentedTime': 1557581966149, u'decodedTime': 1557581966149, u'fpsSeries': 402, u'fpsTime': 1557581966149}
{u'decodedSeries': 497, u'videoSeries': 16.40426, u'presentedSeries': 472, u'presentedTime': 1557581967155, u'decodedTime': 1557581967155, u'fpsSeries': 430, u'fpsTime': 1557581967155}
{u'decodedSeries': 528, u'videoSeries': 17.366666, u'presentedSeries': 500, u'presentedTime': 1557581968178, u'decodedTime': 1557581968178, u'fpsSeries': 457, u'fpsTime': 1557581968178}
{u'decodedSeries': 557, u'videoSeries': 18.441777, u'presentedSeries': 530, u'presentedTime': 1557581969179, u'decodedTime': 1557581969179, u'fpsSeries': 484, u'fpsTime': 1557581969179}
{u'decodedSeries': 588, u'videoSeries': 19.459965, u'presentedSeries': 560, u'presentedTime': 1557581970179, u'decodedTime': 1557581970179, u'fpsSeries': 514, u'fpsTime': 1557581970179}
{u'decodedSeries': 617, u'videoSeries': 20.469502, u'presentedSeries': 590, u'presentedTime': 1557581971181, u'decodedTime': 1557581971181, u'fpsSeries': 544, u'fpsTime': 1557581971181}
{u'decodedSeries': 646, u'videoSeries': 21.460256, u'presentedSeries': 620, u'presentedTime': 1557581972188, u'decodedTime': 1557581972188, u'fpsSeries': 572, u'fpsTime': 1557581972188}
{u'decodedSeries': 678, u'videoSeries': 22.445528, u'presentedSeries': 650, u'presentedTime': 1557581973187, u'decodedTime': 1557581973187, u'fpsSeries': 602, u'fpsTime': 1557581973187}
{u'decodedSeries': 708, u'videoSeries': 23.48436, u'presentedSeries': 680, u'presentedTime': 1557581974192, u'decodedTime': 1557581974192, u'fpsSeries': 632, u'fpsTime': 1557581974192}
