{u'decodedSeries': 10, u'videoSeries': 0.132528, u'presentedSeries': 6, u'presentedTime': 1557585210776, u'decodedTime': 1557585210776, u'fpsSeries': 5, u'fpsTime': 1557585210776}
{u'decodedSeries': 40, u'videoSeries': 1.166666, u'presentedSeries': 35, u'presentedTime': 1557585211783, u'decodedTime': 1557585211783, u'fpsSeries': 29, u'fpsTime': 1557585211783}
{u'decodedSeries': 70, u'videoSeries': 2.19173, u'presentedSeries': 66, u'presentedTime': 1557585212809, u'decodedTime': 1557585212809, u'fpsSeries': 54, u'fpsTime': 1557585212809}
{u'decodedSeries': 100, u'videoSeries': 3.250431, u'presentedSeries': 91, u'presentedTime': 1557585213809, u'decodedTime': 1557585213809, u'fpsSeries': 75, u'fpsTime': 1557585213809}
{u'decodedSeries': 140, u'videoSeries': 4.266666, u'presentedSeries': 124, u'presentedTime': 1557585215107, u'decodedTime': 1557585215107, u'fpsSeries': 97, u'fpsTime': 1557585215107}
{u'decodedSeries': 163, u'videoSeries': 5.4, u'presentedSeries': 138, u'presentedTime': 1557585216118, u'decodedTime': 1557585216118, u'fpsSeries': 109, u'fpsTime': 1557585216118}
{u'decodedSeries': 201, u'videoSeries': 6.540892, u'presentedSeries': 164, u'presentedTime': 1557585217129, u'decodedTime': 1557585217129, u'fpsSeries': 130, u'fpsTime': 1557585217129}
{u'decodedSeries': 229, u'videoSeries': 7.5, u'presentedSeries': 194, u'presentedTime': 1557585218146, u'decodedTime': 1557585218146, u'fpsSeries': 158, u'fpsTime': 1557585218146}
{u'decodedSeries': 261, u'videoSeries': 8.586423, u'presentedSeries': 222, u'presentedTime': 1557585219146, u'decodedTime': 1557585219146, u'fpsSeries': 182, u'fpsTime': 1557585219146}
{u'decodedSeries': 288, u'videoSeries': 9.559469, u'presentedSeries': 252, u'presentedTime': 1557585220149, u'decodedTime': 1557585220149, u'fpsSeries': 208, u'fpsTime': 1557585220149}
{u'decodedSeries': 317, u'videoSeries': 10.533333, u'presentedSeries': 281, u'presentedTime': 1557585221159, u'decodedTime': 1557585221159, u'fpsSeries': 231, u'fpsTime': 1557585221159}
{u'decodedSeries': 352, u'videoSeries': 11.563867, u'presentedSeries': 312, u'presentedTime': 1557585222229, u'decodedTime': 1557585222229, u'fpsSeries': 258, u'fpsTime': 1557585222230}
{u'decodedSeries': 383, u'videoSeries': 12.639234, u'presentedSeries': 343, u'presentedTime': 1557585223269, u'decodedTime': 1557585223269, u'fpsSeries': 285, u'fpsTime': 1557585223269}
{u'decodedSeries': 414, u'videoSeries': 13.688895, u'presentedSeries': 367, u'presentedTime': 1557585224272, u'decodedTime': 1557585224272, u'fpsSeries': 307, u'fpsTime': 1557585224272}
