{u'lastRequest': 0, u'lastquality': 2, u'deviceTime': 1557585721861, u'lastChunkStartTime': 1557585721083, u'buffer': 4.033333, u'nextChunkSize': [2123065, 1431809, 957685, 611087, 398865, 155580], u'bandwidthEst': 4581.8536585365855, u'RebufferTime': 1043, u'droppedFrames': None, u'lastChunkFinishTime': 1557585721575, u'videoPlayed': 0, u'Type': u'BB', u'lastChunkSize': 281784}
{u'lastRequest': 1, u'lastquality': 4, u'deviceTime': 1557585722698, u'lastChunkStartTime': 1557585722530, u'buffer': 8, u'nextChunkSize': [2177073, 1300868, 877771, 571051, 350812, 139857], u'bandwidthEst': 5375.877376394194, u'RebufferTime': 1043, u'droppedFrames': None, u'lastChunkFinishTime': 1557585722539, u'videoPlayed': 0, u'Type': u'BB', u'lastChunkSize': 455965}
{u'lastRequest': 2, u'lastquality': 4, u'deviceTime': 1557585723515, u'lastChunkStartTime': 1557585723321, u'buffer': 11.31099, u'nextChunkSize': [2160877, 1520281, 933276, 617681, 382355, 155432], u'bandwidthEst': 6180.4253570592455, u'RebufferTime': 1043, u'droppedFrames': {u'droppedFrames': 0, u'totalFrames': 19, u'corruptedFrames': 0, u'time': 5174.6900000000005}, u'lastChunkFinishTime': 1557585723347, u'videoPlayed': 0.731695, u'Type': u'BB', u'lastChunkSize': 677564}
{u'lastRequest': 3, u'lastquality': 4, u'deviceTime': 1557585724303, u'lastChunkStartTime': 1557585723840, u'buffer': 14.536401, u'nextChunkSize': [2233056, 1472558, 996749, 652874, 411561, 163442], u'bandwidthEst': 7491.7013030971075, u'RebufferTime': 1043, u'droppedFrames': {u'droppedFrames': 0, u'totalFrames': 40, u'corruptedFrames': 0, u'time': 5841.96}, u'lastChunkFinishTime': 1557585724208, u'videoPlayed': 1.539882, u'Type': u'BB', u'lastChunkSize': 573374}
{u'lastRequest': 4, u'lastquality': 4, u'deviceTime': 1557585725136, u'lastChunkStartTime': 1557585724510, u'buffer': 17.660071, u'nextChunkSize': [1941625, 1224260, 801058, 520315, 318564, 126289], u'bandwidthEst': 8314.205032214197, u'RebufferTime': 1043, u'droppedFrames': {u'droppedFrames': 3, u'totalFrames': 67, u'corruptedFrames': 0, u'time': 6762.515}, u'lastChunkFinishTime': 1557585724929, u'videoPlayed': 2.380898, u'Type': u'BB', u'lastChunkSize': 602914}
{u'lastRequest': 5, u'lastquality': 4, u'deviceTime': 1557585726012, u'lastChunkStartTime': 1557585725401, u'buffer': 21.006869000000002, u'nextChunkSize': [2157535, 1388403, 905515, 561791, 352642, 153295], u'bandwidthEst': 13776.705639833797, u'RebufferTime': 1043, u'droppedFrames': {u'droppedFrames': 3, u'totalFrames': 92, u'corruptedFrames': 0, u'time': 7594.29}, u'lastChunkFinishTime': 1557585725708, u'videoPlayed': 3.059797, u'Type': u'BB', u'lastChunkSize': 503070}
{u'lastRequest': 6, u'lastquality': 4, u'deviceTime': 1557585726797, u'lastChunkStartTime': 1557585726247, u'buffer': 24.08763, u'nextChunkSize': [2290172, 1638769, 1060487, 709534, 437162, 173849], u'bandwidthEst': 12895.982998351903, u'RebufferTime': 1043, u'droppedFrames': {u'droppedFrames': 8, u'totalFrames': 119, u'corruptedFrames': 0, u'time': 8529.14}, u'lastChunkFinishTime': 1557585726611, u'videoPlayed': 4.03066, u'Type': u'BB', u'lastChunkSize': 559006}
{u'lastRequest': 7, u'lastquality': 4, u'deviceTime': 1557585728026, u'lastChunkStartTime': 1557585727257, u'buffer': 26.833334, u'nextChunkSize': [2055469, 1348011, 852833, 584846, 374758, 150710], u'bandwidthEst': 12593.220375871913, u'RebufferTime': 1043, u'droppedFrames': {u'droppedFrames': 19, u'totalFrames': 157, u'corruptedFrames': 0, u'time': 9762.015}, u'lastChunkFinishTime': 1557585727584, u'videoPlayed': 5.226809, u'Type': u'BB', u'lastChunkSize': 586878}
{u'lastRequest': 8, u'lastquality': 4, u'deviceTime': 1557585728860, u'lastChunkStartTime': 1557585728320, u'buffer': 29.953406, u'nextChunkSize': [2169201, 1429765, 913888, 560821, 362795, 139105], u'bandwidthEst': 12101.956670855116, u'RebufferTime': 1043, u'droppedFrames': {u'droppedFrames': 19, u'totalFrames': 176, u'corruptedFrames': 0, u'time': 10396.41}, u'lastChunkFinishTime': 1557585728759, u'videoPlayed': 6.046594, u'Type': u'BB', u'lastChunkSize': 585505}
{u'lastRequest': 9, u'lastquality': 4, u'deviceTime': 1557585729597, u'lastChunkStartTime': 1557585729031, u'buffer': 33.303845, u'nextChunkSize': [2173522, 1354548, 939819, 607410, 353220, 141840], u'bandwidthEst': 12159.833540105587, u'RebufferTime': 1043, u'droppedFrames': {u'droppedFrames': 20, u'totalFrames': 193, u'corruptedFrames': 0, u'time': 10964.75}, u'lastChunkFinishTime': 1557585729432, u'videoPlayed': 6.737355, u'Type': u'BB', u'lastChunkSize': 587926}
{u'lastRequest': 10, u'lastquality': 4, u'deviceTime': 1557585730305, u'lastChunkStartTime': 1557585729860, u'buffer': 36.487824, u'nextChunkSize': [2102452, 1519951, 917428, 594078, 405134, 156148], u'bandwidthEst': 12046.776442319786, u'RebufferTime': 1043, u'droppedFrames': {u'droppedFrames': 21, u'totalFrames': 221, u'corruptedFrames': 0, u'time': 11890.94}, u'lastChunkFinishTime': 1557585730261, u'videoPlayed': 7.554478, u'Type': u'BB', u'lastChunkSize': 615814}
{u'lastRequest': 11, u'lastquality': 4, u'deviceTime': 1557585731151, u'lastChunkStartTime': 1557585730553, u'buffer': 39.766667, u'nextChunkSize': [2209463, 1422919, 946851, 624282, 386351, 160746], u'bandwidthEst': 11832.316705491892, u'RebufferTime': 1043, u'droppedFrames': {u'droppedFrames': 21, u'totalFrames': 249, u'corruptedFrames': 0, u'time': 12859.52}, u'lastChunkFinishTime': 1557585731010, u'videoPlayed': 8.266666, u'Type': u'BB', u'lastChunkSize': 646284}
{u'lastRequest': 12, u'lastquality': 4, u'deviceTime': 1557585731750, u'lastChunkStartTime': 1557585731326, u'buffer': 43.042293, u'nextChunkSize': [2275376, 1578343, 1036454, 687371, 434409, 179801], u'bandwidthEst': 11334.21965344313, u'RebufferTime': 1043, u'droppedFrames': {u'droppedFrames': 23, u'totalFrames': 265, u'corruptedFrames': 0, u'time': 13373.035}, u'lastChunkFinishTime': 1557585731685, u'videoPlayed': 8.998332, u'Type': u'BB', u'lastChunkSize': 486427}
