Listening on port 8333
{u'decodedSeries': 31, u'videoSeries': 1.172868, u'presentedSeries': 27, u'presentedTime': 1554100871585, u'decodedTime': 1554100871584, u'fpsSeries': 29, u'fpsTime': 1554100871585}
{u'decodedSeries': 69, u'videoSeries': 2.668961, u'presentedSeries': 65, u'presentedTime': 1554100873085, u'decodedTime': 1554100873085, u'fpsSeries': 66, u'fpsTime': 1554100873085}
{u'decodedSeries': 106, u'videoSeries': 4.16, u'presentedSeries': 102, u'presentedTime': 1554100874585, u'decodedTime': 1554100874585, u'fpsSeries': 103, u'fpsTime': 1554100874585}
{u'decodedSeries': 145, u'videoSeries': 5.696388, u'presentedSeries': 140, u'presentedTime': 1554100876085, u'decodedTime': 1554100876085, u'fpsSeries': 141, u'fpsTime': 1554100876085}
{u'decodedSeries': 181, u'videoSeries': 7.189611, u'presentedSeries': 177, u'presentedTime': 1554100877585, u'decodedTime': 1554100877585, u'fpsSeries': 178, u'fpsTime': 1554100877585}
{u'decodedSeries': 219, u'videoSeries': 8.689595, u'presentedSeries': 215, u'presentedTime': 1554100879085, u'decodedTime': 1554100879085, u'fpsSeries': 216, u'fpsTime': 1554100879085}
{u'decodedSeries': 256, u'videoSeries': 10.182708, u'presentedSeries': 252, u'presentedTime': 1554100880585, u'decodedTime': 1554100880585, u'fpsSeries': 253, u'fpsTime': 1554100880585}
{u'decodedSeries': 295, u'videoSeries': 11.686546, u'presentedSeries': 290, u'presentedTime': 1554100882085, u'decodedTime': 1554100882085, u'fpsSeries': 291, u'fpsTime': 1554100882085}
{u'decodedSeries': 332, u'videoSeries': 13.182015, u'presentedSeries': 327, u'presentedTime': 1554100883586, u'decodedTime': 1554100883586, u'fpsSeries': 328, u'fpsTime': 1554100883586}
{u'decodedSeries': 369, u'videoSeries': 14.674143, u'presentedSeries': 365, u'presentedTime': 1554100885086, u'decodedTime': 1554100885086, u'fpsSeries': 366, u'fpsTime': 1554100885086}
{u'decodedSeries': 407, u'videoSeries': 16.16937, u'presentedSeries': 402, u'presentedTime': 1554100886586, u'decodedTime': 1554100886586, u'fpsSeries': 403, u'fpsTime': 1554100886586}
{u'decodedSeries': 444, u'videoSeries': 17.672841, u'presentedSeries': 440, u'presentedTime': 1554100888088, u'decodedTime': 1554100888088, u'fpsSeries': 440, u'fpsTime': 1554100888088}
{u'decodedSeries': 481, u'videoSeries': 19.169341, u'presentedSeries': 478, u'presentedTime': 1554100889588, u'decodedTime': 1554100889588, u'fpsSeries': 477, u'fpsTime': 1554100889588}
{u'decodedSeries': 519, u'videoSeries': 20.670522, u'presentedSeries': 515, u'presentedTime': 1554100891089, u'decodedTime': 1554100891088, u'fpsSeries': 515, u'fpsTime': 1554100891089}
{u'decodedSeries': 556, u'videoSeries': 22.165087, u'presentedSeries': 553, u'presentedTime': 1554100892589, u'decodedTime': 1554100892589, u'fpsSeries': 552, u'fpsTime': 1554100892589}
{u'decodedSeries': 594, u'videoSeries': 23.665626, u'presentedSeries': 590, u'presentedTime': 1554100894089, u'decodedTime': 1554100894089, u'fpsSeries': 590, u'fpsTime': 1554100894089}
{u'decodedSeries': 631, u'videoSeries': 25.198145, u'presentedSeries': 628, u'presentedTime': 1554100895589, u'decodedTime': 1554100895589, u'fpsSeries': 627, u'fpsTime': 1554100895589}
{u'decodedSeries': 669, u'videoSeries': 26.693384, u'presentedSeries': 665, u'presentedTime': 1554100897090, u'decodedTime': 1554100897090, u'fpsSeries': 665, u'fpsTime': 1554100897090}
{u'decodedSeries': 706, u'videoSeries': 28.187208, u'presentedSeries': 703, u'presentedTime': 1554100898590, u'decodedTime': 1554100898590, u'fpsSeries': 702, u'fpsTime': 1554100898590}
{u'decodedSeries': 745, u'videoSeries': 29.682044, u'presentedSeries': 740, u'presentedTime': 1554100900090, u'decodedTime': 1554100900090, u'fpsSeries': 740, u'fpsTime': 1554100900090}
{u'decodedSeries': 781, u'videoSeries': 31.178433, u'presentedSeries': 778, u'presentedTime': 1554100901590, u'decodedTime': 1554100901590, u'fpsSeries': 777, u'fpsTime': 1554100901590}
{u'decodedSeries': 819, u'videoSeries': 32.674241, u'presentedSeries': 815, u'presentedTime': 1554100903090, u'decodedTime': 1554100903090, u'fpsSeries': 815, u'fpsTime': 1554100903090}
{u'decodedSeries': 856, u'videoSeries': 34.169434, u'presentedSeries': 853, u'presentedTime': 1554100904590, u'decodedTime': 1554100904590, u'fpsSeries': 851, u'fpsTime': 1554100904590}
{u'decodedSeries': 894, u'videoSeries': 35.668808, u'presentedSeries': 890, u'presentedTime': 1554100906091, u'decodedTime': 1554100906090, u'fpsSeries': 889, u'fpsTime': 1554100906091}
{u'decodedSeries': 932, u'videoSeries': 37.165388, u'presentedSeries': 928, u'presentedTime': 1554100907590, u'decodedTime': 1554100907590, u'fpsSeries': 926, u'fpsTime': 1554100907590}
{u'decodedSeries': 970, u'videoSeries': 38.701513, u'presentedSeries': 965, u'presentedTime': 1554100909091, u'decodedTime': 1554100909091, u'fpsSeries': 964, u'fpsTime': 1554100909091}
{u'decodedSeries': 1006, u'videoSeries': 40.19604, u'presentedSeries': 1003, u'presentedTime': 1554100910591, u'decodedTime': 1554100910591, u'fpsSeries': 1001, u'fpsTime': 1554100910591}
{u'decodedSeries': 1045, u'videoSeries': 41.690254, u'presentedSeries': 1040, u'presentedTime': 1554100912092, u'decodedTime': 1554100912091, u'fpsSeries': 1039, u'fpsTime': 1554100912092}
{u'decodedSeries': 1082, u'videoSeries': 43.18347, u'presentedSeries': 1078, u'presentedTime': 1554100913592, u'decodedTime': 1554100913592, u'fpsSeries': 1076, u'fpsTime': 1554100913592}
{u'decodedSeries': 1119, u'videoSeries': 44.688993, u'presentedSeries': 1115, u'presentedTime': 1554100915091, u'decodedTime': 1554100915091, u'fpsSeries': 1114, u'fpsTime': 1554100915091}
