Listening on port 8333
{u'decodedSeries': 1249, u'videoSeries': 49.874853, u'presentedSeries': 1121, u'presentedTime': 1551725317132, u'decodedTime': 1551725317132, u'fpsSeries': 845, u'fpsTime': 1551725317132}
{u'decodedSeries': 1286, u'videoSeries': 51.382784, u'presentedSeries': 1157, u'presentedTime': 1551725318634, u'decodedTime': 1551725318633, u'fpsSeries': 877, u'fpsTime': 1551725318634}
{u'decodedSeries': 1331, u'videoSeries': 53.16, u'presentedSeries': 1202, u'presentedTime': 1551725320414, u'decodedTime': 1551725320414, u'fpsSeries': 900, u'fpsTime': 1551725320414}
{u'decodedSeries': 1368, u'videoSeries': 54.649061, u'presentedSeries': 1233, u'presentedTime': 1551725321915, u'decodedTime': 1551725321915, u'fpsSeries': 927, u'fpsTime': 1551725321915}
{u'decodedSeries': 1406, u'videoSeries': 56.141687, u'presentedSeries': 1271, u'presentedTime': 1551725323416, u'decodedTime': 1551725323416, u'fpsSeries': 964, u'fpsTime': 1551725323416}
{u'decodedSeries': 1443, u'videoSeries': 57.665727, u'presentedSeries': 1308, u'presentedTime': 1551725324915, u'decodedTime': 1551725324915, u'fpsSeries': 1000, u'fpsTime': 1551725324915}
{u'decodedSeries': 1481, u'videoSeries': 59.16, u'presentedSeries': 1346, u'presentedTime': 1551725326419, u'decodedTime': 1551725326418, u'fpsSeries': 1037, u'fpsTime': 1551725326419}
{u'decodedSeries': 1520, u'videoSeries': 60.737985, u'presentedSeries': 1384, u'presentedTime': 1551725327982, u'decodedTime': 1551725327981, u'fpsSeries': 1066, u'fpsTime': 1551725327982}
{u'decodedSeries': 1557, u'videoSeries': 62.215955, u'presentedSeries': 1421, u'presentedTime': 1551725329478, u'decodedTime': 1551725329478, u'fpsSeries': 1101, u'fpsTime': 1551725329478}
{u'decodedSeries': 1595, u'videoSeries': 63.727445, u'presentedSeries': 1459, u'presentedTime': 1551725330979, u'decodedTime': 1551725330979, u'fpsSeries': 1138, u'fpsTime': 1551725330979}
{u'decodedSeries': 1635, u'videoSeries': 64.96, u'presentedSeries': 1494, u'presentedTime': 1551725332580, u'decodedTime': 1551725332580, u'fpsSeries': 1152, u'fpsTime': 1551725332580}
{u'decodedSeries': 1672, u'videoSeries': 66.785979, u'presentedSeries': 1523, u'presentedTime': 1551725334053, u'decodedTime': 1551725334053, u'fpsSeries': 1176, u'fpsTime': 1551725334053}
{u'decodedSeries': 1709, u'videoSeries': 68.295885, u'presentedSeries': 1561, u'presentedTime': 1551725335560, u'decodedTime': 1551725335560, u'fpsSeries': 1204, u'fpsTime': 1551725335560}
{u'decodedSeries': 1747, u'videoSeries': 69.79218, u'presentedSeries': 1598, u'presentedTime': 1551725337062, u'decodedTime': 1551725337062, u'fpsSeries': 1226, u'fpsTime': 1551725337062}
{u'decodedSeries': 1784, u'videoSeries': 71.300559, u'presentedSeries': 1636, u'presentedTime': 1551725338563, u'decodedTime': 1551725338563, u'fpsSeries': 1262, u'fpsTime': 1551725338563}
{u'decodedSeries': 1823, u'videoSeries': 72.784947, u'presentedSeries': 1673, u'presentedTime': 1551725340104, u'decodedTime': 1551725340104, u'fpsSeries': 1295, u'fpsTime': 1551725340104}
{u'decodedSeries': 1860, u'videoSeries': 74.352458, u'presentedSeries': 1711, u'presentedTime': 1551725341611, u'decodedTime': 1551725341611, u'fpsSeries': 1325, u'fpsTime': 1551725341611}
{u'decodedSeries': 1898, u'videoSeries': 75.834488, u'presentedSeries': 1748, u'presentedTime': 1551725343112, u'decodedTime': 1551725343111, u'fpsSeries': 1363, u'fpsTime': 1551725343112}
{u'decodedSeries': 1936, u'videoSeries': 77.358971, u'presentedSeries': 1786, u'presentedTime': 1551725344616, u'decodedTime': 1551725344616, u'fpsSeries': 1394, u'fpsTime': 1551725344616}
{u'decodedSeries': 1974, u'videoSeries': 78.878936, u'presentedSeries': 1824, u'presentedTime': 1551725346135, u'decodedTime': 1551725346135, u'fpsSeries': 1428, u'fpsTime': 1551725346135}
{u'decodedSeries': 2011, u'videoSeries': 80.377125, u'presentedSeries': 1861, u'presentedTime': 1551725347636, u'decodedTime': 1551725347636, u'fpsSeries': 1464, u'fpsTime': 1551725347637}
