{u'decodedSeries': 377, u'videoSeries': 14.964705, u'presentedSeries': 372, u'presentedTime': 1555346681918, u'decodedTime': 1555346681918, u'fpsSeries': 375, u'fpsTime': 1555346681918}
{u'decodedSeries': 401, u'videoSeries': 15.973082, u'presentedSeries': 397, u'presentedTime': 1555346682920, u'decodedTime': 1555346682920, u'fpsSeries': 399, u'fpsTime': 1555346682920}
{u'decodedSeries': 427, u'videoSeries': 16.942496, u'presentedSeries': 422, u'presentedTime': 1555346683919, u'decodedTime': 1555346683919, u'fpsSeries': 424, u'fpsTime': 1555346683919}
{u'decodedSeries': 452, u'videoSeries': 17.952329, u'presentedSeries': 447, u'presentedTime': 1555346684919, u'decodedTime': 1555346684919, u'fpsSeries': 449, u'fpsTime': 1555346684919}
{u'decodedSeries': 477, u'videoSeries': 18.963331, u'presentedSeries': 472, u'presentedTime': 1555346685920, u'decodedTime': 1555346685920, u'fpsSeries': 474, u'fpsTime': 1555346685920}
{u'decodedSeries': 502, u'videoSeries': 19.972048, u'presentedSeries': 497, u'presentedTime': 1555346686919, u'decodedTime': 1555346686919, u'fpsSeries': 500, u'fpsTime': 1555346686919}
{u'decodedSeries': 527, u'videoSeries': 20.94126, u'presentedSeries': 522, u'presentedTime': 1555346687920, u'decodedTime': 1555346687920, u'fpsSeries': 525, u'fpsTime': 1555346687920}
{u'decodedSeries': 552, u'videoSeries': 21.950969, u'presentedSeries': 547, u'presentedTime': 1555346688920, u'decodedTime': 1555346688920, u'fpsSeries': 549, u'fpsTime': 1555346688920}
{u'decodedSeries': 577, u'videoSeries': 22.96701, u'presentedSeries': 572, u'presentedTime': 1555346689921, u'decodedTime': 1555346689921, u'fpsSeries': 574, u'fpsTime': 1555346689921}
{u'decodedSeries': 602, u'videoSeries': 23.975501, u'presentedSeries': 597, u'presentedTime': 1555346690921, u'decodedTime': 1555346690921, u'fpsSeries': 600, u'fpsTime': 1555346690921}
{u'decodedSeries': 627, u'videoSeries': 24.944524, u'presentedSeries': 622, u'presentedTime': 1555346691922, u'decodedTime': 1555346691920, u'fpsSeries': 625, u'fpsTime': 1555346691922}
{u'decodedSeries': 652, u'videoSeries': 25.955447, u'presentedSeries': 647, u'presentedTime': 1555346692922, u'decodedTime': 1555346692921, u'fpsSeries': 649, u'fpsTime': 1555346692922}
{u'decodedSeries': 677, u'videoSeries': 26.966979, u'presentedSeries': 672, u'presentedTime': 1555346693922, u'decodedTime': 1555346693922, u'fpsSeries': 674, u'fpsTime': 1555346693922}
{u'decodedSeries': 702, u'videoSeries': 27.97593, u'presentedSeries': 697, u'presentedTime': 1555346694922, u'decodedTime': 1555346694922, u'fpsSeries': 700, u'fpsTime': 1555346694922}
{u'decodedSeries': 727, u'videoSeries': 28.944929, u'presentedSeries': 722, u'presentedTime': 1555346695922, u'decodedTime': 1555346695922, u'fpsSeries': 725, u'fpsTime': 1555346695922}
{u'decodedSeries': 752, u'videoSeries': 29.95441, u'presentedSeries': 747, u'presentedTime': 1555346696922, u'decodedTime': 1555346696922, u'fpsSeries': 749, u'fpsTime': 1555346696922}
{u'decodedSeries': 777, u'videoSeries': 30.96612, u'presentedSeries': 772, u'presentedTime': 1555346697923, u'decodedTime': 1555346697922, u'fpsSeries': 775, u'fpsTime': 1555346697923}
{u'decodedSeries': 801, u'videoSeries': 31.974921, u'presentedSeries': 797, u'presentedTime': 1555346698923, u'decodedTime': 1555346698923, u'fpsSeries': 800, u'fpsTime': 1555346698923}
{u'decodedSeries': 827, u'videoSeries': 32.946985, u'presentedSeries': 822, u'presentedTime': 1555346699923, u'decodedTime': 1555346699923, u'fpsSeries': 825, u'fpsTime': 1555346699923}
{u'decodedSeries': 852, u'videoSeries': 33.95898, u'presentedSeries': 847, u'presentedTime': 1555346700924, u'decodedTime': 1555346700924, u'fpsSeries': 849, u'fpsTime': 1555346700924}
{u'decodedSeries': 877, u'videoSeries': 34.968201, u'presentedSeries': 872, u'presentedTime': 1555346701924, u'decodedTime': 1555346701924, u'fpsSeries': 875, u'fpsTime': 1555346701924}
