Listening on port 8333
{u'decodedSeries': 500, u'videoSeries': 19.905653, u'presentedSeries': 482, u'presentedTime': 1552560383754, u'decodedTime': 1552560383752, u'fpsSeries': 478, u'fpsTime': 1552560383754}
{u'decodedSeries': 538, u'videoSeries': 21.421187, u'presentedSeries': 520, u'presentedTime': 1552560385255, u'decodedTime': 1552560385255, u'fpsSeries': 516, u'fpsTime': 1552560385255}
{u'decodedSeries': 575, u'videoSeries': 22.913984, u'presentedSeries': 557, u'presentedTime': 1552560386756, u'decodedTime': 1552560386756, u'fpsSeries': 554, u'fpsTime': 1552560386756}
{u'decodedSeries': 612, u'videoSeries': 24.407728, u'presentedSeries': 595, u'presentedTime': 1552560388255, u'decodedTime': 1552560388255, u'fpsSeries': 591, u'fpsTime': 1552560388255}
{u'decodedSeries': 650, u'videoSeries': 25.944777, u'presentedSeries': 632, u'presentedTime': 1552560389755, u'decodedTime': 1552560389755, u'fpsSeries': 629, u'fpsTime': 1552560389755}
{u'decodedSeries': 688, u'videoSeries': 27.44, u'presentedSeries': 670, u'presentedTime': 1552560391257, u'decodedTime': 1552560391256, u'fpsSeries': 666, u'fpsTime': 1552560391257}
{u'decodedSeries': 725, u'videoSeries': 28.935591, u'presentedSeries': 707, u'presentedTime': 1552560392756, u'decodedTime': 1552560392756, u'fpsSeries': 704, u'fpsTime': 1552560392756}
{u'decodedSeries': 763, u'videoSeries': 30.431501, u'presentedSeries': 745, u'presentedTime': 1552560394257, u'decodedTime': 1552560394257, u'fpsSeries': 741, u'fpsTime': 1552560394257}
{u'decodedSeries': 800, u'videoSeries': 31.925428, u'presentedSeries': 782, u'presentedTime': 1552560395757, u'decodedTime': 1552560395757, u'fpsSeries': 779, u'fpsTime': 1552560395757}
{u'decodedSeries': 838, u'videoSeries': 33.421309, u'presentedSeries': 820, u'presentedTime': 1552560397257, u'decodedTime': 1552560397257, u'fpsSeries': 816, u'fpsTime': 1552560397257}
{u'decodedSeries': 875, u'videoSeries': 34.913496, u'presentedSeries': 857, u'presentedTime': 1552560398757, u'decodedTime': 1552560398757, u'fpsSeries': 854, u'fpsTime': 1552560398757}
{u'decodedSeries': 913, u'videoSeries': 36.410536, u'presentedSeries': 895, u'presentedTime': 1552560400258, u'decodedTime': 1552560400258, u'fpsSeries': 891, u'fpsTime': 1552560400258}
{u'decodedSeries': 950, u'videoSeries': 37.945967, u'presentedSeries': 932, u'presentedTime': 1552560401758, u'decodedTime': 1552560401758, u'fpsSeries': 929, u'fpsTime': 1552560401758}
{u'decodedSeries': 988, u'videoSeries': 39.438246, u'presentedSeries': 970, u'presentedTime': 1552560403259, u'decodedTime': 1552560403258, u'fpsSeries': 966, u'fpsTime': 1552560403259}
{u'decodedSeries': 1025, u'videoSeries': 40.936415, u'presentedSeries': 1007, u'presentedTime': 1552560404758, u'decodedTime': 1552560404758, u'fpsSeries': 1004, u'fpsTime': 1552560404758}
{u'decodedSeries': 1063, u'videoSeries': 42.428541, u'presentedSeries': 1045, u'presentedTime': 1552560406259, u'decodedTime': 1552560406258, u'fpsSeries': 1041, u'fpsTime': 1552560406259}
{u'decodedSeries': 1100, u'videoSeries': 43.919905, u'presentedSeries': 1082, u'presentedTime': 1552560407759, u'decodedTime': 1552560407759, u'fpsSeries': 1079, u'fpsTime': 1552560407759}
{u'decodedSeries': 1138, u'videoSeries': 45.420698, u'presentedSeries': 1120, u'presentedTime': 1552560409259, u'decodedTime': 1552560409259, u'fpsSeries': 1116, u'fpsTime': 1552560409259}
{u'decodedSeries': 1175, u'videoSeries': 46.913984, u'presentedSeries': 1157, u'presentedTime': 1552560410759, u'decodedTime': 1552560410759, u'fpsSeries': 1154, u'fpsTime': 1552560410759}
{u'decodedSeries': 1213, u'videoSeries': 48.447462, u'presentedSeries': 1195, u'presentedTime': 1552560412260, u'decodedTime': 1552560412260, u'fpsSeries': 1191, u'fpsTime': 1552560412260}
{u'decodedSeries': 1250, u'videoSeries': 49.939985, u'presentedSeries': 1232, u'presentedTime': 1552560413760, u'decodedTime': 1552560413760, u'fpsSeries': 1229, u'fpsTime': 1552560413760}
{u'decodedSeries': 1288, u'videoSeries': 51.432081, u'presentedSeries': 1270, u'presentedTime': 1552560415261, u'decodedTime': 1552560415261, u'fpsSeries': 1266, u'fpsTime': 1552560415261}
{u'decodedSeries': 1325, u'videoSeries': 52.932051, u'presentedSeries': 1307, u'presentedTime': 1552560416761, u'decodedTime': 1552560416761, u'fpsSeries': 1304, u'fpsTime': 1552560416761}
{u'decodedSeries': 1363, u'videoSeries': 54.424635, u'presentedSeries': 1345, u'presentedTime': 1552560418261, u'decodedTime': 1552560418260, u'fpsSeries': 1341, u'fpsTime': 1552560418261}
{u'decodedSeries': 1400, u'videoSeries': 55.916945, u'presentedSeries': 1382, u'presentedTime': 1552560419761, u'decodedTime': 1552560419761, u'fpsSeries': 1379, u'fpsTime': 1552560419761}
{u'decodedSeries': 1438, u'videoSeries': 57.41548, u'presentedSeries': 1420, u'presentedTime': 1552560421261, u'decodedTime': 1552560421261, u'fpsSeries': 1416, u'fpsTime': 1552560421261}
{u'decodedSeries': 1475, u'videoSeries': 58.949293, u'presentedSeries': 1457, u'presentedTime': 1552560422761, u'decodedTime': 1552560422761, u'fpsSeries': 1454, u'fpsTime': 1552560422761}
{u'decodedSeries': 1513, u'videoSeries': 60.44264, u'presentedSeries': 1495, u'presentedTime': 1552560424262, u'decodedTime': 1552560424262, u'fpsSeries': 1491, u'fpsTime': 1552560424262}
{u'decodedSeries': 1550, u'videoSeries': 61.935774, u'presentedSeries': 1532, u'presentedTime': 1552560425762, u'decodedTime': 1552560425762, u'fpsSeries': 1529, u'fpsTime': 1552560425762}
{u'decodedSeries': 1588, u'videoSeries': 63.428297, u'presentedSeries': 1570, u'presentedTime': 1552560427263, u'decodedTime': 1552560427262, u'fpsSeries': 1567, u'fpsTime': 1552560427263}
{u'decodedSeries': 1625, u'videoSeries': 64.933699, u'presentedSeries': 1607, u'presentedTime': 1552560428762, u'decodedTime': 1552560428762, u'fpsSeries': 1604, u'fpsTime': 1552560428762}
{u'decodedSeries': 1663, u'videoSeries': 66.425276, u'presentedSeries': 1645, u'presentedTime': 1552560430262, u'decodedTime': 1552560430262, u'fpsSeries': 1641, u'fpsTime': 1552560430262}
{u'decodedSeries': 1700, u'videoSeries': 67.919996, u'presentedSeries': 1682, u'presentedTime': 1552560431763, u'decodedTime': 1552560431763, u'fpsSeries': 1679, u'fpsTime': 1552560431763}
{u'decodedSeries': 1738, u'videoSeries': 69.415693, u'presentedSeries': 1720, u'presentedTime': 1552560433263, u'decodedTime': 1552560433263, u'fpsSeries': 1717, u'fpsTime': 1552560433263}
{u'decodedSeries': 1775, u'videoSeries': 70.948927, u'presentedSeries': 1757, u'presentedTime': 1552560434763, u'decodedTime': 1552560434763, u'fpsSeries': 1754, u'fpsTime': 1552560434763}
{u'decodedSeries': 1813, u'videoSeries': 72.444014, u'presentedSeries': 1795, u'presentedTime': 1552560436263, u'decodedTime': 1552560436263, u'fpsSeries': 1792, u'fpsTime': 1552560436263}
{u'decodedSeries': 1850, u'videoSeries': 73.940229, u'presentedSeries': 1832, u'presentedTime': 1552560437764, u'decodedTime': 1552560437764, u'fpsSeries': 1829, u'fpsTime': 1552560437764}
{u'decodedSeries': 1888, u'videoSeries': 75.43257, u'presentedSeries': 1870, u'presentedTime': 1552560439263, u'decodedTime': 1552560439263, u'fpsSeries': 1867, u'fpsTime': 1552560439263}
{u'decodedSeries': 1925, u'videoSeries': 76.927382, u'presentedSeries': 1907, u'presentedTime': 1552560440764, u'decodedTime': 1552560440764, u'fpsSeries': 1904, u'fpsTime': 1552560440764}
{u'decodedSeries': 1963, u'videoSeries': 78.420668, u'presentedSeries': 1945, u'presentedTime': 1552560442264, u'decodedTime': 1552560442264, u'fpsSeries': 1942, u'fpsTime': 1552560442264}
{u'decodedSeries': 2000, u'videoSeries': 79.952803, u'presentedSeries': 1982, u'presentedTime': 1552560443765, u'decodedTime': 1552560443765, u'fpsSeries': 1979, u'fpsTime': 1552560443765}
{u'decodedSeries': 2038, u'videoSeries': 81.44972, u'presentedSeries': 2020, u'presentedTime': 1552560445266, u'decodedTime': 1552560445264, u'fpsSeries': 2017, u'fpsTime': 1552560445266}
{u'decodedSeries': 2075, u'videoSeries': 82.941908, u'presentedSeries': 2057, u'presentedTime': 1552560446765, u'decodedTime': 1552560446765, u'fpsSeries': 2054, u'fpsTime': 1552560446765}
{u'decodedSeries': 2113, u'videoSeries': 84.434889, u'presentedSeries': 2095, u'presentedTime': 1552560448265, u'decodedTime': 1552560448265, u'fpsSeries': 2092, u'fpsTime': 1552560448265}
