Listening on port 8333
{u'lastRequest': 0, u'lastquality': 0, u'deviceTime': 1527281125559, u'lastChunkStartTime': 1527281123341, u'buffer': 4.08, u'bufferAdjusted': -0.46999999999999975, u'nextChunkSize': [2123065, 1431809, 957685, 611087, 398865, 155580], u'bandwidthEst': 1663.095106186519, u'RebufferTime': 2399, u'droppedFrames': None, u'lastChunkFinishTime': 1527281125507, u'videoPlayed': 0.08, u'Type': u'ABR', u'lastChunkSize': 450283}
{u'lastRequest': 1, u'lastquality': 1, u'deviceTime': 1527281127805, u'lastChunkStartTime': 1527281125747, u'buffer': 6.065377, u'bufferAdjusted': 1.515376999999999, u'nextChunkSize': [2177073, 1300868, 877771, 571051, 350812, 139857], u'bandwidthEst': 1634.8213946271344, u'RebufferTime': 2399, u'droppedFrames': {u'droppedFrames': 0, u'totalFrames': 48, u'corruptedFrames': 0, u'time': 7022}, u'lastChunkFinishTime': 1527281127735, u'videoPlayed': 2.014623, u'Type': u'ABR', u'lastChunkSize': 398865}
{u'lastRequest': 2, u'lastquality': 2, u'deviceTime': 1527281132024, u'lastChunkStartTime': 1527281128120, u'buffer': 5.840565, u'bufferAdjusted': 1.290564999999999, u'nextChunkSize': [2160877, 1520281, 933276, 617681, 382355, 155432], u'bandwidthEst': 1389.4497470411404, u'RebufferTime': 2399, u'droppedFrames': {u'droppedFrames': 0, u'totalFrames': 153, u'corruptedFrames': 0, u'time': 11213}, u'lastChunkFinishTime': 1527281131944, u'videoPlayed': 6.239435, u'Type': u'ABR', u'lastChunkSize': 571051}
{u'lastRequest': 3, u'lastquality': 0, u'deviceTime': 1527281134061, u'lastChunkStartTime': 1527281132327, u'buffer': 7.999999999999998, u'bufferAdjusted': 3.4499999999999975, u'nextChunkSize': [2233056, 1472558, 996749, 652874, 411561, 163442], u'bandwidthEst': 1214.2041031171882, u'RebufferTime': 2399, u'droppedFrames': {u'droppedFrames': 0, u'totalFrames': 194, u'corruptedFrames': 0, u'time': 12866}, u'lastChunkFinishTime': 1527281133976, u'videoPlayed': 8.08, u'Type': u'ABR', u'lastChunkSize': 155432}
{u'lastRequest': 4, u'lastquality': 0, u'deviceTime': 1527281135836, u'lastChunkStartTime': 1527281134330, u'buffer': 10.079999999999998, u'bufferAdjusted': 5.529999999999998, u'nextChunkSize': [1941625, 1224260, 801058, 520315, 318564, 126289], u'bandwidthEst': 1169.6442085240042, u'RebufferTime': 2399, u'droppedFrames': {u'droppedFrames': 9, u'totalFrames': 248, u'corruptedFrames': 0, u'time': 15005}, u'lastChunkFinishTime': 1527281135730, u'videoPlayed': 10.04, u'Type': u'ABR', u'lastChunkSize': 163442}
{u'lastRequest': 5, u'lastquality': 1, u'deviceTime': 1527281138630, u'lastChunkStartTime': 1527281136063, u'buffer': 11.216948999999998, u'bufferAdjusted': 6.666948999999997, u'nextChunkSize': [2157535, 1388403, 905515, 561791, 352642, 153295], u'bandwidthEst': 1069.8354822639196, u'RebufferTime': 2399, u'droppedFrames': {u'droppedFrames': 13, u'totalFrames': 318, u'corruptedFrames': 0, u'time': 17810}, u'lastChunkFinishTime': 1527281138603, u'videoPlayed': 12.863051, u'Type': u'ABR', u'lastChunkSize': 318564}
{u'lastRequest': 6, u'lastquality': 1, u'deviceTime': 1527281142003, u'lastChunkStartTime': 1527281138796, u'buffer': 11.849768999999998, u'bufferAdjusted': 7.299768999999998, u'nextChunkSize': [2290172, 1638769, 1060487, 709534, 437162, 173849], u'bandwidthEst': 969.5792943164882, u'RebufferTime': 2399, u'droppedFrames': {u'droppedFrames': 13, u'totalFrames': 403, u'corruptedFrames': 0, u'time': 21218}, u'lastChunkFinishTime': 1527281141964, u'videoPlayed': 16.230231, u'Type': u'ABR', u'lastChunkSize': 352642}
{u'lastRequest': 7, u'lastquality': 0, u'deviceTime': 1527281144050, u'lastChunkStartTime': 1527281142183, u'buffer': 13.810531999999998, u'bufferAdjusted': 9.260531999999998, u'nextChunkSize': [2055469, 1348011, 852833, 584846, 374758, 150710], u'bandwidthEst': 868.3809056337086, u'RebufferTime': 2399, u'droppedFrames': {u'droppedFrames': 13, u'totalFrames': 452, u'corruptedFrames': 0, u'time': 23175}, u'lastChunkFinishTime': 1527281144019, u'videoPlayed': 18.269468, u'Type': u'ABR', u'lastChunkSize': 173849}
{u'lastRequest': 8, u'lastquality': 0, u'deviceTime': 1527281146132, u'lastChunkStartTime': 1527281144205, u'buffer': 15.879999999999999, u'bufferAdjusted': 11.329999999999998, u'nextChunkSize': [2169201, 1429765, 913888, 560821, 362795, 139105], u'bandwidthEst': 842.0536587065008, u'RebufferTime': 2399, u'droppedFrames': {u'droppedFrames': 16, u'totalFrames': 503, u'corruptedFrames': 0, u'time': 25314}, u'lastChunkFinishTime': 1527281146038, u'videoPlayed': 20.2, u'Type': u'ABR', u'lastChunkSize': 150710}
{u'lastRequest': 9, u'lastquality': 0, u'deviceTime': 1527281148185, u'lastChunkStartTime': 1527281146367, u'buffer': 17.680708999999997, u'bufferAdjusted': 13.130709, u'nextChunkSize': [2173522, 1354548, 939819, 607410, 353220, 141840], u'bandwidthEst': 787.6991421514516, u'RebufferTime': 2399, u'droppedFrames': {u'droppedFrames': 19, u'totalFrames': 554, u'corruptedFrames': 0, u'time': 27264}, u'lastChunkFinishTime': 1527281148156, u'videoPlayed': 22.399291, u'Type': u'ABR', u'lastChunkSize': 139105}
{u'lastRequest': 10, u'lastquality': 0, u'deviceTime': 1527281150636, u'lastChunkStartTime': 1527281148368, u'buffer': 19.213348999999997, u'bufferAdjusted': 14.663349, u'nextChunkSize': [2102452, 1519951, 917428, 594078, 405134, 156148], u'bandwidthEst': 675.8221509398691, u'RebufferTime': 2399, u'droppedFrames': {u'droppedFrames': 19, u'totalFrames': 616, u'corruptedFrames': 0, u'time': 29733}, u'lastChunkFinishTime': 1527281150613, u'videoPlayed': 24.866651, u'Type': u'ABR', u'lastChunkSize': 141840}
{u'lastRequest': 11, u'lastquality': 1, u'deviceTime': 1527281174567, u'lastChunkStartTime': 1527281150858, u'buffer': 4.38306, u'bufferAdjusted': -0.16693999999999987, u'nextChunkSize': [2209463, 1422919, 946851, 624282, 386351, 160746], u'bandwidthEst': 169.20806832618075, u'RebufferTime': 7499, u'droppedFrames': {u'droppedFrames': 22, u'totalFrames': 1090, u'corruptedFrames': 0, u'time': 48684}, u'lastChunkFinishTime': 1527281174530, u'videoPlayed': 43.69694, u'Type': u'ABR', u'lastChunkSize': 405134}
