{u'decodedSeries': 4, u'videoSeries': 0.018742, u'presentedSeries': 1, u'presentedTime': 1557737084437, u'decodedTime': 1557737084437, u'fpsSeries': 3, u'fpsTime': 1557737084437}
{u'decodedSeries': 35, u'videoSeries': 1.030725, u'presentedSeries': 31, u'presentedTime': 1557737085437, u'decodedTime': 1557737085437, u'fpsSeries': 32, u'fpsTime': 1557737085437}
{u'decodedSeries': 64, u'videoSeries': 2.040836, u'presentedSeries': 61, u'presentedTime': 1557737086437, u'decodedTime': 1557737086437, u'fpsSeries': 63, u'fpsTime': 1557737086437}
{u'decodedSeries': 94, u'videoSeries': 3.009109, u'presentedSeries': 91, u'presentedTime': 1557737087436, u'decodedTime': 1557737087436, u'fpsSeries': 93, u'fpsTime': 1557737087436}
{u'decodedSeries': 124, u'videoSeries': 4.017159, u'presentedSeries': 121, u'presentedTime': 1557737088437, u'decodedTime': 1557737088436, u'fpsSeries': 123, u'fpsTime': 1557737088437}
{u'decodedSeries': 155, u'videoSeries': 5.025833, u'presentedSeries': 151, u'presentedTime': 1557737089437, u'decodedTime': 1557737089437, u'fpsSeries': 153, u'fpsTime': 1557737089437}
{u'decodedSeries': 185, u'videoSeries': 6.03693, u'presentedSeries': 181, u'presentedTime': 1557737090437, u'decodedTime': 1557737090437, u'fpsSeries': 182, u'fpsTime': 1557737090437}
{u'decodedSeries': 214, u'videoSeries': 7.01099, u'presentedSeries': 211, u'presentedTime': 1557737091437, u'decodedTime': 1557737091437, u'fpsSeries': 213, u'fpsTime': 1557737091437}
{u'decodedSeries': 244, u'videoSeries': 8.0194, u'presentedSeries': 241, u'presentedTime': 1557737092438, u'decodedTime': 1557737092438, u'fpsSeries': 242, u'fpsTime': 1557737092438}
{u'decodedSeries': 275, u'videoSeries': 9.029852, u'presentedSeries': 271, u'presentedTime': 1557737093438, u'decodedTime': 1557737093437, u'fpsSeries': 273, u'fpsTime': 1557737093438}
{u'decodedSeries': 305, u'videoSeries': 10.037516, u'presentedSeries': 301, u'presentedTime': 1557737094438, u'decodedTime': 1557737094438, u'fpsSeries': 302, u'fpsTime': 1557737094438}
{u'decodedSeries': 334, u'videoSeries': 11.046971, u'presentedSeries': 331, u'presentedTime': 1557737095439, u'decodedTime': 1557737095439, u'fpsSeries': 333, u'fpsTime': 1557737095439}
{u'decodedSeries': 364, u'videoSeries': 12.021138, u'presentedSeries': 361, u'presentedTime': 1557737096439, u'decodedTime': 1557737096439, u'fpsSeries': 363, u'fpsTime': 1557737096439}
{u'decodedSeries': 394, u'videoSeries': 13.041978, u'presentedSeries': 391, u'presentedTime': 1557737097439, u'decodedTime': 1557737097439, u'fpsSeries': 393, u'fpsTime': 1557737097439}
{u'decodedSeries': 424, u'videoSeries': 14.010031, u'presentedSeries': 421, u'presentedTime': 1557737098439, u'decodedTime': 1557737098439, u'fpsSeries': 423, u'fpsTime': 1557737098439}
{u'decodedSeries': 455, u'videoSeries': 15.021546, u'presentedSeries': 451, u'presentedTime': 1557737099439, u'decodedTime': 1557737099439, u'fpsSeries': 453, u'fpsTime': 1557737099439}
{u'decodedSeries': 484, u'videoSeries': 16.032443, u'presentedSeries': 481, u'presentedTime': 1557737100439, u'decodedTime': 1557737100439, u'fpsSeries': 483, u'fpsTime': 1557737100439}
{u'decodedSeries': 514, u'videoSeries': 17.040629, u'presentedSeries': 511, u'presentedTime': 1557737101439, u'decodedTime': 1557737101439, u'fpsSeries': 512, u'fpsTime': 1557737101439}
{u'decodedSeries': 544, u'videoSeries': 18.010816, u'presentedSeries': 541, u'presentedTime': 1557737102440, u'decodedTime': 1557737102440, u'fpsSeries': 543, u'fpsTime': 1557737102440}
{u'decodedSeries': 574, u'videoSeries': 19.020528, u'presentedSeries': 571, u'presentedTime': 1557737103440, u'decodedTime': 1557737103440, u'fpsSeries': 572, u'fpsTime': 1557737103440}
