{u'lastRequest': 0, u'lastquality': 2, u'deviceTime': 1557665852083, u'lastChunkStartTime': 1557665849629, u'buffer': 4, u'nextChunkSize': [2123065, 1431809, 957685, 611087, 398865, 155580], u'bandwidthEst': 3631.0466321243525, u'RebufferTime': 2785, u'droppedFrames': None, u'lastChunkFinishTime': 1557665851945, u'videoPlayed': 0, u'Type': u'BB', u'lastChunkSize': 1051188}
{u'lastRequest': 1, u'lastquality': 4, u'deviceTime': 1557665855988, u'lastChunkStartTime': 1557665852289, u'buffer': 8, u'nextChunkSize': [2177073, 1300868, 877771, 571051, 350812, 139857], u'bandwidthEst': 4142.191681744905, u'RebufferTime': 2785, u'droppedFrames': None, u'lastChunkFinishTime': 1557665854996, u'videoPlayed': 0, u'Type': u'BB', u'lastChunkSize': 1593536}
{u'lastRequest': 2, u'lastquality': 4, u'deviceTime': 1557665860454, u'lastChunkStartTime': 1557665856291, u'buffer': 12, u'nextChunkSize': [2160877, 1520281, 933276, 617681, 382355, 155432], u'bandwidthEst': 4559.432323698614, u'RebufferTime': 2785, u'droppedFrames': None, u'lastChunkFinishTime': 1557665860208, u'videoPlayed': 0, u'Type': u'BB', u'lastChunkSize': 2563549}
{u'lastRequest': 3, u'lastquality': 4, u'deviceTime': 1557665863477, u'lastChunkStartTime': 1557665860724, u'buffer': 13.873535, u'nextChunkSize': [2233056, 1472558, 996749, 652874, 411561, 163442], u'bandwidthEst': 5047.970150149105, u'RebufferTime': 2785, u'droppedFrames': {u'droppedFrames': 1, u'totalFrames': 60, u'corruptedFrames': 0, u'time': 22689}, u'lastChunkFinishTime': 1557665863372, u'videoPlayed': 2.166666, u'Type': u'BB', u'lastChunkSize': 2617900}
{u'lastRequest': 4, u'lastquality': 4, u'deviceTime': 1557665865148, u'lastChunkStartTime': 1557665863617, u'buffer': 16.180564, u'nextChunkSize': [1941625, 1224260, 801058, 520315, 318564, 126289], u'bandwidthEst': 5326.808529794826, u'RebufferTime': 2785, u'droppedFrames': {u'droppedFrames': 26, u'totalFrames': 110, u'corruptedFrames': 0, u'time': 24376}, u'lastChunkFinishTime': 1557665865079, u'videoPlayed': 3.819436, u'Type': u'BB', u'lastChunkSize': 1731610}
{u'lastRequest': 5, u'lastquality': 4, u'deviceTime': 1557665866708, u'lastChunkStartTime': 1557665865312, u'buffer': 18.672851, u'nextChunkSize': [2157535, 1388403, 905515, 561791, 352642, 153295], u'bandwidthEst': 6247.289014456325, u'RebufferTime': 2785, u'droppedFrames': {u'droppedFrames': 26, u'totalFrames': 154, u'corruptedFrames': 0, u'time': 25825}, u'lastChunkFinishTime': 1557665866591, u'videoPlayed': 5.393815, u'Type': u'BB', u'lastChunkSize': 1844248}
{u'lastRequest': 6, u'lastquality': 4, u'deviceTime': 1557665868119, u'lastChunkStartTime': 1557665866883, u'buffer': 21.256290999999997, u'nextChunkSize': [2290172, 1638769, 1060487, 709534, 437162, 173849], u'bandwidthEst': 7311.901965418139, u'RebufferTime': 2785, u'droppedFrames': {u'droppedFrames': 26, u'totalFrames': 197, u'corruptedFrames': 0, u'time': 27253}, u'lastChunkFinishTime': 1557665867946, u'videoPlayed': 6.818201, u'Type': u'BB', u'lastChunkSize': 2017939}
{u'lastRequest': 7, u'lastquality': 4, u'deviceTime': 1557665869703, u'lastChunkStartTime': 1557665868326, u'buffer': 23.8, u'nextChunkSize': [2055469, 1348011, 852833, 584846, 374758, 150710], u'bandwidthEst': 10176.097545669843, u'RebufferTime': 2785, u'droppedFrames': {u'droppedFrames': 26, u'totalFrames': 239, u'corruptedFrames': 0, u'time': 28677}, u'lastChunkFinishTime': 1557665869369, u'videoPlayed': 8.2, u'Type': u'BB', u'lastChunkSize': 2043036}
{u'lastRequest': 8, u'lastquality': 4, u'deviceTime': 1557665871268, u'lastChunkStartTime': 1557665869857, u'buffer': 26.133333999999998, u'nextChunkSize': [2169201, 1429765, 913888, 560821, 362795, 139105], u'bandwidthEst': 12463.09784119854, u'RebufferTime': 2785, u'droppedFrames': {u'droppedFrames': 40, u'totalFrames': 294, u'corruptedFrames': 0, u'time': 30544}, u'lastChunkFinishTime': 1557665871109, u'videoPlayed': 9.866666, u'Type': u'BB', u'lastChunkSize': 2235700}
{u'lastRequest': 9, u'lastquality': 4, u'deviceTime': 1557665872588, u'lastChunkStartTime': 1557665871406, u'buffer': 28.766666999999998, u'nextChunkSize': [2173522, 1354548, 939819, 607410, 353220, 141840], u'bandwidthEst': 14452.571443800927, u'RebufferTime': 2785, u'droppedFrames': {u'droppedFrames': 69, u'totalFrames': 336, u'corruptedFrames': 0, u'time': 31930}, u'lastChunkFinishTime': 1557665872346, u'videoPlayed': 11.233333, u'Type': u'BB', u'lastChunkSize': 2173605}
{u'lastRequest': 10, u'lastquality': 4, u'deviceTime': 1557665873877, u'lastChunkStartTime': 1557665872711, u'buffer': 31.7, u'nextChunkSize': [2102452, 1519951, 917428, 594078, 405134, 156148], u'bandwidthEst': 15909.855121385639, u'RebufferTime': 2785, u'droppedFrames': {u'droppedFrames': 79, u'totalFrames': 371, u'corruptedFrames': 0, u'time': 33237}, u'lastChunkFinishTime': 1557665873768, u'videoPlayed': 12.333333, u'Type': u'BB', u'lastChunkSize': 2268048}
{u'lastRequest': 11, u'lastquality': 4, u'deviceTime': 1557665875288, u'lastChunkStartTime': 1557665874059, u'buffer': 34.087694, u'nextChunkSize': [2209463, 1422919, 946851, 624282, 386351, 160746], u'bandwidthEst': 16578.947207865665, u'RebufferTime': 2785, u'droppedFrames': {u'droppedFrames': 92, u'totalFrames': 411, u'corruptedFrames': 0, u'time': 34382}, u'lastChunkFinishTime': 1557665875093, u'videoPlayed': 13.945639, u'Type': u'BB', u'lastChunkSize': 2444916}
{u'lastRequest': 12, u'lastquality': 4, u'deviceTime': 1557665876158, u'lastChunkStartTime': 1557665875511, u'buffer': 37.566667, u'nextChunkSize': [2275376, 1578343, 1036454, 687371, 434409, 179801], u'bandwidthEst': 17593.47564739248, u'RebufferTime': 2785, u'droppedFrames': {u'droppedFrames': 92, u'totalFrames': 426, u'corruptedFrames': 0, u'time': 35264}, u'lastChunkFinishTime': 1557665876070, u'videoPlayed': 14.433333, u'Type': u'BB', u'lastChunkSize': 1903216}
{u'lastRequest': 13, u'lastquality': 4, u'deviceTime': 1557665876989, u'lastChunkStartTime': 1557665876294, u'buffer': 41.366667, u'nextChunkSize': [2005399, 1231445, 821631, 526950, 337059, 140051], u'bandwidthEst': 20189.48454089025, u'RebufferTime': 2785, u'droppedFrames': {u'droppedFrames': 101, u'totalFrames': 436, u'corruptedFrames': 0, u'time': 36250}, u'lastChunkFinishTime': 1557665876832, u'videoPlayed': 14.633333, u'Type': u'BB', u'lastChunkSize': 2142408}
