{u'decodedSeries': 31, u'videoSeries': 0.980877, u'presentedSeries': 29, u'presentedTime': 1557682393864, u'decodedTime': 1557682393864, u'fpsSeries': 23, u'fpsTime': 1557682393864}
{u'decodedSeries': 46, u'videoSeries': 1.466666, u'presentedSeries': 35, u'presentedTime': 1557682394864, u'decodedTime': 1557682394864, u'fpsSeries': 28, u'fpsTime': 1557682394864}
{u'decodedSeries': 78, u'videoSeries': 2.6, u'presentedSeries': 35, u'presentedTime': 1557682395864, u'decodedTime': 1557682395864, u'fpsSeries': 28, u'fpsTime': 1557682395864}
{u'decodedSeries': 108, u'videoSeries': 3.566666, u'presentedSeries': 35, u'presentedTime': 1557682396864, u'decodedTime': 1557682396864, u'fpsSeries': 28, u'fpsTime': 1557682396864}
{u'decodedSeries': 143, u'videoSeries': 4.766666, u'presentedSeries': 35, u'presentedTime': 1557682397863, u'decodedTime': 1557682397863, u'fpsSeries': 28, u'fpsTime': 1557682397863}
{u'decodedSeries': 178, u'videoSeries': 5.9, u'presentedSeries': 35, u'presentedTime': 1557682398864, u'decodedTime': 1557682398864, u'fpsSeries': 28, u'fpsTime': 1557682398864}
{u'decodedSeries': 212, u'videoSeries': 6.97759, u'presentedSeries': 50, u'presentedTime': 1557682399864, u'decodedTime': 1557682399864, u'fpsSeries': 44, u'fpsTime': 1557682399864}
{u'decodedSeries': 242, u'videoSeries': 7.989147, u'presentedSeries': 71, u'presentedTime': 1557682400864, u'decodedTime': 1557682400864, u'fpsSeries': 65, u'fpsTime': 1557682400864}
{u'decodedSeries': 268, u'videoSeries': 8.933333, u'presentedSeries': 94, u'presentedTime': 1557682401864, u'decodedTime': 1557682401864, u'fpsSeries': 86, u'fpsTime': 1557682401864}
{u'decodedSeries': 302, u'videoSeries': 9.876741, u'presentedSeries': 121, u'presentedTime': 1557682402922, u'decodedTime': 1557682402922, u'fpsSeries': 112, u'fpsTime': 1557682402922}
{u'decodedSeries': 333, u'videoSeries': 11.021603, u'presentedSeries': 146, u'presentedTime': 1557682403925, u'decodedTime': 1557682403925, u'fpsSeries': 137, u'fpsTime': 1557682403925}
{u'decodedSeries': 363, u'videoSeries': 12.016437, u'presentedSeries': 172, u'presentedTime': 1557682404925, u'decodedTime': 1557682404925, u'fpsSeries': 161, u'fpsTime': 1557682404925}
{u'decodedSeries': 392, u'videoSeries': 12.960753, u'presentedSeries': 200, u'presentedTime': 1557682405929, u'decodedTime': 1557682405929, u'fpsSeries': 188, u'fpsTime': 1557682405929}
{u'decodedSeries': 415, u'videoSeries': 13.787472, u'presentedSeries': 223, u'presentedTime': 1557682406930, u'decodedTime': 1557682406930, u'fpsSeries': 210, u'fpsTime': 1557682406930}
{u'decodedSeries': 441, u'videoSeries': 14.633333, u'presentedSeries': 224, u'presentedTime': 1557682407936, u'decodedTime': 1557682407936, u'fpsSeries': 211, u'fpsTime': 1557682407936}
{u'decodedSeries': 459, u'videoSeries': 15.266666, u'presentedSeries': 224, u'presentedTime': 1557682408941, u'decodedTime': 1557682408941, u'fpsSeries': 211, u'fpsTime': 1557682408941}
{u'decodedSeries': 497, u'videoSeries': 16.566666, u'presentedSeries': 224, u'presentedTime': 1557682409939, u'decodedTime': 1557682409938, u'fpsSeries': 211, u'fpsTime': 1557682409939}
{u'decodedSeries': 530, u'videoSeries': 17.666666, u'presentedSeries': 224, u'presentedTime': 1557682410937, u'decodedTime': 1557682410937, u'fpsSeries': 211, u'fpsTime': 1557682410938}
{u'decodedSeries': 571, u'videoSeries': 18.966666, u'presentedSeries': 224, u'presentedTime': 1557682411937, u'decodedTime': 1557682411937, u'fpsSeries': 211, u'fpsTime': 1557682411937}
{u'decodedSeries': 603, u'videoSeries': 20.05812, u'presentedSeries': 226, u'presentedTime': 1557682412940, u'decodedTime': 1557682412938, u'fpsSeries': 214, u'fpsTime': 1557682412940}
{u'decodedSeries': 634, u'videoSeries': 21.031078, u'presentedSeries': 256, u'presentedTime': 1557682413938, u'decodedTime': 1557682413938, u'fpsSeries': 243, u'fpsTime': 1557682413938}
{u'decodedSeries': 665, u'videoSeries': 22.036615, u'presentedSeries': 286, u'presentedTime': 1557682414953, u'decodedTime': 1557682414953, u'fpsSeries': 272, u'fpsTime': 1557682414953}
{u'decodedSeries': 695, u'videoSeries': 23.056933, u'presentedSeries': 316, u'presentedTime': 1557682415953, u'decodedTime': 1557682415953, u'fpsSeries': 302, u'fpsTime': 1557682415953}
{u'decodedSeries': 723, u'videoSeries': 24.046107, u'presentedSeries': 342, u'presentedTime': 1557682416954, u'decodedTime': 1557682416954, u'fpsSeries': 327, u'fpsTime': 1557682416954}
{u'decodedSeries': 753, u'videoSeries': 25.068577, u'presentedSeries': 372, u'presentedTime': 1557682417955, u'decodedTime': 1557682417955, u'fpsSeries': 358, u'fpsTime': 1557682417955}
{u'decodedSeries': 783, u'videoSeries': 26.05084, u'presentedSeries': 402, u'presentedTime': 1557682418955, u'decodedTime': 1557682418955, u'fpsSeries': 386, u'fpsTime': 1557682418955}
{u'decodedSeries': 813, u'videoSeries': 27.075844, u'presentedSeries': 432, u'presentedTime': 1557682419955, u'decodedTime': 1557682419955, u'fpsSeries': 417, u'fpsTime': 1557682419955}
{u'decodedSeries': 841, u'videoSeries': 28.053451, u'presentedSeries': 461, u'presentedTime': 1557682420955, u'decodedTime': 1557682420955, u'fpsSeries': 445, u'fpsTime': 1557682420955}
{u'decodedSeries': 871, u'videoSeries': 29.045611, u'presentedSeries': 491, u'presentedTime': 1557682421956, u'decodedTime': 1557682421956, u'fpsSeries': 475, u'fpsTime': 1557682421956}
{u'decodedSeries': 902, u'videoSeries': 30.085856, u'presentedSeries': 521, u'presentedTime': 1557682422957, u'decodedTime': 1557682422957, u'fpsSeries': 503, u'fpsTime': 1557682422957}
{u'decodedSeries': 932, u'videoSeries': 31.062574, u'presentedSeries': 551, u'presentedTime': 1557682423959, u'decodedTime': 1557682423959, u'fpsSeries': 533, u'fpsTime': 1557682423959}
{u'decodedSeries': 961, u'videoSeries': 32.088942, u'presentedSeries': 581, u'presentedTime': 1557682424959, u'decodedTime': 1557682424959, u'fpsSeries': 561, u'fpsTime': 1557682424959}
{u'decodedSeries': 992, u'videoSeries': 33.060968, u'presentedSeries': 610, u'presentedTime': 1557682425961, u'decodedTime': 1557682425961, u'fpsSeries': 588, u'fpsTime': 1557682425961}
{u'decodedSeries': 1022, u'videoSeries': 34.054334, u'presentedSeries': 640, u'presentedTime': 1557682426961, u'decodedTime': 1557682426961, u'fpsSeries': 618, u'fpsTime': 1557682426961}
{u'decodedSeries': 1052, u'videoSeries': 35.077417, u'presentedSeries': 670, u'presentedTime': 1557682427962, u'decodedTime': 1557682427961, u'fpsSeries': 648, u'fpsTime': 1557682427962}
{u'decodedSeries': 1082, u'videoSeries': 36.066666, u'presentedSeries': 700, u'presentedTime': 1557682428962, u'decodedTime': 1557682428962, u'fpsSeries': 678, u'fpsTime': 1557682428962}
{u'decodedSeries': 1111, u'videoSeries': 37.058378, u'presentedSeries': 730, u'presentedTime': 1557682430148, u'decodedTime': 1557682430148, u'fpsSeries': 707, u'fpsTime': 1557682430148}
{u'decodedSeries': 1147, u'videoSeries': 38.279429, u'presentedSeries': 757, u'presentedTime': 1557682431148, u'decodedTime': 1557682431148, u'fpsSeries': 734, u'fpsTime': 1557682431148}
{u'decodedSeries': 1176, u'videoSeries': 39.266666, u'presentedSeries': 784, u'presentedTime': 1557682432163, u'decodedTime': 1557682432163, u'fpsSeries': 762, u'fpsTime': 1557682432163}
{u'decodedSeries': 1208, u'videoSeries': 40.2, u'presentedSeries': 815, u'presentedTime': 1557682433173, u'decodedTime': 1557682433173, u'fpsSeries': 789, u'fpsTime': 1557682433173}
{u'decodedSeries': 1239, u'videoSeries': 41.294349, u'presentedSeries': 845, u'presentedTime': 1557682434173, u'decodedTime': 1557682434173, u'fpsSeries': 815, u'fpsTime': 1557682434173}
{u'decodedSeries': 1268, u'videoSeries': 42.271423, u'presentedSeries': 875, u'presentedTime': 1557682435174, u'decodedTime': 1557682435174, u'fpsSeries': 845, u'fpsTime': 1557682435174}
{u'decodedSeries': 1298, u'videoSeries': 43.283725, u'presentedSeries': 903, u'presentedTime': 1557682436174, u'decodedTime': 1557682436174, u'fpsSeries': 872, u'fpsTime': 1557682436174}
{u'decodedSeries': 1326, u'videoSeries': 44.27771, u'presentedSeries': 932, u'presentedTime': 1557682437175, u'decodedTime': 1557682437174, u'fpsSeries': 899, u'fpsTime': 1557682437175}
{u'decodedSeries': 1358, u'videoSeries': 45.297864, u'presentedSeries': 962, u'presentedTime': 1557682438175, u'decodedTime': 1557682438175, u'fpsSeries': 927, u'fpsTime': 1557682438175}
{u'decodedSeries': 1387, u'videoSeries': 46.299411, u'presentedSeries': 991, u'presentedTime': 1557682439174, u'decodedTime': 1557682439174, u'fpsSeries': 955, u'fpsTime': 1557682439174}
{u'decodedSeries': 1418, u'videoSeries': 47.280648, u'presentedSeries': 1021, u'presentedTime': 1557682440175, u'decodedTime': 1557682440175, u'fpsSeries': 985, u'fpsTime': 1557682440175}
{u'decodedSeries': 1447, u'videoSeries': 48.269499, u'presentedSeries': 1050, u'presentedTime': 1557682441175, u'decodedTime': 1557682441175, u'fpsSeries': 1014, u'fpsTime': 1557682441175}
{u'decodedSeries': 1458, u'videoSeries': 48.766666, u'presentedSeries': 1063, u'presentedTime': 1557682442176, u'decodedTime': 1557682442176, u'fpsSeries': 1027, u'fpsTime': 1557682442176}

