{u'decodedSeries': 17, u'videoSeries': 0.409687, u'presentedSeries': 12, u'presentedTime': 1557663028816, u'decodedTime': 1557663028815, u'fpsSeries': 14, u'fpsTime': 1557663028816}
{u'decodedSeries': 47, u'videoSeries': 1.419784, u'presentedSeries': 43, u'presentedTime': 1557663029822, u'decodedTime': 1557663029822, u'fpsSeries': 44, u'fpsTime': 1557663029822}
{u'decodedSeries': 76, u'videoSeries': 2.430679, u'presentedSeries': 73, u'presentedTime': 1557663030822, u'decodedTime': 1557663030822, u'fpsSeries': 74, u'fpsTime': 1557663030822}
{u'decodedSeries': 106, u'videoSeries': 3.404877, u'presentedSeries': 103, u'presentedTime': 1557663031822, u'decodedTime': 1557663031822, u'fpsSeries': 104, u'fpsTime': 1557663031822}
{u'decodedSeries': 136, u'videoSeries': 4.424549, u'presentedSeries': 133, u'presentedTime': 1557663032822, u'decodedTime': 1557663032822, u'fpsSeries': 134, u'fpsTime': 1557663032822}
{u'decodedSeries': 166, u'videoSeries': 5.402724, u'presentedSeries': 163, u'presentedTime': 1557663033823, u'decodedTime': 1557663033823, u'fpsSeries': 164, u'fpsTime': 1557663033823}
{u'decodedSeries': 197, u'videoSeries': 6.411703, u'presentedSeries': 193, u'presentedTime': 1557663034823, u'decodedTime': 1557663034823, u'fpsSeries': 194, u'fpsTime': 1557663034823}
{u'decodedSeries': 226, u'videoSeries': 7.436081, u'presentedSeries': 223, u'presentedTime': 1557663035828, u'decodedTime': 1557663035827, u'fpsSeries': 224, u'fpsTime': 1557663035828}
{u'decodedSeries': 256, u'videoSeries': 8.41694, u'presentedSeries': 253, u'presentedTime': 1557663036828, u'decodedTime': 1557663036827, u'fpsSeries': 255, u'fpsTime': 1557663036828}
{u'decodedSeries': 287, u'videoSeries': 9.419006, u'presentedSeries': 283, u'presentedTime': 1557663037828, u'decodedTime': 1557663037828, u'fpsSeries': 285, u'fpsTime': 1557663037828}
{u'decodedSeries': 317, u'videoSeries': 10.408914, u'presentedSeries': 313, u'presentedTime': 1557663038840, u'decodedTime': 1557663038840, u'fpsSeries': 315, u'fpsTime': 1557663038840}
{u'decodedSeries': 347, u'videoSeries': 11.427854, u'presentedSeries': 343, u'presentedTime': 1557663039840, u'decodedTime': 1557663039840, u'fpsSeries': 345, u'fpsTime': 1557663039840}
{u'decodedSeries': 377, u'videoSeries': 12.439852, u'presentedSeries': 373, u'presentedTime': 1557663040843, u'decodedTime': 1557663040843, u'fpsSeries': 375, u'fpsTime': 1557663040843}
{u'decodedSeries': 407, u'videoSeries': 13.451987, u'presentedSeries': 403, u'presentedTime': 1557663041843, u'decodedTime': 1557663041843, u'fpsSeries': 405, u'fpsTime': 1557663041843}
{u'decodedSeries': 437, u'videoSeries': 14.422309, u'presentedSeries': 433, u'presentedTime': 1557663042844, u'decodedTime': 1557663042844, u'fpsSeries': 435, u'fpsTime': 1557663042844}
{u'decodedSeries': 467, u'videoSeries': 15.430922, u'presentedSeries': 463, u'presentedTime': 1557663043844, u'decodedTime': 1557663043844, u'fpsSeries': 465, u'fpsTime': 1557663043844}
{u'decodedSeries': 497, u'videoSeries': 16.440608, u'presentedSeries': 493, u'presentedTime': 1557663044845, u'decodedTime': 1557663044844, u'fpsSeries': 495, u'fpsTime': 1557663044845}
{u'decodedSeries': 527, u'videoSeries': 17.455812, u'presentedSeries': 523, u'presentedTime': 1557663045845, u'decodedTime': 1557663045845, u'fpsSeries': 525, u'fpsTime': 1557663045845}
{u'decodedSeries': 557, u'videoSeries': 18.427791, u'presentedSeries': 553, u'presentedTime': 1557663046845, u'decodedTime': 1557663046845, u'fpsSeries': 555, u'fpsTime': 1557663046845}
{u'decodedSeries': 587, u'videoSeries': 19.439172, u'presentedSeries': 583, u'presentedTime': 1557663047846, u'decodedTime': 1557663047845, u'fpsSeries': 585, u'fpsTime': 1557663047846}
{u'decodedSeries': 618, u'videoSeries': 20.452306, u'presentedSeries': 614, u'presentedTime': 1557663048855, u'decodedTime': 1557663048855, u'fpsSeries': 615, u'fpsTime': 1557663048855}
{u'decodedSeries': 647, u'videoSeries': 21.463845, u'presentedSeries': 644, u'presentedTime': 1557663049856, u'decodedTime': 1557663049856, u'fpsSeries': 645, u'fpsTime': 1557663049856}
{u'decodedSeries': 678, u'videoSeries': 22.433333, u'presentedSeries': 674, u'presentedTime': 1557663050857, u'decodedTime': 1557663050856, u'fpsSeries': 675, u'fpsTime': 1557663050857}
{u'decodedSeries': 707, u'videoSeries': 23.455394, u'presentedSeries': 704, u'presentedTime': 1557663051857, u'decodedTime': 1557663051857, u'fpsSeries': 705, u'fpsTime': 1557663051857}
{u'decodedSeries': 735, u'videoSeries': 24.46576, u'presentedSeries': 732, u'presentedTime': 1557663052857, u'decodedTime': 1557663052857, u'fpsSeries': 733, u'fpsTime': 1557663052857}
