{u'lastRequest': 0, u'lastquality': 2, u'deviceTime': 1557575396044, u'lastChunkStartTime': 1557575395770, u'buffer': 4.033333, u'nextChunkSize': [2123065, 1431809, 957685, 611087, 398865, 155580], u'bandwidthEst': 3785.5353535353534, u'RebufferTime': 515, u'droppedFrames': None, u'lastChunkFinishTime': 1557575395968, u'videoPlayed': 0, u'Type': u'BB', u'lastChunkSize': 93692}
{u'lastRequest': 1, u'lastquality': 4, u'deviceTime': 1557575396776, u'lastChunkStartTime': 1557575396118, u'buffer': 8, u'nextChunkSize': [2177073, 1300868, 877771, 571051, 350812, 139857], u'bandwidthEst': 1848.353577857486, u'RebufferTime': 515, u'droppedFrames': None, u'lastChunkFinishTime': 1557575396679, u'videoPlayed': 0, u'Type': u'BB', u'lastChunkSize': 109787}
{u'lastRequest': 2, u'lastquality': 4, u'deviceTime': 1557575398102, u'lastChunkStartTime': 1557575396833, u'buffer': 12, u'nextChunkSize': [2160877, 1520281, 933276, 617681, 382355, 155432], u'bandwidthEst': 1444.141663950619, u'RebufferTime': 515, u'droppedFrames': None, u'lastChunkFinishTime': 1557575397810, u'videoPlayed': 0, u'Type': u'BB', u'lastChunkSize': 150754}
{u'lastRequest': 3, u'lastquality': 4, u'deviceTime': 1557575399285, u'lastChunkStartTime': 1557575398151, u'buffer': 16, u'nextChunkSize': [2233056, 1472558, 996749, 652874, 411561, 163442], u'bandwidthEst': 1330.5148377599166, u'RebufferTime': 515, u'droppedFrames': None, u'lastChunkFinishTime': 1557575398966, u'videoPlayed': 0, u'Type': u'BB', u'lastChunkSize': 116090}
{u'lastRequest': 4, u'lastquality': 4, u'deviceTime': 1557575400136, u'lastChunkStartTime': 1557575399605, u'buffer': 19.418009, u'nextChunkSize': [1941625, 1224260, 801058, 520315, 318564, 126289], u'bandwidthEst': 1417.358237203709, u'RebufferTime': 515, u'droppedFrames': {u'droppedFrames': 0, u'totalFrames': 15, u'corruptedFrames': 0, u'time': 7660.92}, u'lastChunkFinishTime': 1557575399866, u'videoPlayed': 0.709397, u'Type': u'BB', u'lastChunkSize': 127721}
{u'lastRequest': 5, u'lastquality': 4, u'deviceTime': 1557575400998, u'lastChunkStartTime': 1557575400555, u'buffer': 22.626199, u'nextChunkSize': [2157535, 1388403, 905515, 561791, 352642, 153295], u'bandwidthEst': 1403.3565861270467, u'RebufferTime': 515, u'droppedFrames': {u'droppedFrames': 0, u'totalFrames': 39, u'corruptedFrames': 0, u'time': 8456.215}, u'lastChunkFinishTime': 1557575400673, u'videoPlayed': 1.414966, u'Type': u'BB', u'lastChunkSize': 115320}
{u'lastRequest': 6, u'lastquality': 4, u'deviceTime': 1557575401986, u'lastChunkStartTime': 1557575401296, u'buffer': 25.483106, u'nextChunkSize': [2290172, 1638769, 1060487, 709534, 437162, 173849], u'bandwidthEst': 1473.4644436800552, u'RebufferTime': 515, u'droppedFrames': {u'droppedFrames': 1, u'totalFrames': 75, u'corruptedFrames': 0, u'time': 9656.82}, u'lastChunkFinishTime': 1557575401613, u'videoPlayed': 2.55793, u'Type': u'BB', u'lastChunkSize': 125476}
{u'lastRequest': 7, u'lastquality': 4, u'deviceTime': 1557575402417, u'lastChunkStartTime': 1557575402162, u'buffer': 29.014443, u'nextChunkSize': [2055469, 1348011, 852833, 584846, 374758, 150710], u'bandwidthEst': 1814.487493426856, u'RebufferTime': 515, u'droppedFrames': {u'droppedFrames': 1, u'totalFrames': 84, u'corruptedFrames': 0, u'time': 9942.245}, u'lastChunkFinishTime': 1557575402335, u'videoPlayed': 2.985557, u'Type': u'BB', u'lastChunkSize': 120640}
{u'lastRequest': 8, u'lastquality': 4, u'deviceTime': 1557575402874, u'lastChunkStartTime': 1557575402794, u'buffer': 32.591882, u'nextChunkSize': [2169201, 1429765, 913888, 560821, 362795, 139105], u'bandwidthEst': 4351.380331656121, u'RebufferTime': 515, u'droppedFrames': {u'droppedFrames': 1, u'totalFrames': 98, u'corruptedFrames': 0, u'time': 10407.755000000001}, u'lastChunkFinishTime': 1557575402822, u'videoPlayed': 3.408118, u'Type': u'BB', u'lastChunkSize': 127460}
{u'lastRequest': 9, u'lastquality': 4, u'deviceTime': 1557575403650, u'lastChunkStartTime': 1557575403114, u'buffer': 36.10075, u'nextChunkSize': [2173522, 1354548, 939819, 607410, 353220, 141840], u'bandwidthEst': 4870.604426167126, u'RebufferTime': 515, u'droppedFrames': {u'droppedFrames': 1, u'totalFrames': 117, u'corruptedFrames': 0, u'time': 11045.805}, u'lastChunkFinishTime': 1557575403197, u'videoPlayed': 4.118228, u'Type': u'BB', u'lastChunkSize': 126583}
{u'lastRequest': 10, u'lastquality': 4, u'deviceTime': 1557575404254, u'lastChunkStartTime': 1557575404032, u'buffer': 39.220692, u'nextChunkSize': [2102452, 1519951, 917428, 594078, 405134, 156148], u'bandwidthEst': 4940.809832716996, u'RebufferTime': 515, u'droppedFrames': {u'droppedFrames': 5, u'totalFrames': 137, u'corruptedFrames': 0, u'time': 11703.83}, u'lastChunkFinishTime': 1557575404143, u'videoPlayed': 4.820986, u'Type': u'BB', u'lastChunkSize': 136068}
{u'lastRequest': 11, u'lastquality': 4, u'deviceTime': 1557575405018, u'lastChunkStartTime': 1557575404612, u'buffer': 42.495432, u'nextChunkSize': [2209463, 1422919, 946851, 624282, 386351, 160746], u'bandwidthEst': 5641.8006240339855, u'RebufferTime': 515, u'droppedFrames': {u'droppedFrames': 5, u'totalFrames': 166, u'corruptedFrames': 0, u'time': 12663.205}, u'lastChunkFinishTime': 1557575404881, u'videoPlayed': 5.611951, u'Type': u'BB', u'lastChunkSize': 126582}
{u'lastRequest': 12, u'lastquality': 4, u'deviceTime': 1557575405404, u'lastChunkStartTime': 1557575405197, u'buffer': 46.007753, u'nextChunkSize': [2275376, 1578343, 1036454, 687371, 434409, 179801], u'bandwidthEst': 5957.849398767, u'RebufferTime': 515, u'droppedFrames': {u'droppedFrames': 5, u'totalFrames': 175, u'corruptedFrames': 0, u'time': 12983.210000000001}, u'lastChunkFinishTime': 1557575405271, u'videoPlayed': 5.992247, u'Type': u'BB', u'lastChunkSize': 107041}
{u'lastRequest': 13, u'lastquality': 4, u'deviceTime': 1557575405993, u'lastChunkStartTime': 1557575405659, u'buffer': 49.482086, u'nextChunkSize': [2005399, 1231445, 821631, 526950, 337059, 140051], u'bandwidthEst': 5438.787240345535, u'RebufferTime': 515, u'droppedFrames': {u'droppedFrames': 5, u'totalFrames': 195, u'corruptedFrames': 0, u'time': 13656.720000000001}, u'lastChunkFinishTime': 1557575405858, u'videoPlayed': 6.558685, u'Type': u'BB', u'lastChunkSize': 127245}
{u'lastRequest': 14, u'lastquality': 4, u'deviceTime': 1557575406419, u'lastChunkStartTime': 1557575406265, u'buffer': 53.133333, u'nextChunkSize': [2152483, 1471065, 923170, 587876, 366214, 138313], u'bandwidthEst': 5426.575798002352, u'RebufferTime': 515, u'droppedFrames': {u'droppedFrames': 5, u'totalFrames': 204, u'corruptedFrames': 0, u'time': 13953.275}, u'lastChunkFinishTime': 1557575406314, u'videoPlayed': 6.997538, u'Type': u'BB', u'lastChunkSize': 122582}
