{u'decodedSeries': 18, u'videoSeries': 0.288474, u'presentedSeries': 14, u'presentedTime': 1557576050848, u'decodedTime': 1557576050848, u'fpsSeries': 7, u'fpsTime': 1557576050848}
{u'decodedSeries': 52, u'videoSeries': 1.266666, u'presentedSeries': 41, u'presentedTime': 1557576051981, u'decodedTime': 1557576051981, u'fpsSeries': 32, u'fpsTime': 1557576051981}
{u'decodedSeries': 82, u'videoSeries': 2.51845, u'presentedSeries': 74, u'presentedTime': 1557576053096, u'decodedTime': 1557576053096, u'fpsSeries': 62, u'fpsTime': 1557576053096}
{u'decodedSeries': 120, u'videoSeries': 3.695947, u'presentedSeries': 107, u'presentedTime': 1557576054236, u'decodedTime': 1557576054236, u'fpsSeries': 81, u'fpsTime': 1557576054236}
{u'decodedSeries': 150, u'videoSeries': 4.715034, u'presentedSeries': 137, u'presentedTime': 1557576055272, u'decodedTime': 1557576055272, u'fpsSeries': 102, u'fpsTime': 1557576055272}
{u'decodedSeries': 185, u'videoSeries': 5.875846, u'presentedSeries': 171, u'presentedTime': 1557576056412, u'decodedTime': 1557576056412, u'fpsSeries': 132, u'fpsTime': 1557576056412}
{u'decodedSeries': 222, u'videoSeries': 7.097121, u'presentedSeries': 208, u'presentedTime': 1557576057654, u'decodedTime': 1557576057653, u'fpsSeries': 165, u'fpsTime': 1557576057654}
{u'decodedSeries': 254, u'videoSeries': 8.276199, u'presentedSeries': 239, u'presentedTime': 1557576058730, u'decodedTime': 1557576058730, u'fpsSeries': 193, u'fpsTime': 1557576058730}
{u'decodedSeries': 285, u'videoSeries': 9.275625, u'presentedSeries': 270, u'presentedTime': 1557576059755, u'decodedTime': 1557576059755, u'fpsSeries': 217, u'fpsTime': 1557576059755}
{u'decodedSeries': 318, u'videoSeries': 10.323008, u'presentedSeries': 302, u'presentedTime': 1557576060824, u'decodedTime': 1557576060824, u'fpsSeries': 247, u'fpsTime': 1557576060824}
{u'decodedSeries': 348, u'videoSeries': 11.466666, u'presentedSeries': 332, u'presentedTime': 1557576061825, u'decodedTime': 1557576061825, u'fpsSeries': 267, u'fpsTime': 1557576061825}
{u'decodedSeries': 385, u'videoSeries': 12.442998, u'presentedSeries': 364, u'presentedTime': 1557576063110, u'decodedTime': 1557576063110, u'fpsSeries': 297, u'fpsTime': 1557576063110}
{u'decodedSeries': 417, u'videoSeries': 13.708425, u'presentedSeries': 393, u'presentedTime': 1557576064134, u'decodedTime': 1557576064134, u'fpsSeries': 322, u'fpsTime': 1557576064134}
{u'decodedSeries': 447, u'videoSeries': 14.749785, u'presentedSeries': 424, u'presentedTime': 1557576065158, u'decodedTime': 1557576065158, u'fpsSeries': 351, u'fpsTime': 1557576065158}
{u'decodedSeries': 477, u'videoSeries': 15.788639, u'presentedSeries': 454, u'presentedTime': 1557576066160, u'decodedTime': 1557576066160, u'fpsSeries': 378, u'fpsTime': 1557576066160}
{u'decodedSeries': 509, u'videoSeries': 16.797008, u'presentedSeries': 482, u'presentedTime': 1557576067215, u'decodedTime': 1557576067215, u'fpsSeries': 405, u'fpsTime': 1557576067215}
{u'decodedSeries': 539, u'videoSeries': 17.830184, u'presentedSeries': 512, u'presentedTime': 1557576068215, u'decodedTime': 1557576068215, u'fpsSeries': 434, u'fpsTime': 1557576068215}
{u'decodedSeries': 569, u'videoSeries': 18.829024, u'presentedSeries': 542, u'presentedTime': 1557576069216, u'decodedTime': 1557576069216, u'fpsSeries': 463, u'fpsTime': 1557576069216}
{u'decodedSeries': 599, u'videoSeries': 19.829163, u'presentedSeries': 570, u'presentedTime': 1557576070217, u'decodedTime': 1557576070217, u'fpsSeries': 489, u'fpsTime': 1557576070217}
{u'decodedSeries': 629, u'videoSeries': 20.839676, u'presentedSeries': 600, u'presentedTime': 1557576071217, u'decodedTime': 1557576071217, u'fpsSeries': 518, u'fpsTime': 1557576071217}
{u'decodedSeries': 659, u'videoSeries': 21.837266, u'presentedSeries': 630, u'presentedTime': 1557576072217, u'decodedTime': 1557576072217, u'fpsSeries': 547, u'fpsTime': 1557576072217}
{u'decodedSeries': 690, u'videoSeries': 22.840696, u'presentedSeries': 661, u'presentedTime': 1557576073233, u'decodedTime': 1557576073232, u'fpsSeries': 577, u'fpsTime': 1557576073234}
{u'decodedSeries': 719, u'videoSeries': 23.855416, u'presentedSeries': 691, u'presentedTime': 1557576074224, u'decodedTime': 1557576074224, u'fpsSeries': 604, u'fpsTime': 1557576074224}
{u'decodedSeries': 748, u'videoSeries': 24.869832, u'presentedSeries': 721, u'presentedTime': 1557576075224, u'decodedTime': 1557576075224, u'fpsSeries': 632, u'fpsTime': 1557576075224}
{u'decodedSeries': 779, u'videoSeries': 25.833333, u'presentedSeries': 751, u'presentedTime': 1557576076225, u'decodedTime': 1557576076225, u'fpsSeries': 664, u'fpsTime': 1557576076225}
{u'decodedSeries': 810, u'videoSeries': 26.848952, u'presentedSeries': 781, u'presentedTime': 1557576077226, u'decodedTime': 1557576077226, u'fpsSeries': 693, u'fpsTime': 1557576077226}
{u'decodedSeries': 839, u'videoSeries': 27.855652, u'presentedSeries': 811, u'presentedTime': 1557576078226, u'decodedTime': 1557576078226, u'fpsSeries': 722, u'fpsTime': 1557576078226}
