{u'decodedSeries': 17, u'videoSeries': 0.460528, u'presentedSeries': 14, u'presentedTime': 1557581765185, u'decodedTime': 1557581765185, u'fpsSeries': 13, u'fpsTime': 1557581765185}
{u'decodedSeries': 49, u'videoSeries': 1.462815, u'presentedSeries': 45, u'presentedTime': 1557581766219, u'decodedTime': 1557581766219, u'fpsSeries': 42, u'fpsTime': 1557581766219}
{u'decodedSeries': 88, u'videoSeries': 2.766666, u'presentedSeries': 84, u'presentedTime': 1557581767522, u'decodedTime': 1557581767522, u'fpsSeries': 75, u'fpsTime': 1557581767522}
{u'decodedSeries': 118, u'videoSeries': 3.8, u'presentedSeries': 100, u'presentedTime': 1557581768527, u'decodedTime': 1557581768527, u'fpsSeries': 90, u'fpsTime': 1557581768527}
{u'decodedSeries': 148, u'videoSeries': 4.804556, u'presentedSeries': 123, u'presentedTime': 1557581769528, u'decodedTime': 1557581769528, u'fpsSeries': 107, u'fpsTime': 1557581769528}
{u'decodedSeries': 179, u'videoSeries': 5.813785, u'presentedSeries': 149, u'presentedTime': 1557581770550, u'decodedTime': 1557581770550, u'fpsSeries': 130, u'fpsTime': 1557581770550}
{u'decodedSeries': 212, u'videoSeries': 6.815713, u'presentedSeries': 182, u'presentedTime': 1557581771659, u'decodedTime': 1557581771659, u'fpsSeries': 160, u'fpsTime': 1557581771659}
{u'decodedSeries': 241, u'videoSeries': 7.940341, u'presentedSeries': 212, u'presentedTime': 1557581772659, u'decodedTime': 1557581772659, u'fpsSeries': 190, u'fpsTime': 1557581772659}
{u'decodedSeries': 273, u'videoSeries': 8.9, u'presentedSeries': 244, u'presentedTime': 1557581773695, u'decodedTime': 1557581773695, u'fpsSeries': 218, u'fpsTime': 1557581773695}
{u'decodedSeries': 304, u'videoSeries': 9.971642, u'presentedSeries': 273, u'presentedTime': 1557581774694, u'decodedTime': 1557581774694, u'fpsSeries': 247, u'fpsTime': 1557581774694}
{u'decodedSeries': 333, u'videoSeries': 11.002909, u'presentedSeries': 303, u'presentedTime': 1557581775703, u'decodedTime': 1557581775696, u'fpsSeries': 276, u'fpsTime': 1557581775703}
{u'decodedSeries': 364, u'videoSeries': 11.975305, u'presentedSeries': 333, u'presentedTime': 1557581776720, u'decodedTime': 1557581776720, u'fpsSeries': 307, u'fpsTime': 1557581776720}
{u'decodedSeries': 394, u'videoSeries': 13.013441, u'presentedSeries': 360, u'presentedTime': 1557581777721, u'decodedTime': 1557581777721, u'fpsSeries': 331, u'fpsTime': 1557581777721}
{u'decodedSeries': 424, u'videoSeries': 13.995478, u'presentedSeries': 390, u'presentedTime': 1557581778721, u'decodedTime': 1557581778721, u'fpsSeries': 361, u'fpsTime': 1557581778721}
{u'decodedSeries': 454, u'videoSeries': 15.025731, u'presentedSeries': 420, u'presentedTime': 1557581779721, u'decodedTime': 1557581779721, u'fpsSeries': 391, u'fpsTime': 1557581779721}
