Listening on port 8333
{u'lastRequest': 0, u'lastquality': 0, u'deviceTime': 1527279397546, u'lastChunkStartTime': 1527279396593, u'buffer': 4.08, u'nextChunkSize': [2123065, 1431809, 957685, 611087, 398865, 155580], u'bandwidthEst': 1608.858407079646, u'RebufferTime': 1142, u'droppedFrames': None, u'lastChunkFinishTime': 1527279397497, u'videoPlayed': 0.08, u'Type': u'RB', u'lastChunkSize': 181801}
{u'lastRequest': 1, u'lastquality': 2, u'deviceTime': 1527279401291, u'lastChunkStartTime': 1527279397872, u'buffer': 4.455432, u'nextChunkSize': [2177073, 1300868, 877771, 571051, 350812, 139857], u'bandwidthEst': 1476.418895473909, u'RebufferTime': 1142, u'droppedFrames': {u'droppedFrames': 0, u'totalFrames': 84, u'corruptedFrames': 0, u'time': 6979}, u'lastChunkFinishTime': 1527279401256, u'videoPlayed': 3.664865, u'Type': u'RB', u'lastChunkSize': 611087}
{u'lastRequest': 2, u'lastquality': 2, u'deviceTime': 1527279406573, u'lastChunkStartTime': 1527279401416, u'buffer': 4.295983, u'nextChunkSize': [2160877, 1520281, 933276, 617681, 382355, 155432], u'bandwidthEst': 1091.4089090584569, u'RebufferTime': 2315, u'droppedFrames': {u'droppedFrames': 9, u'totalFrames': 193, u'corruptedFrames': 0, u'time': 12463}, u'lastChunkFinishTime': 1527279406519, u'videoPlayed': 7.825233, u'Type': u'RB', u'lastChunkSize': 571051}
{u'lastRequest': 3, u'lastquality': 1, u'deviceTime': 1527279410053, u'lastChunkStartTime': 1527279406937, u'buffer': 4.799999999999999, u'nextChunkSize': [2233056, 1472558, 996749, 652874, 411561, 163442], u'bandwidthEst': 1064.4893075062384, u'RebufferTime': 2315, u'droppedFrames': {u'droppedFrames': 29, u'totalFrames': 274, u'corruptedFrames': 0, u'time': 15707}, u'lastChunkFinishTime': 1527279410026, u'videoPlayed': 11.28, u'Type': u'RB', u'lastChunkSize': 382355}
{u'lastRequest': 4, u'lastquality': 1, u'deviceTime': 1527279414138, u'lastChunkStartTime': 1527279410175, u'buffer': 4.723093999999998, u'nextChunkSize': [1941625, 1224260, 801058, 520315, 318564, 126289], u'bandwidthEst': 1003.4908190163243, u'RebufferTime': 2315, u'droppedFrames': {u'droppedFrames': 36, u'totalFrames': 382, u'corruptedFrames': 0, u'time': 20005}, u'lastChunkFinishTime': 1527279414060, u'videoPlayed': 15.397469, u'Type': u'RB', u'lastChunkSize': 411561}
{u'lastRequest': 5, u'lastquality': 1, u'deviceTime': 1527279418208, u'lastChunkStartTime': 1527279414296, u'buffer': 4.642581, u'nextChunkSize': [2157535, 1388403, 905515, 561791, 352642, 153295], u'bandwidthEst': 894.1642768477659, u'RebufferTime': 2315, u'droppedFrames': {u'droppedFrames': 36, u'totalFrames': 483, u'corruptedFrames': 0, u'time': 24069}, u'lastChunkFinishTime': 1527279418164, u'videoPlayed': 19.437419, u'Type': u'RB', u'lastChunkSize': 318564}
{u'lastRequest': 6, u'lastquality': 1, u'deviceTime': 1527279438027, u'lastChunkStartTime': 1527279418349, u'buffer': 4.442031, u'nextChunkSize': [2290172, 1638769, 1060487, 709534, 437162, 173849], u'bandwidthEst': 228.10478613748853, u'RebufferTime': 17949, u'droppedFrames': {u'droppedFrames': 36, u'totalFrames': 588, u'corruptedFrames': 0, u'time': 28270}, u'lastChunkFinishTime': 1527279437989, u'videoPlayed': 23.637969, u'Type': u'RB', u'lastChunkSize': 352642}
{u'lastRequest': 7, u'lastquality': 0, u'deviceTime': 1527279444213, u'lastChunkStartTime': 1527279438524, u'buffer': 4.262177999999999, u'nextChunkSize': [2055469, 1348011, 852833, 584846, 374758, 150710], u'bandwidthEst': 208.4912896848308, u'RebufferTime': 19565, u'droppedFrames': {u'droppedFrames': 36, u'totalFrames': 693, u'corruptedFrames': 0, u'time': 48480}, u'lastChunkFinishTime': 1527279444188, u'videoPlayed': 27.817822, u'Type': u'RB', u'lastChunkSize': 173849}
{u'lastRequest': 8, u'lastquality': 0, u'deviceTime': 1527279446251, u'lastChunkStartTime': 1527279444327, u'buffer': 6.21312, u'nextChunkSize': [2169201, 1429765, 913888, 560821, 362795, 139105], u'bandwidthEst': 201.77472118055223, u'RebufferTime': 19565, u'droppedFrames': {u'droppedFrames': 62, u'totalFrames': 741, u'corruptedFrames': 0, u'time': 51991}, u'lastChunkFinishTime': 1527279446225, u'videoPlayed': 29.86688, u'Type': u'RB', u'lastChunkSize': 150710}
{u'lastRequest': 9, u'lastquality': 0, u'deviceTime': 1527279447921, u'lastChunkStartTime': 1527279446379, u'buffer': 8.540381, u'nextChunkSize': [2173522, 1354548, 939819, 607410, 353220, 141840], u'bandwidthEst': 190.861166770594, u'RebufferTime': 19565, u'droppedFrames': {u'droppedFrames': 62, u'totalFrames': 783, u'corruptedFrames': 0, u'time': 53662}, u'lastChunkFinishTime': 1527279447890, u'videoPlayed': 31.539619, u'Type': u'RB', u'lastChunkSize': 139105}
{u'lastRequest': 10, u'lastquality': 0, u'deviceTime': 1527279449680, u'lastChunkStartTime': 1527279448071, u'buffer': 10.789828999999997, u'nextChunkSize': [2102452, 1519951, 917428, 594078, 405134, 156148], u'bandwidthEst': 181.36947511853953, u'RebufferTime': 19565, u'droppedFrames': {u'droppedFrames': 62, u'totalFrames': 826, u'corruptedFrames': 0, u'time': 55373}, u'lastChunkFinishTime': 1527279449655, u'videoPlayed': 33.290171, u'Type': u'RB', u'lastChunkSize': 141840}
{u'lastRequest': 11, u'lastquality': 0, u'deviceTime': 1527279451224, u'lastChunkStartTime': 1527279449809, u'buffer': 13.246004999999997, u'nextChunkSize': [2209463, 1422919, 946851, 624282, 386351, 160746], u'bandwidthEst': 378.11025500278095, u'RebufferTime': 19565, u'droppedFrames': {u'droppedFrames': 62, u'totalFrames': 867, u'corruptedFrames': 0, u'time': 57038}, u'lastChunkFinishTime': 1527279451206, u'videoPlayed': 34.874023, u'Type': u'RB', u'lastChunkSize': 156148}
