Listening on port 8333
{u'lastRequest': 0, u'lastquality': 2, u'deviceTime': 1552328694509, u'lastChunkStartTime': 1552328693643, u'buffer': 4.08, u'nextChunkSize': [2123065, 1431809, 957685, 611087, 398865, 155580], u'bandwidthEst': 10914.068601583114, u'RebufferTime': 986, u'droppedFrames': None, u'lastChunkFinishTime': 1552328694401, u'videoPlayed': 0.08, u'Type': u'BB', u'lastChunkSize': 1034108}
{u'lastRequest': 1, u'lastquality': 3, u'deviceTime': 1552328695417, u'lastChunkStartTime': 1552328694658, u'buffer': 7.38666, u'nextChunkSize': [2177073, 1300868, 877771, 571051, 350812, 139857], u'bandwidthEst': 11263.51356218223, u'RebufferTime': 986, u'droppedFrames': {u'droppedFrames': 0, u'totalFrames': 13, u'corruptedFrames': 0, u'time': 3186}, u'lastChunkFinishTime': 1552328695313, u'videoPlayed': 0.69334, u'Type': u'BB', u'lastChunkSize': 957685}
{u'lastRequest': 2, u'lastquality': 3, u'deviceTime': 1552328696233, u'lastChunkStartTime': 1552328695557, u'buffer': 10.574043, u'nextChunkSize': [2160877, 1520281, 933276, 617681, 382355, 155432], u'bandwidthEst': 11375.083254434421, u'RebufferTime': 986, u'droppedFrames': {u'droppedFrames': 0, u'totalFrames': 34, u'corruptedFrames': 0, u'time': 4029}, u'lastChunkFinishTime': 1552328696160, u'videoPlayed': 1.505957, u'Type': u'BB', u'lastChunkSize': 877771}
{u'lastRequest': 3, u'lastquality': 3, u'deviceTime': 1552328697049, u'lastChunkStartTime': 1552328696360, u'buffer': 13.760324999999998, u'nextChunkSize': [2233056, 1472558, 996749, 652874, 411561, 163442], u'bandwidthEst': 11460.358600550908, u'RebufferTime': 986, u'droppedFrames': {u'droppedFrames': 0, u'totalFrames': 56, u'corruptedFrames': 0, u'time': 4877}, u'lastChunkFinishTime': 1552328696996, u'videoPlayed': 2.319675, u'Type': u'BB', u'lastChunkSize': 933276}
{u'lastRequest': 4, u'lastquality': 3, u'deviceTime': 1552328697928, u'lastChunkStartTime': 1552328697176, u'buffer': 16.862229999999997, u'nextChunkSize': [1941625, 1224260, 801058, 520315, 318564, 126289], u'bandwidthEst': 11469.883809811114, u'RebufferTime': 986, u'droppedFrames': {u'droppedFrames': 0, u'totalFrames': 77, u'corruptedFrames': 0, u'time': 5737}, u'lastChunkFinishTime': 1552328697869, u'videoPlayed': 3.21777, u'Type': u'BB', u'lastChunkSize': 996749}
{u'lastRequest': 5, u'lastquality': 3, u'deviceTime': 1552328698633, u'lastChunkStartTime': 1552328698052, u'buffer': 20.171822, u'nextChunkSize': [2157535, 1388403, 905515, 561791, 352642, 153295], u'bandwidthEst': 11641.33757015815, u'RebufferTime': 986, u'droppedFrames': {u'droppedFrames': 0, u'totalFrames': 90, u'corruptedFrames': 0, u'time': 6272}, u'lastChunkFinishTime': 1552328698603, u'videoPlayed': 3.908178, u'Type': u'BB', u'lastChunkSize': 801058}
{u'lastRequest': 6, u'lastquality': 3, u'deviceTime': 1552328699429, u'lastChunkStartTime': 1552328698738, u'buffer': 23.4, u'nextChunkSize': [2290172, 1638769, 1060487, 709534, 437162, 173849], u'bandwidthEst': 11623.225725083561, u'RebufferTime': 986, u'droppedFrames': {u'droppedFrames': 0, u'totalFrames': 111, u'corruptedFrames': 0, u'time': 7114}, u'lastChunkFinishTime': 1552328699362, u'videoPlayed': 4.68, u'Type': u'BB', u'lastChunkSize': 905515}
{u'lastRequest': 7, u'lastquality': 3, u'deviceTime': 1552328700326, u'lastChunkStartTime': 1552328699552, u'buffer': 26.500701999999997, u'nextChunkSize': [2055469, 1348011, 852833, 584846, 374758, 150710], u'bandwidthEst': 11647.328141725196, u'RebufferTime': 986, u'droppedFrames': {u'droppedFrames': 0, u'totalFrames': 133, u'corruptedFrames': 0, u'time': 7973}, u'lastChunkFinishTime': 1552328700274, u'videoPlayed': 5.619674, u'Type': u'BB', u'lastChunkSize': 1060487}
{u'lastRequest': 8, u'lastquality': 3, u'deviceTime': 1552328701118, u'lastChunkStartTime': 1552328700449, u'buffer': 29.683701, u'nextChunkSize': [2169201, 1429765, 913888, 560821, 362795, 139105], u'bandwidthEst': 11609.882278350115, u'RebufferTime': 986, u'droppedFrames': {u'droppedFrames': 0, u'totalFrames': 154, u'corruptedFrames': 0, u'time': 8834}, u'lastChunkFinishTime': 1552328701040, u'videoPlayed': 6.396299, u'Type': u'BB', u'lastChunkSize': 852833}
{u'lastRequest': 9, u'lastquality': 3, u'deviceTime': 1552328701932, u'lastChunkStartTime': 1552328701251, u'buffer': 32.868764999999996, u'nextChunkSize': [2173522, 1354548, 939819, 607410, 353220, 141840], u'bandwidthEst': 11650.763035067735, u'RebufferTime': 986, u'droppedFrames': {u'droppedFrames': 0, u'totalFrames': 175, u'corruptedFrames': 0, u'time': 9646}, u'lastChunkFinishTime': 1552328701876, u'videoPlayed': 7.211235, u'Type': u'BB', u'lastChunkSize': 913888}
{u'lastRequest': 10, u'lastquality': 3, u'deviceTime': 1552328702773, u'lastChunkStartTime': 1552328702056, u'buffer': 36.060112, u'nextChunkSize': [2102452, 1519951, 917428, 594078, 405134, 156148], u'bandwidthEst': 11644.490476069946, u'RebufferTime': 986, u'droppedFrames': {u'droppedFrames': 0, u'totalFrames': 196, u'corruptedFrames': 0, u'time': 10498}, u'lastChunkFinishTime': 1552328702704, u'videoPlayed': 8.060201, u'Type': u'BB', u'lastChunkSize': 939819}
{u'lastRequest': 11, u'lastquality': 3, u'deviceTime': 1552328703592, u'lastChunkStartTime': 1552328702907, u'buffer': 39.211428999999995, u'nextChunkSize': [2209463, 1422919, 946851, 624282, 386351, 160746], u'bandwidthEst': 11666.868964165447, u'RebufferTime': 986, u'droppedFrames': {u'droppedFrames': 0, u'totalFrames': 217, u'corruptedFrames': 0, u'time': 11346}, u'lastChunkFinishTime': 1552328703533, u'videoPlayed': 8.868571, u'Type': u'BB', u'lastChunkSize': 917428}
{u'lastRequest': 12, u'lastquality': 3, u'deviceTime': 1552328704411, u'lastChunkStartTime': 1552328703718, u'buffer': 42.403546, u'nextChunkSize': [2275376, 1578343, 1036454, 687371, 434409, 179801], u'bandwidthEst': 11685.371093689519, u'RebufferTime': 986, u'droppedFrames': {u'droppedFrames': 0, u'totalFrames': 238, u'corruptedFrames': 0, u'time': 12191}, u'lastChunkFinishTime': 1552328704357, u'videoPlayed': 9.676454, u'Type': u'BB', u'lastChunkSize': 946851}
{u'lastRequest': 13, u'lastquality': 3, u'deviceTime': 1552328705336, u'lastChunkStartTime': 1552328704532, u'buffer': 45.510859999999994, u'nextChunkSize': [2005399, 1231445, 821631, 526950, 337059, 140051], u'bandwidthEst': 11688.025588436622, u'RebufferTime': 986, u'droppedFrames': {u'droppedFrames': 0, u'totalFrames': 259, u'corruptedFrames': 0, u'time': 13003}, u'lastChunkFinishTime': 1552328705248, u'videoPlayed': 10.609679, u'Type': u'BB', u'lastChunkSize': 1036454}
