Listening on port 8333
{u'decodedSeries': 1152, u'videoSeries': 45.985213, u'presentedSeries': 1047, u'presentedTime': 1551725613580, u'decodedTime': 1551725613580, u'fpsSeries': 732, u'fpsTime': 1551725613580}
{u'decodedSeries': 1189, u'videoSeries': 47.511873, u'presentedSeries': 1084, u'presentedTime': 1551725615081, u'decodedTime': 1551725615081, u'fpsSeries': 769, u'fpsTime': 1551725615081}
{u'decodedSeries': 1227, u'videoSeries': 48.992135, u'presentedSeries': 1122, u'presentedTime': 1551725616581, u'decodedTime': 1551725616581, u'fpsSeries': 803, u'fpsTime': 1551725616581}
{u'decodedSeries': 1264, u'videoSeries': 50.50795, u'presentedSeries': 1159, u'presentedTime': 1551725618082, u'decodedTime': 1551725618081, u'fpsSeries': 840, u'fpsTime': 1551725618082}
{u'decodedSeries': 1300, u'videoSeries': 51.986543, u'presentedSeries': 1197, u'presentedTime': 1551725619582, u'decodedTime': 1551725619582, u'fpsSeries': 876, u'fpsTime': 1551725619582}
{u'decodedSeries': 1340, u'videoSeries': 53.514177, u'presentedSeries': 1235, u'presentedTime': 1551725621100, u'decodedTime': 1551725621100, u'fpsSeries': 914, u'fpsTime': 1551725621100}
{u'decodedSeries': 1377, u'videoSeries': 55.031742, u'presentedSeries': 1272, u'presentedTime': 1551725622601, u'decodedTime': 1551725622600, u'fpsSeries': 951, u'fpsTime': 1551725622601}
{u'decodedSeries': 1415, u'videoSeries': 56.508924, u'presentedSeries': 1310, u'presentedTime': 1551725624112, u'decodedTime': 1551725624112, u'fpsSeries': 987, u'fpsTime': 1551725624112}
{u'decodedSeries': 1452, u'videoSeries': 58.04, u'presentedSeries': 1349, u'presentedTime': 1551725625675, u'decodedTime': 1551725625675, u'fpsSeries': 1022, u'fpsTime': 1551725625675}
{u'decodedSeries': 1492, u'videoSeries': 59.578076, u'presentedSeries': 1387, u'presentedTime': 1551725627175, u'decodedTime': 1551725627175, u'fpsSeries': 1060, u'fpsTime': 1551725627175}
{u'decodedSeries': 1529, u'videoSeries': 61.078857, u'presentedSeries': 1424, u'presentedTime': 1551725628686, u'decodedTime': 1551725628686, u'fpsSeries': 1081, u'fpsTime': 1551725628686}
{u'decodedSeries': 1569, u'videoSeries': 62.596278, u'presentedSeries': 1463, u'presentedTime': 1551725630276, u'decodedTime': 1551725630273, u'fpsSeries': 1107, u'fpsTime': 1551725630276}
{u'decodedSeries': 1605, u'videoSeries': 64.137333, u'presentedSeries': 1499, u'presentedTime': 1551725631706, u'decodedTime': 1551725631706, u'fpsSeries': 1129, u'fpsTime': 1551725631706}
{u'decodedSeries': 1642, u'videoSeries': 65.606244, u'presentedSeries': 1537, u'presentedTime': 1551725633208, u'decodedTime': 1551725633208, u'fpsSeries': 1165, u'fpsTime': 1551725633208}
{u'decodedSeries': 1680, u'videoSeries': 67.137752, u'presentedSeries': 1574, u'presentedTime': 1551725634708, u'decodedTime': 1551725634708, u'fpsSeries': 1201, u'fpsTime': 1551725634708}
{u'decodedSeries': 1718, u'videoSeries': 68.638955, u'presentedSeries': 1612, u'presentedTime': 1551725636223, u'decodedTime': 1551725636222, u'fpsSeries': 1239, u'fpsTime': 1551725636223}
{u'decodedSeries': 1755, u'videoSeries': 70.135454, u'presentedSeries': 1650, u'presentedTime': 1551725637725, u'decodedTime': 1551725637725, u'fpsSeries': 1273, u'fpsTime': 1551725637725}
{u'decodedSeries': 1793, u'videoSeries': 71.644097, u'presentedSeries': 1687, u'presentedTime': 1551725639223, u'decodedTime': 1551725639223, u'fpsSeries': 1313, u'fpsTime': 1551725639223}
