Listening on port 8333
{u'decodedSeries': 290, u'videoSeries': 11.246046, u'presentedSeries': 280, u'presentedTime': 1552562796317, u'decodedTime': 1552562796316, u'fpsSeries': 281, u'fpsTime': 1552562796317}
{u'decodedSeries': 298, u'videoSeries': 11.576277, u'presentedSeries': 287, u'presentedTime': 1552562796637, u'decodedTime': 1552562796635, u'fpsSeries': 287, u'fpsTime': 1552562796637}
{u'decodedSeries': 325, u'videoSeries': 12.72, u'presentedSeries': 315, u'presentedTime': 1552562797836, u'decodedTime': 1552562797836, u'fpsSeries': 314, u'fpsTime': 1552562797837}
{u'decodedSeries': 336, u'videoSeries': 13.07292, u'presentedSeries': 323, u'presentedTime': 1552562798135, u'decodedTime': 1552562798135, u'fpsSeries': 322, u'fpsTime': 1552562798135}
{u'decodedSeries': 378, u'videoSeries': 14.298109, u'presentedSeries': 367, u'presentedTime': 1552562799997, u'decodedTime': 1552562799996, u'fpsSeries': 360, u'fpsTime': 1552562799997}
{u'decodedSeries': 378, u'videoSeries': 14.92, u'presentedSeries': 367, u'presentedTime': 1552562800032, u'decodedTime': 1552562800032, u'fpsSeries': 360, u'fpsTime': 1552562800032}
{u'decodedSeries': 420, u'videoSeries': 16.437483, u'presentedSeries': 402, u'presentedTime': 1552562801497, u'decodedTime': 1552562801496, u'fpsSeries': 396, u'fpsTime': 1552562801497}
{u'decodedSeries': 421, u'videoSeries': 16.477949, u'presentedSeries': 403, u'presentedTime': 1552562801538, u'decodedTime': 1552562801538, u'fpsSeries': 397, u'fpsTime': 1552562801538}
{u'decodedSeries': 439, u'videoSeries': 17.36, u'presentedSeries': 424, u'presentedTime': 1552562802997, u'decodedTime': 1552562802997, u'fpsSeries': 414, u'fpsTime': 1552562802997}
{u'decodedSeries': 439, u'videoSeries': 17.36, u'presentedSeries': 424, u'presentedTime': 1552562803039, u'decodedTime': 1552562803038, u'fpsSeries': 414, u'fpsTime': 1552562803039}
{u'decodedSeries': 482, u'videoSeries': 19.08, u'presentedSeries': 425, u'presentedTime': 1552562804498, u'decodedTime': 1552562804497, u'fpsSeries': 416, u'fpsTime': 1552562804498}
{u'decodedSeries': 484, u'videoSeries': 19.08, u'presentedSeries': 425, u'presentedTime': 1552562804557, u'decodedTime': 1552562804552, u'fpsSeries': 416, u'fpsTime': 1552562804557}
{u'decodedSeries': 531, u'videoSeries': 20.934706, u'presentedSeries': 447, u'presentedTime': 1552562805998, u'decodedTime': 1552562805998, u'fpsSeries': 438, u'fpsTime': 1552562805998}
{u'decodedSeries': 531, u'videoSeries': 20.976027, u'presentedSeries': 448, u'presentedTime': 1552562806074, u'decodedTime': 1552562806074, u'fpsSeries': 440, u'fpsTime': 1552562806074}
{u'decodedSeries': 570, u'videoSeries': 22.456404, u'presentedSeries': 483, u'presentedTime': 1552562807499, u'decodedTime': 1552562807498, u'fpsSeries': 475, u'fpsTime': 1552562807499}
{u'decodedSeries': 571, u'videoSeries': 22.539747, u'presentedSeries': 485, u'presentedTime': 1552562807576, u'decodedTime': 1552562807575, u'fpsSeries': 477, u'fpsTime': 1552562807576}
{u'decodedSeries': 605, u'videoSeries': 23.846907, u'presentedSeries': 519, u'presentedTime': 1552562809000, u'decodedTime': 1552562809000, u'fpsSeries': 504, u'fpsTime': 1552562809000}
{u'decodedSeries': 606, u'videoSeries': 23.92, u'presentedSeries': 520, u'presentedTime': 1552562809076, u'decodedTime': 1552562809076, u'fpsSeries': 504, u'fpsTime': 1552562809076}
{u'decodedSeries': 645, u'videoSeries': 25.439955, u'presentedSeries': 534, u'presentedTime': 1552562810500, u'decodedTime': 1552562810500, u'fpsSeries': 519, u'fpsTime': 1552562810500}
{u'decodedSeries': 647, u'videoSeries': 25.522413, u'presentedSeries': 536, u'presentedTime': 1552562810579, u'decodedTime': 1552562810579, u'fpsSeries': 522, u'fpsTime': 1552562810579}
{u'decodedSeries': 682, u'videoSeries': 26.948072, u'presentedSeries': 571, u'presentedTime': 1552562812001, u'decodedTime': 1552562812000, u'fpsSeries': 554, u'fpsTime': 1552562812001}
{u'decodedSeries': 685, u'videoSeries': 27.030073, u'presentedSeries': 574, u'presentedTime': 1552562812117, u'decodedTime': 1552562812117, u'fpsSeries': 557, u'fpsTime': 1552562812117}
