name,unit,avg,count,max,min,std,sum,architectures,benchmarks,benchmarkStart,bots,builds,deviceIds,displayLabel,masters,memoryAmounts,osNames,osVersions,productVersions,stories,storysetRepeats,traceStart,traceUrls
timeToFirstContentfulPaint:v8_runtime,ms,0,1,0,0,0,0,armeabi-v7a,loading.mobile,2019-05-13 17:49:59,,,02cf35f5d023e161,loading.mobile 2019-05-13 17:49:59,,,android,M,,Paypal,1,2019-05-13 17:58:43,file:///home/ehsan/chromium/src/tools/perf/Paypal_2019-05-13_22-58-43_3680.html
metrics_duration,ms,6389.715,1,6389.715,6389.715,0,6389.715,armeabi-v7a,loading.mobile,2019-05-13 17:49:59,,,02cf35f5d023e161,loading.mobile 2019-05-13 17:49:59,,,android,M,,4Chan,0,2019-05-13 17:54:25,file:///home/ehsan/chromium/src/tools/perf/4Chan_2019-05-13_22-54-25_46425.html
trace_import_duration,ms,8004.925,1,8004.925,8004.925,0,8004.925,armeabi-v7a,loading.mobile,2019-05-13 17:49:59,,,02cf35f5d023e161,loading.mobile 2019-05-13 17:49:59,,,android,M,,Paypal,0,2019-05-13 17:52:18,file:///home/ehsan/chromium/src/tools/perf/Paypal_2019-05-13_22-52-18_65323.html
timeToFirstContentfulPaint,ms,17823.853,1,17823.853,17823.853,0,17823.853,armeabi-v7a,loading.mobile,2019-05-13 17:49:59,,,02cf35f5d023e161,loading.mobile 2019-05-13 17:49:59,,,android,M,,Live,1,2019-05-13 18:01:31,file:///home/ehsan/chromium/src/tools/perf/Live_2019-05-13_23-01-31_58271.html
timeToFirstContentfulPaint:startup,ms,21.093,1,21.093,21.093,0,21.093,armeabi-v7a,loading.mobile,2019-05-13 17:49:59,,,02cf35f5d023e161,loading.mobile 2019-05-13 17:49:59,,,android,M,,4Chan,0,2019-05-13 17:54:25,file:///home/ehsan/chromium/src/tools/perf/4Chan_2019-05-13_22-54-25_46425.html
timeToFirstViewportReady,ms,,0,-Infinity,Infinity,,0,armeabi-v7a,loading.mobile,2019-05-13 17:49:59,,,02cf35f5d023e161,loading.mobile 2019-05-13 17:49:59,,,android,M,,Paypal,1,2019-05-13 17:58:43,file:///home/ehsan/chromium/src/tools/perf/Paypal_2019-05-13_22-58-43_3680.html
timeToFirstContentfulPaint:other,ms,2574.687,1,2574.687,2574.687,0,2574.687,armeabi-v7a,loading.mobile,2019-05-13 17:49:59,,,02cf35f5d023e161,loading.mobile 2019-05-13 17:49:59,,,android,M,,Paypal,0,2019-05-13 17:52:18,file:///home/ehsan/chromium/src/tools/perf/Paypal_2019-05-13_22-52-18_65323.html
timeToFirstContentfulPaint:other,ms,10644.318,1,10644.318,10644.318,0,10644.318,armeabi-v7a,loading.mobile,2019-05-13 17:49:59,,,02cf35f5d023e161,loading.mobile 2019-05-13 17:49:59,,,android,M,,Live,1,2019-05-13 18:01:31,file:///home/ehsan/chromium/src/tools/perf/Live_2019-05-13_23-01-31_58271.html
timeToFirstContentfulPaint:overhead,ms,0,1,0,0,0,0,armeabi-v7a,loading.mobile,2019-05-13 17:49:59,,,02cf35f5d023e161,loading.mobile 2019-05-13 17:49:59,,,android,M,,Trello,1,2019-05-13 17:56:44,file:///home/ehsan/chromium/src/tools/perf/Trello_2019-05-13_22-56-44_35604.html
timeToFirstContentfulPaint:raster,ms,0,1,0,0,0,0,armeabi-v7a,loading.mobile,2019-05-13 17:49:59,,,02cf35f5d023e161,loading.mobile 2019-05-13 17:49:59,,,android,M,,Paypal,0,2019-05-13 17:52:18,file:///home/ehsan/chromium/src/tools/perf/Paypal_2019-05-13_22-52-18_65323.html
