name,unit,avg,count,max,min,std,sum,architectures,benchmarks,benchmarkStart,bots,builds,deviceIds,displayLabel,masters,memoryAmounts,osNames,osVersions,productVersions,stories,storysetRepeats,traceStart,traceUrls
timeToFirstContentfulPaint:script_execute,ms,0,1,0,0,0,0,armeabi-v7a,loading.mobile,2019-05-13 18:12:15,,,02cf35f5d023e161,loading.mobile 2019-05-13 18:12:15,,,android,M,,Live,1,2019-05-13 18:24:57,file:///home/ehsan/chromium/src/tools/perf/Live_2019-05-13_23-24-57_93455.html
timeToFirstContentfulPaint:composite,ms,0.623,1,0.623,0.623,0,0.623,armeabi-v7a,loading.mobile,2019-05-13 18:12:15,,,02cf35f5d023e161,loading.mobile 2019-05-13 18:12:15,,,android,M,,Trello,1,2019-05-13 18:19:33,file:///home/ehsan/chromium/src/tools/perf/Trello_2019-05-13_23-19-33_49527.html
timeToFirstContentfulPaint:record,ms,81.484,1,81.484,81.484,0,81.484,armeabi-v7a,loading.mobile,2019-05-13 18:12:15,,,02cf35f5d023e161,loading.mobile 2019-05-13 18:12:15,,,android,M,,4Chan,0,2019-05-13 18:16:46,file:///home/ehsan/chromium/src/tools/perf/4Chan_2019-05-13_23-16-46_63037.html
timeToFirstContentfulPaint:layout,ms,1637.495,1,1637.495,1637.495,0,1637.495,armeabi-v7a,loading.mobile,2019-05-13 18:12:15,,,02cf35f5d023e161,loading.mobile 2019-05-13 18:12:15,,,android,M,,Trello,0,2019-05-13 18:12:20,file:///home/ehsan/chromium/src/tools/perf/Trello_2019-05-13_23-12-20_25948.html
timeToFirstContentfulPaint:iframe_creation,ms,0,1,0,0,0,0,armeabi-v7a,loading.mobile,2019-05-13 18:12:15,,,02cf35f5d023e161,loading.mobile 2019-05-13 18:12:15,,,android,M,,Trello,1,2019-05-13 18:19:33,file:///home/ehsan/chromium/src/tools/perf/Trello_2019-05-13_23-19-33_49527.html
timeToFirstContentfulPaint:script_parse_and_compile,ms,0,1,0,0,0,0,armeabi-v7a,loading.mobile,2019-05-13 18:12:15,,,02cf35f5d023e161,loading.mobile 2019-05-13 18:12:15,,,android,M,,Trello,1,2019-05-13 18:19:33,file:///home/ehsan/chromium/src/tools/perf/Trello_2019-05-13_23-19-33_49527.html
loadingMetric_duration,ms,164,1,164,164,0,164,armeabi-v7a,loading.mobile,2019-05-13 18:12:15,,,02cf35f5d023e161,loading.mobile 2019-05-13 18:12:15,,,android,M,,Trello,0,2019-05-13 18:12:20,file:///home/ehsan/chromium/src/tools/perf/Trello_2019-05-13_23-12-20_25948.html
timeToFirstViewportReady,ms,,0,-Infinity,Infinity,,0,armeabi-v7a,loading.mobile,2019-05-13 18:12:15,,,02cf35f5d023e161,loading.mobile 2019-05-13 18:12:15,,,android,M,,4Chan,0,2019-05-13 18:16:46,file:///home/ehsan/chromium/src/tools/perf/4Chan_2019-05-13_23-16-46_63037.html
timeToFirstContentfulPaint:blocked_on_network,ms,118.661,1,118.661,118.661,0,118.661,armeabi-v7a,loading.mobile,2019-05-13 18:12:15,,,02cf35f5d023e161,loading.mobile 2019-05-13 18:12:15,,,android,M,,Live,0,2019-05-13 18:18:05,file:///home/ehsan/chromium/src/tools/perf/Live_2019-05-13_23-18-05_48535.html
timeToFirstContentfulPaint:v8_runtime,ms,0,1,0,0,0,0,armeabi-v7a,loading.mobile,2019-05-13 18:12:15,,,02cf35f5d023e161,loading.mobile 2019-05-13 18:12:15,,,android,M,,Paypal,0,2019-05-13 18:14:45,file:///home/ehsan/chromium/src/tools/perf/Paypal_2019-05-13_23-14-45_31827.html
