name,unit,avg,count,max,min,std,sum,architectures,benchmarks,benchmarkStart,bots,builds,deviceIds,displayLabel,masters,memoryAmounts,osNames,osVersions,productVersions,stories,storysetRepeats,traceStart,traceUrls
timeToFirstContentfulPaint:input,ms,0,1,0,0,0,0,armeabi-v7a,loading.mobile,2019-05-13 18:49:40,,,02cf35f5d023e161,loading.mobile 2019-05-13 18:49:40,,,android,M,,Live,1,2019-05-13 18:55:55,file:///home/ehsan/chromium/src/tools/perf/Live_2019-05-13_23-55-55_98256.html
metrics_duration,ms,3611.367,1,3611.367,3611.367,0,3611.367,armeabi-v7a,loading.mobile,2019-05-13 18:49:40,,,02cf35f5d023e161,loading.mobile 2019-05-13 18:49:40,,,android,M,,4Chan,1,2019-05-13 18:55:14,file:///home/ehsan/chromium/src/tools/perf/4Chan_2019-05-13_23-55-14_99365.html
timeToFirstContentfulPaint:imageDecode,ms,0,1,0,0,0,0,armeabi-v7a,loading.mobile,2019-05-13 18:49:40,,,02cf35f5d023e161,loading.mobile 2019-05-13 18:49:40,,,android,M,,Live,1,2019-05-13 18:55:55,file:///home/ehsan/chromium/src/tools/perf/Live_2019-05-13_23-55-55_98256.html
timeToFirstContentfulPaint:parseHTML,ms,556.272,1,556.272,556.272,0,556.272,armeabi-v7a,loading.mobile,2019-05-13 18:49:40,,,02cf35f5d023e161,loading.mobile 2019-05-13 18:49:40,,,android,M,,Paypal,1,2019-05-13 18:54:17,file:///home/ehsan/chromium/src/tools/perf/Paypal_2019-05-13_23-54-17_29400.html
timeToFirstContentfulPaint:layout,ms,114.613,1,114.613,114.613,0,114.613,armeabi-v7a,loading.mobile,2019-05-13 18:49:40,,,02cf35f5d023e161,loading.mobile 2019-05-13 18:49:40,,,android,M,,Live,0,2019-05-13 18:52:35,file:///home/ehsan/chromium/src/tools/perf/Live_2019-05-13_23-52-35_66936.html
timeToFirstContentfulPaint:composite,ms,0.689,1,0.689,0.689,0,0.689,armeabi-v7a,loading.mobile,2019-05-13 18:49:40,,,02cf35f5d023e161,loading.mobile 2019-05-13 18:49:40,,,android,M,,Paypal,1,2019-05-13 18:54:17,file:///home/ehsan/chromium/src/tools/perf/Paypal_2019-05-13_23-54-17_29400.html
timeToFirstContentfulPaint:renderer_misc,ms,0,1,0,0,0,0,armeabi-v7a,loading.mobile,2019-05-13 18:49:40,,,02cf35f5d023e161,loading.mobile 2019-05-13 18:49:40,,,android,M,,Paypal,1,2019-05-13 18:54:17,file:///home/ehsan/chromium/src/tools/perf/Paypal_2019-05-13_23-54-17_29400.html
cpuTimeToFirstMeaningfulPaint,ms,2084.258,1,2084.258,2084.258,0,2084.258,armeabi-v7a,loading.mobile,2019-05-13 18:49:40,,,02cf35f5d023e161,loading.mobile 2019-05-13 18:49:40,,,android,M,,Trello,0,2019-05-13 18:49:43,file:///home/ehsan/chromium/src/tools/perf/Trello_2019-05-13_23-49-43_76682.html
timeToFirstContentfulPaint:imageDecode,ms,0,1,0,0,0,0,armeabi-v7a,loading.mobile,2019-05-13 18:49:40,,,02cf35f5d023e161,loading.mobile 2019-05-13 18:49:40,,,android,M,,Paypal,1,2019-05-13 18:54:17,file:///home/ehsan/chromium/src/tools/perf/Paypal_2019-05-13_23-54-17_29400.html
trace_import_duration,ms,3808.412,1,3808.412,3808.412,0,3808.412,armeabi-v7a,loading.mobile,2019-05-13 18:49:40,,,02cf35f5d023e161,loading.mobile 2019-05-13 18:49:40,,,android,M,,Live,1,2019-05-13 18:55:55,file:///home/ehsan/chromium/src/tools/perf/Live_2019-05-13_23-55-55_98256.html
timeToFirstContentfulPaint:gpu,ms,0,1,0,0,0,0,armeabi-v7a,loading.mobile,2019-05-13 18:49:40,,,02cf35f5d023e161,loading.mobile 2019-05-13 18:49:40,,,android,M,,Trello,1,2019-05-13 18:53:15,file:///home/ehsan/chromium/src/tools/perf/Trello_2019-05-13_23-53-15_14729.html
timeToFirstContentfulPaint:gc,ms,0,1,0,0,0,0,armeabi-v7a,loading.mobile,2019-05-13 18:49:40,,,02cf35f5d023e161,loading.mobile 2019-05-13 18:49:40,,,android,M,,4Chan,1,2019-05-13 18:55:14,file:///home/ehsan/chromium/src/tools/perf/4Chan_2019-05-13_23-55-14_99365.html
timeToFirstContentfulPaint:raster,ms,0,1,0,0,0,0,armeabi-v7a,loading.mobile,2019-05-13 18:49:40,,,02cf35f5d023e161,loading.mobile 2019-05-13 18:49:40,,,android,M,,Paypal,1,2019-05-13 18:54:17,file:///home/ehsan/chromium/src/tools/perf/Paypal_2019-05-13_23-54-17_29400.html
timeToFirstContentfulPaint:imageDecode,ms,0,1,0,0,0,0,armeabi-v7a,loading.mobile,2019-05-13 18:49:40,,,02cf35f5d023e161,loading.mobile 2019-05-13 18:49:40,,,android,M,,Live,0,2019-05-13 18:52:35,file:///home/ehsan/chromium/src/tools/perf/Live_2019-05-13_23-52-35_66936.html
