name,unit,avg,count,max,min,std,sum,architectures,benchmarks,benchmarkStart,bots,builds,deviceIds,displayLabel,masters,memoryAmounts,osNames,osVersions,productVersions,stories,storysetRepeats,traceStart,traceUrls
timeToFirstContentfulPaint:composite,ms,0.691,1,0.691,0.691,0,0.691,armeabi-v7a,loading.mobile,2019-05-13 19:05:13,,,02cf35f5d023e161,loading.mobile 2019-05-13 19:05:13,,,android,M,,Paypal,1,2019-05-13 19:09:13,file:///home/ehsan/chromium/src/tools/perf/Paypal_2019-05-14_00-09-13_53377.html
timeToFirstContentfulPaint:blocked_on_network,ms,0.235,1,0.235,0.235,0,0.235,armeabi-v7a,loading.mobile,2019-05-13 19:05:13,,,02cf35f5d023e161,loading.mobile 2019-05-13 19:05:13,,,android,M,,4Chan,1,2019-05-13 19:10:04,file:///home/ehsan/chromium/src/tools/perf/4Chan_2019-05-14_00-10-04_133.html
timeToFirstContentfulPaint:parseHTML,ms,455.92,1,455.92,455.92,0,455.92,armeabi-v7a,loading.mobile,2019-05-13 19:05:13,,,02cf35f5d023e161,loading.mobile 2019-05-13 19:05:13,,,android,M,,Paypal,0,2019-05-13 19:06:12,file:///home/ehsan/chromium/src/tools/perf/Paypal_2019-05-14_00-06-12_15456.html
timeToFirstMeaningfulPaint,ms,6563.762,1,6563.762,6563.762,0,6563.762,armeabi-v7a,loading.mobile,2019-05-13 19:05:13,,,02cf35f5d023e161,loading.mobile 2019-05-13 19:05:13,,,android,M,,Live,0,2019-05-13 19:07:39,file:///home/ehsan/chromium/src/tools/perf/Live_2019-05-14_00-07-39_36504.html
timeToFirstContentfulPaint:script_execute,ms,0,1,0,0,0,0,armeabi-v7a,loading.mobile,2019-05-13 19:05:13,,,02cf35f5d023e161,loading.mobile 2019-05-13 19:05:13,,,android,M,,Live,1,2019-05-13 19:10:42,file:///home/ehsan/chromium/src/tools/perf/Live_2019-05-14_00-10-42_61108.html
timeToFirstContentfulPaint:style,ms,455.017,1,455.017,455.017,0,455.017,armeabi-v7a,loading.mobile,2019-05-13 19:05:13,,,02cf35f5d023e161,loading.mobile 2019-05-13 19:05:13,,,android,M,,Paypal,1,2019-05-13 19:09:13,file:///home/ehsan/chromium/src/tools/perf/Paypal_2019-05-14_00-09-13_53377.html
trace_import_duration,ms,3326.977,1,3326.977,3326.977,0,3326.977,armeabi-v7a,loading.mobile,2019-05-13 19:05:13,,,02cf35f5d023e161,loading.mobile 2019-05-13 19:05:13,,,android,M,,Paypal,0,2019-05-13 19:06:12,file:///home/ehsan/chromium/src/tools/perf/Paypal_2019-05-14_00-06-12_15456.html
timeToFirstContentfulPaint:other,ms,1026.267,1,1026.267,1026.267,0,1026.267,armeabi-v7a,loading.mobile,2019-05-13 19:05:13,,,02cf35f5d023e161,loading.mobile 2019-05-13 19:05:13,,,android,M,,4Chan,1,2019-05-13 19:10:04,file:///home/ehsan/chromium/src/tools/perf/4Chan_2019-05-14_00-10-04_133.html
timeToFirstContentfulPaint:resource_loading,ms,114.601,1,114.601,114.601,0,114.601,armeabi-v7a,loading.mobile,2019-05-13 19:05:13,,,02cf35f5d023e161,loading.mobile 2019-05-13 19:05:13,,,android,M,,Live,0,2019-05-13 19:07:39,file:///home/ehsan/chromium/src/tools/perf/Live_2019-05-14_00-07-39_36504.html
timeToFirstContentfulPaint:layout,ms,309.483,1,309.483,309.483,0,309.483,armeabi-v7a,loading.mobile,2019-05-13 19:05:13,,,02cf35f5d023e161,loading.mobile 2019-05-13 19:05:13,,,android,M,,Trello,0,2019-05-13 19:05:16,file:///home/ehsan/chromium/src/tools/perf/Trello_2019-05-14_00-05-16_9082.html
