name,unit,avg,count,max,min,std,sum,architectures,benchmarks,benchmarkStart,bots,builds,deviceIds,displayLabel,masters,memoryAmounts,osNames,osVersions,productVersions,stories,storysetRepeats,traceStart,traceUrls
timeToFirstContentfulPaint:composite,ms,0.514,1,0.514,0.514,0,0.514,armeabi-v7a,loading.mobile,2019-05-13 19:43:25,,,02cf35f5d023e161,loading.mobile 2019-05-13 19:43:25,,,android,M,,Trello,1,2019-05-13 19:46:27,file:///home/ehsan/chromium/src/tools/perf/Trello_2019-05-14_00-46-27_37430.html
trace_import_duration,ms,3211.905,1,3211.905,3211.905,0,3211.905,armeabi-v7a,loading.mobile,2019-05-13 19:43:25,,,02cf35f5d023e161,loading.mobile 2019-05-13 19:43:25,,,android,M,,4Chan,0,2019-05-13 19:45:13,file:///home/ehsan/chromium/src/tools/perf/4Chan_2019-05-14_00-45-13_62093.html
timeToFirstContentfulPaint:record,ms,81.164,1,81.164,81.164,0,81.164,armeabi-v7a,loading.mobile,2019-05-13 19:43:25,,,02cf35f5d023e161,loading.mobile 2019-05-13 19:43:25,,,android,M,,Paypal,1,2019-05-13 19:47:24,file:///home/ehsan/chromium/src/tools/perf/Paypal_2019-05-14_00-47-24_75676.html
metrics_duration,ms,3345.274,1,3345.274,3345.274,0,3345.274,armeabi-v7a,loading.mobile,2019-05-13 19:43:25,,,02cf35f5d023e161,loading.mobile 2019-05-13 19:43:25,,,android,M,,Live,1,2019-05-13 19:48:51,file:///home/ehsan/chromium/src/tools/perf/Live_2019-05-14_00-48-51_24581.html
timeToFirstContentfulPaint:renderer_misc,ms,0,1,0,0,0,0,armeabi-v7a,loading.mobile,2019-05-13 19:43:25,,,02cf35f5d023e161,loading.mobile 2019-05-13 19:43:25,,,android,M,,Live,0,2019-05-13 19:45:48,file:///home/ehsan/chromium/src/tools/perf/Live_2019-05-14_00-45-48_66596.html
timeToFirstContentfulPaint:imageDecode,ms,0,1,0,0,0,0,armeabi-v7a,loading.mobile,2019-05-13 19:43:25,,,02cf35f5d023e161,loading.mobile 2019-05-13 19:43:25,,,android,M,,Live,0,2019-05-13 19:45:48,file:///home/ehsan/chromium/src/tools/perf/Live_2019-05-14_00-45-48_66596.html
timeToFirstContentfulPaint:idle,ms,2365.187,1,2365.187,2365.187,0,2365.187,armeabi-v7a,loading.mobile,2019-05-13 19:43:25,,,02cf35f5d023e161,loading.mobile 2019-05-13 19:43:25,,,android,M,,Paypal,1,2019-05-13 19:47:24,file:///home/ehsan/chromium/src/tools/perf/Paypal_2019-05-14_00-47-24_75676.html
timeToFirstContentfulPaint:raster,ms,0,1,0,0,0,0,armeabi-v7a,loading.mobile,2019-05-13 19:43:25,,,02cf35f5d023e161,loading.mobile 2019-05-13 19:43:25,,,android,M,,4Chan,0,2019-05-13 19:45:13,file:///home/ehsan/chromium/src/tools/perf/4Chan_2019-05-14_00-45-13_62093.html
timeToFirstContentfulPaint:gpu,ms,0,1,0,0,0,0,armeabi-v7a,loading.mobile,2019-05-13 19:43:25,,,02cf35f5d023e161,loading.mobile 2019-05-13 19:43:25,,,android,M,,Trello,1,2019-05-13 19:46:27,file:///home/ehsan/chromium/src/tools/perf/Trello_2019-05-14_00-46-27_37430.html
metrics_duration,ms,4451.085,1,4451.085,4451.085,0,4451.085,armeabi-v7a,loading.mobile,2019-05-13 19:43:25,,,02cf35f5d023e161,loading.mobile 2019-05-13 19:43:25,,,android,M,,Trello,1,2019-05-13 19:46:27,file:///home/ehsan/chromium/src/tools/perf/Trello_2019-05-14_00-46-27_37430.html
timeToFirstContentfulPaint:input,ms,0,1,0,0,0,0,armeabi-v7a,loading.mobile,2019-05-13 19:43:25,,,02cf35f5d023e161,loading.mobile 2019-05-13 19:43:25,,,android,M,,Paypal,0,2019-05-13 19:44:22,file:///home/ehsan/chromium/src/tools/perf/Paypal_2019-05-14_00-44-22_15936.html
timeToFirstPaint,ms,6141.059,1,6141.059,6141.059,0,6141.059,armeabi-v7a,loading.mobile,2019-05-13 19:43:25,,,02cf35f5d023e161,loading.mobile 2019-05-13 19:43:25,,,android,M,,Live,0,2019-05-13 19:45:48,file:///home/ehsan/chromium/src/tools/perf/Live_2019-05-14_00-45-48_66596.html
timeToFirstContentfulPaint:other,ms,1004.872,1,1004.872,1004.872,0,1004.872,armeabi-v7a,loading.mobile,2019-05-13 19:43:25,,,02cf35f5d023e161,loading.mobile 2019-05-13 19:43:25,,,android,M,,4Chan,0,2019-05-13 19:45:13,file:///home/ehsan/chromium/src/tools/perf/4Chan_2019-05-14_00-45-13_62093.html
