,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
Weibo,10877.339,4486.164,260.79,1.031,0.0,2817.017,0.0,0.0,0.0,128.348,0.0,665.197,0.0,244.082,0.0,31.851,0.0,101.146,0.0,0.0,14.72,221.982,0.0,-inf,15412.551,4486.145,-inf,9596.851
Paypal,1450.436,3913.903,1.456,1.2,0.0,2271.225,0.0,0.0,0.0,219.26,0.0,769.525,0.0,202.917,0.0,79.094,0.0,30.637,0.0,0.0,14.253,324.336,0.0,-inf,3913.918,3913.871,-inf,3540.872
Pinterest,5020.082,3231.709,0.585,0.694,0.0,2235.9,0.0,0.0,0.0,6.125,0.0,553.036,0.0,354.627,0.0,7.035,0.0,24.876,0.0,0.0,13.385,35.446,0.0,-inf,8272.72,3231.681,-inf,11155.848
Wikipedia,2476.446,5024.334,0.239,0.883,0.0,2248.973,0.0,0.0,0.0,1396.406,0.0,437.65,0.0,351.793,0.0,55.609,0.0,12.379,0.0,0.0,22.456,497.946,0.0,-inf,5024.348,5024.317,-inf,4675.072
Uptodown,4594.359,4343.209,36.275,2.121,0.0,2351.427,0.0,0.0,0.0,108.059,0.0,1541.365,0.0,443.345,0.0,507.044,0.0,310.996,0.0,0.0,12.366,245.697,0.0,34483.328,7726.782,4343.19,-inf,33565.377
MSN,3112.836,3973.452,0.496,0.778,0.0,2239.336,0.0,0.0,0.0,54.811,0.0,892.032,0.0,724.778,0.0,17.341,0.0,28.209,0.0,0.0,15.601,0.07,0.0,-inf,5695.76,3973.429,-inf,9241.242
Live,2932.595,5927.457,501.924,1.102,0.0,2215.682,0.0,0.0,0.0,79.007,0.0,3001.283,0.0,32.468,0.0,23.245,0.0,21.383,0.0,0.0,15.326,36.037,0.0,-inf,5927.464,5927.438,-inf,4940.416
Cocco,2685.9,5218.782,993.653,1.11,0.0,2532.008,0.0,0.0,0.0,175.015,0.0,729.121,0.0,217.964,0.0,55.506,0.0,99.403,0.0,0.0,13.419,401.583,0.0,-inf,6938.32,5218.763,-inf,12904.58
Taobao,5430.457,3287.338,146.088,1.088,0.0,2256.535,0.0,0.0,0.0,6.412,0.0,660.698,0.0,171.965,0.0,5.924,0.0,15.386,0.0,0.0,12.799,10.443,0.0,-inf,8849.353,3287.322,-inf,10071.673
Booking,1509.925,4284.505,1.499,0.579,0.0,2527.505,0.0,0.0,0.0,87.717,0.0,665.86,0.0,559.939,0.0,49.546,0.0,62.578,0.0,0.0,25.319,303.963,0.0,33156.135,4284.513,4284.485,-inf,25574.713
Baidu,7519.382,3497.344,0.321,0.571,0.0,2270.197,0.0,0.0,0.0,271.515,0.0,470.62,0.0,378.881,0.0,14.236,0.0,12.8,0.0,0.0,17.35,60.853,0.0,-inf,10977.277,3497.326,-inf,13205.484
Reddit,16335.335,3629.539,164.934,0.933,0.0,2280.748,0.0,0.0,0.0,133.846,0.0,713.438,0.0,259.953,0.0,33.767,0.0,26.1,0.0,0.0,15.374,0.446,0.0,-inf,21848.279,3629.508,-inf,22123.986
Mozilla,2150.524,4740.378,1.873,0.92,0.0,2245.01,0.0,0.0,0.0,471.568,0.0,715.19,0.0,704.848,0.0,61.046,0.0,72.125,0.0,0.0,14.375,453.423,0.0,-inf,4740.385,4740.354,-inf,5940.347
Yahoo,2585.704,3596.79,0.749,0.975,0.0,2268.179,0.0,0.0,0.0,104.162,0.0,531.953,0.0,488.724,0.0,21.336,0.0,36.23,0.0,0.0,14.475,130.007,0.0,33631.207,5148.208,3596.758,-inf,28080.179
Diply,1495.059,4098.392,0.925,0.989,0.0,2371.794,0.0,0.0,0.0,123.313,0.0,561.796,0.0,697.112,0.0,36.293,0.0,62.022,0.0,0.0,12.903,231.245,0.0,-inf,4098.407,4098.367,-inf,6842.429
Quora,913.37,3419.564,0.554,0.998,0.0,2317.129,0.0,0.0,0.0,116.74,0.0,457.564,0.0,371.591,0.0,30.18,0.0,25.049,0.0,0.0,14.227,85.532,0.0,-inf,3419.572,3419.547,-inf,4942.434
Amazon,10268.661,3855.076,19.576,0.798,0.0,2263.8,0.0,0.0,0.0,80.173,0.0,912.668,0.0,500.39,0.0,9.584,0.0,49.138,0.0,0.0,18.864,0.085,0.0,-inf,15410.173,3855.054,-inf,6840.611
Facebook,1381.855,4221.622,295.759,0.562,0.0,2302.318,0.0,0.0,0.0,151.677,0.0,823.298,0.0,532.348,0.0,23.942,0.0,52.238,0.0,0.0,20.922,18.558,0.0,-inf,4221.63,4221.601,-inf,6748.863
Jd,1758.918,2603.693,561.391,1.631,0.0,0.215,0.0,0.0,0.0,167.829,0.0,774.723,0.0,721.842,0.0,37.799,0.0,207.654,0.0,0.0,0.0,130.609,0.0,-inf,3057.965,1957.746,-inf,-inf
WhatsApp,2407.539,5273.792,248.069,0.718,0.0,2220.283,0.0,0.0,0.0,491.592,0.0,1205.98,0.0,558.674,0.0,62.063,0.0,154.778,0.0,0.0,14.511,317.124,0.0,-inf,5273.808,5273.776,-inf,6909.696
360,2439.26,3472.671,607.169,0.641,0.0,0.264,0.0,0.0,0.0,1601.436,0.0,492.339,0.0,304.186,0.0,79.44,0.0,170.261,0.0,0.0,0.0,216.935,0.0,-inf,3472.678,3472.652,-inf,5074.857
Yandex,1837.99647,3364.303,0.663,0.698,0.0,2256.591,0.0,0.0,0.0,90.133,0.0,601.73,0.0,368.746,0.0,21.484,0.0,10.12,0.0,0.0,13.875,0.263,0.0,10872.889,4484.662,3364.278,-inf,6240.728
Alipay,1287.589,4305.621,35.978,1.243,0.0,2232.831,0.0,0.0,0.0,75.807,0.0,1086.792,0.0,759.23,0.0,20.8,0.0,55.021,0.0,0.0,15.605,22.314,0.0,-inf,3759.902,3759.882,-inf,-inf
Github,3098.521,5672.921,1.181,0.743,0.0,2242.738,0.0,0.0,0.0,545.116,0.0,1367.994,0.0,1152.473,0.0,93.007,0.0,257.115,0.0,0.0,12.399,0.155,0.0,9022.446,5672.94,5672.895,-inf,9719.627
Ok,2999.699,6160.007,489.75,0.898,0.0,2287.491,0.0,0.0,0.0,480.057,0.0,2081.335,0.0,636.533,0.0,79.504,0.0,89.965,0.0,0.0,14.39,0.084,0.0,-inf,6160.022,6159.984,-inf,6013.564
Netflix,1230.486,3763.938,23.945,1.276,0.0,2274.519,0.0,0.0,0.0,153.104,0.0,635.266,0.0,366.196,0.0,40.893,0.0,49.734,0.0,0.0,17.95,201.055,0.0,12329.777,3763.945,3763.917,-inf,9973.547
Wikia,2903.827,6818.557,612.072,2.296,0.0,2843.836,0.0,0.0,0.0,300.199,0.0,1114.666,0.0,747.35,0.0,173.65,0.0,157.092,0.0,0.0,13.047,854.349,0.0,-inf,6818.573,6818.535,-inf,35192.979
Youtube,2934.182,6509.974,219.801,3.757,0.0,2543.769,0.0,0.0,0.0,307.746,0.0,2111.936,0.0,725.866,0.0,146.504,0.0,196.396,0.0,0.0,15.061,239.138,0.0,-inf,6509.998,3445.118,-inf,5132.596
Bing,1896.261,3102.499,0.0,0.703,0.0,2347.49,0.0,0.0,0.0,16.245,0.0,438.115,0.0,192.303,0.0,9.307,0.0,1.768,0.0,0.0,15.555,81.013,0.0,-inf,4881.674,3102.47,-inf,827.811
BBC,1655.662,4239.656,30.265,0.569,0.0,2297.329,0.0,0.0,0.0,120.183,0.0,980.811,0.0,514.585,0.0,27.963,0.0,76.056,0.0,0.0,14.263,177.632,0.0,-inf,4239.664,4239.631,10882.359,-inf
Sohu,13318.298,16917.099,1.24,2.373,0.0,2265.844,0.0,0.0,0.0,12332.867,0.0,825.779,0.0,444.772,0.0,193.173,0.0,97.095,0.0,0.0,13.867,740.089,0.0,54078.791,16917.106,16917.08,54078.791,51242.529
Ask,729.982,3212.753,46.034,0.961,0.0,2243.904,0.0,0.0,0.0,31.699,0.0,567.147,0.0,104.126,0.0,33.152,0.0,28.606,0.0,0.0,15.108,142.016,0.0,-inf,3212.768,3212.735,-inf,3411.163
