,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
Weibo,10580.49949,3993.952,88.626,0.804,0.0,2601.888,0.0,0.0,0.0,121.047,0.0,642.377,0.0,235.356,0.0,29.301,0.0,31.897,0.0,0.0,17.307,225.349,0.0,-inf,13760.078,3993.933,-inf,8430.352
Paypal,1448.21,3853.686,1.647,1.035,0.0,2324.5,0.0,0.0,0.0,213.843,0.0,671.435,0.0,198.7,0.0,75.994,0.0,38.552,0.0,0.0,16.455,311.525,0.0,-inf,3853.702,3853.664,-inf,2831.422
Pinterest,5042.085,3273.941,0.604,0.533,0.0,2344.282,0.0,0.0,0.0,6.543,0.0,500.145,0.0,338.969,0.0,7.052,0.0,25.927,0.0,0.0,15.202,34.684,0.0,-inf,7879.188,3273.919,-inf,11603.348
Wikipedia,1246.195,2508.446,0.199,0.52,0.0,1152.324,0.0,0.0,0.0,729.033,0.0,213.484,0.0,146.798,0.0,33.202,0.0,6.544,0.0,0.0,7.408,218.934,0.0,-inf,2508.46,2508.421,-inf,2228.557
Uptodown,5393.887,4504.305,30.696,2.171,0.0,2332.736,0.0,0.0,0.0,108.84,0.0,1600.688,0.0,372.125,0.0,426.354,0.0,302.981,0.0,0.0,15.366,286.789,0.0,30956.835,7657.158,4504.278,-inf,30201.512
MSN,3054.471,3771.369,0.819,0.518,0.0,2242.619,0.0,0.0,0.0,49.182,0.0,818.701,0.0,599.992,0.0,15.816,0.0,27.531,0.0,0.0,16.124,0.067,0.0,-inf,5418.895,3771.349,-inf,7175.218
Live,2999.489,6006.237,557.035,0.875,0.0,2300.572,0.0,0.0,0.0,77.15,0.0,2956.746,0.0,34.593,0.0,12.348,0.0,16.327,0.0,0.0,16.891,33.7,0.0,-inf,6006.244,6006.217,-inf,5101.116
Cocco,2380.051,3969.853,395.158,0.897,0.0,2314.461,0.0,0.0,0.0,146.308,0.0,528.389,0.0,145.98,0.0,51.255,0.0,71.816,0.0,0.0,18.147,297.442,0.0,-inf,5326.006,3969.827,-inf,7821.061
Taobao,5039.526,3158.549,73.202,0.844,0.0,2323.166,0.0,0.0,0.0,6.232,0.0,549.211,0.0,160.845,0.0,5.435,0.0,12.284,0.0,0.0,18.086,9.244,0.0,-inf,7790.651,3158.526,-inf,8396.274
Booking,1797.815,4351.467,1.657,0.596,0.0,2363.171,0.0,0.0,0.0,82.399,0.0,813.965,0.0,537.685,0.0,37.936,0.0,57.494,0.0,0.0,17.369,439.195,0.0,30887.489,4351.474,4351.441,-inf,23695.47
