,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
Weibo,12323.523,7466.288,115.46,1.018,0.0,5497.093,0.0,0.0,0.0,197.524,0.0,1033.366,0.0,215.891,0.0,43.905,0.0,43.45,0.0,0.0,31.906,286.675,0.0,-inf,20169.662,7466.266,-inf,11187.442
Quora,955.926,5613.412,0.628,1.151,0.0,4439.967,0.0,0.0,0.0,155.484,0.0,506.251,0.0,351.247,0.0,30.738,0.0,20.65,0.0,0.0,27.236,80.06,0.0,-inf,5613.419,5613.389,-inf,5312.796
Pinterest,5281.329,5365.926,0.616,0.577,0.0,4390.021,0.0,0.0,0.0,8.1,0.0,497.8,0.0,388.63,0.0,7.64,0.0,14.299,0.0,0.0,25.433,32.81,0.0,-inf,10996.547,5365.901,-inf,12523.321
Wikipedia,2622.662,7302.635,0.197,0.985,0.0,4314.74,0.0,0.0,0.0,1535.372,0.0,476.435,0.0,378.177,0.0,55.421,0.0,12.072,0.0,0.0,24.918,504.318,0.0,-inf,7302.649,7302.612,-inf,4844.664
Adf,2761.598,7554.59,602.967,0.785,0.0,4362.617,0.0,0.0,0.0,117.784,0.0,1994.976,0.0,243.456,0.0,9.44,0.0,150.721,0.0,0.0,22.278,49.566,0.0,-inf,8378.783,7554.564,-inf,11175.424
MSN,3437.00946,6244.825,0.64,0.671,0.0,4372.609,0.0,0.0,0.0,50.013,0.0,1035.189,0.0,709.726,0.0,20.414,0.0,30.447,0.0,0.0,25.031,0.085,0.0,-inf,8280.636,6244.796,-inf,8109.047
Live,3401.741,8778.99,592.162,1.247,0.0,4384.257,0.0,0.0,0.0,110.713,0.0,3546.222,0.0,44.138,0.0,19.203,0.0,17.41,0.0,0.0,23.518,40.12,0.0,-inf,8778.997,8778.969,-inf,5177.076
Cocco,2787.168,7824.291,1061.965,1.255,0.0,4904.84,0.0,0.0,0.0,217.377,0.0,755.292,0.0,220.188,0.0,68.201,0.0,91.938,0.0,0.0,32.721,470.514,0.0,22751.592,9961.8,7824.262,-inf,15122.067
Taobao,6010.13949,5426.493,79.395,1.197,0.0,4369.605,0.0,0.0,0.0,6.075,0.0,675.215,0.0,237.389,0.0,8.397,0.0,16.074,0.0,0.0,21.871,11.275,0.0,-inf,11875.847,5426.47,-inf,10638.865
Booking,1390.194,6062.069,1.127,0.641,0.0,4371.204,0.0,0.0,0.0,90.097,0.0,580.774,0.0,592.823,0.0,40.212,0.0,62.938,0.0,0.0,23.921,298.332,0.0,34840.481,6062.077,6062.044,-inf,25305.921
Baidu,8582.084,5729.502,0.317,0.542,0.0,4356.247,0.0,0.0,0.0,313.658,0.0,534.903,0.0,408.592,0.0,12.075,0.0,12.468,0.0,0.0,25.52,65.18,0.0,-inf,14305.535,5729.481,-inf,15504.52
Reddit,16628.566,6314.833,480.995,4.473,0.0,4430.557,0.0,0.0,0.0,161.703,0.0,633.904,0.0,318.884,0.0,35.952,0.0,223.523,0.0,0.0,24.491,0.351,0.0,-inf,25487.839,6314.76,-inf,23789.559
Paypal,1545.12,6313.255,112.021,1.148,0.0,4403.921,0.0,0.0,0.0,236.489,0.0,657.902,0.0,272.767,0.0,85.493,0.0,166.588,0.0,0.0,23.724,353.202,0.0,-inf,6313.269,6313.216,-inf,3919.273
Yahoo,2651.684,5806.88,1.165,1.009,0.0,4371.936,0.0,0.0,0.0,130.404,0.0,544.101,0.0,534.984,0.0,21.086,0.0,37.461,0.0,0.0,23.223,141.511,0.0,-inf,7429.791,5806.852,-inf,28575.769
Diply,2297.764,9333.588,6.441,1.354,0.0,6115.69,0.0,0.0,0.0,238.881,0.0,962.987,0.0,1277.4,0.0,66.921,0.0,134.345,0.0,0.0,31.973,497.596,0.0,-inf,9333.611,9333.559,-inf,11469.93
Amazon,7089.341,6084.837,0.885,0.764,0.0,4435.764,0.0,0.0,0.0,117.778,0.0,935.647,0.0,498.768,0.0,8.546,0.0,61.307,0.0,0.0,25.251,0.127,0.0,-inf,13949.006,6084.818,-inf,21355.296
Facebook,1486.049,6633.837,352.273,0.59,0.0,4398.414,0.0,0.0,0.0,219.755,0.0,925.364,0.0,594.406,0.0,33.933,0.0,66.705,0.0,0.0,24.884,17.513,0.0,-inf,6633.845,6633.811,-inf,7221.079
Ask,780.025,5382.621,16.442,1.013,0.0,4361.324,0.0,0.0,0.0,37.405,0.0,583.492,0.0,126.765,0.0,28.36,0.0,21.788,0.0,0.0,22.207,183.825,0.0,-inf,5382.727,5382.598,-inf,3537.052
WhatsApp,2901.845,8556.395,88.222,0.821,0.0,4863.228,0.0,0.0,0.0,485.048,0.0,1480.361,0.0,754.618,0.0,72.165,0.0,312.629,0.0,0.0,28.292,471.011,0.0,-inf,8556.411,8556.365,-inf,7977.04
