,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
Weibo,12663.541,8183.978,679.689,1.024,0.0,5533.604,0.0,0.0,0.0,215.378,0.0,988.003,0.0,313.17,0.0,56.632,0.0,72.251,0.0,0.0,29.724,294.503,0.0,-inf,20972.879,8183.962,-inf,11875.967
Quora,950.179,5535.157,0.782,1.037,0.0,4378.102,0.0,0.0,0.0,150.904,0.0,515.949,0.0,336.319,0.0,32.068,0.0,17.326,0.0,0.0,23.418,79.252,0.0,-inf,5535.224,5535.133,-inf,5339.066
Pinterest,5171.736,5398.679,0.768,0.574,0.0,4352.361,0.0,0.0,0.0,12.828,0.0,557.977,0.0,371.163,0.0,8.873,0.0,34.131,0.0,0.0,22.715,37.289,0.0,-inf,10824.078,5398.657,-inf,11849.778
Wikipedia,2592.078,7248.17,0.182,0.85,0.0,4364.342,0.0,0.0,0.0,1447.259,0.0,492.58,0.0,348.883,0.0,55.921,0.0,12.933,0.0,0.0,30.837,494.383,0.0,-inf,7248.185,7248.144,-inf,4764.473
Adf,2711.521,7456.954,561.742,0.622,0.0,4347.15,0.0,0.0,0.0,126.82,0.0,1849.917,0.0,213.542,0.0,9.466,0.0,282.774,0.0,0.0,24.411,40.51,0.0,-inf,8238.57,7456.929,-inf,11172.727
MSN,3511.315,6219.232,0.579,0.602,0.0,4355.686,0.0,0.0,0.0,53.677,0.0,1042.607,0.0,689.933,0.0,17.78,0.0,33.629,0.0,0.0,24.669,0.07,0.0,-inf,8299.299,6219.208,-inf,16614.183
Live,3383.299,8715.12,585.193,1.149,0.0,4379.127,0.0,0.0,0.0,103.992,0.0,3513.154,0.0,35.344,0.0,17.809,0.0,21.873,0.0,0.0,21.293,36.186,0.0,-inf,8715.128,8715.103,-inf,5097.857
Cocco,2431.896,6876.344,1077.49,1.136,0.0,4378.426,0.0,0.0,0.0,144.083,0.0,651.057,0.0,142.428,0.0,47.621,0.0,73.199,0.0,0.0,26.493,334.411,0.0,21463.343,9147.484,6876.32,-inf,14519.314
Taobao,5444.412,5553.892,217.66,0.834,0.0,4387.824,0.0,0.0,0.0,6.156,0.0,673.468,0.0,199.044,0.0,7.94,0.0,14.901,0.0,0.0,25.392,20.673,0.0,-inf,11323.002,5553.87,-inf,10848.078
Booking,1396.03,6032.467,1.123,0.616,0.0,4356.083,0.0,0.0,0.0,90.882,0.0,579.955,0.0,568.908,0.0,40.41,0.0,77.928,0.0,0.0,25.008,291.554,0.0,34854.533,6032.475,6032.442,-inf,25436.987
Baidu,9543.317,5723.064,0.465,0.636,0.0,4387.864,0.0,0.0,0.0,327.047,0.0,510.009,0.0,378.691,0.0,13.915,0.0,18.374,0.0,0.0,24.564,61.499,0.0,-inf,15330.459,5723.048,-inf,15682.247
Reddit,16915.806,6092.705,333.811,1.9,0.0,4398.292,0.0,0.0,0.0,156.307,0.0,619.637,0.0,281.894,0.0,39.412,0.0,239.467,0.0,0.0,21.727,0.258,0.0,31368.028,25862.831,6092.679,-inf,24267.057
Paypal,1806.232,7256.847,2.321,1.136,0.0,4920.531,0.0,0.0,0.0,325.092,0.0,1012.474,0.0,297.67,0.0,105.344,0.0,38.029,0.0,0.0,26.951,527.299,0.0,-inf,7256.863,7256.827,-inf,4615.37
Yahoo,2680.804,5841.006,0.704,0.939,0.0,4377.255,0.0,0.0,0.0,126.611,0.0,564.136,0.0,525.972,0.0,19.753,0.0,41.865,0.0,0.0,37.679,146.092,0.0,-inf,7485.899,5840.966,-inf,28591.966
Diply,1822.406,7326.868,1.305,1.346,0.0,4925.054,0.0,0.0,0.0,176.415,0.0,730.886,0.0,953.328,0.0,57.482,0.0,91.512,0.0,0.0,28.076,361.464,0.0,-inf,7326.888,7326.851,-inf,8757.508
Amazon,13749.592,6131.239,12.702,0.882,0.0,4402.183,0.0,0.0,0.0,127.824,0.0,999.962,0.0,498.445,0.0,9.246,0.0,59.298,0.0,0.0,20.626,0.071,0.0,-inf,22371.935,6131.219,-inf,8551.043
Facebook,1449.967,6539.162,430.275,0.557,0.0,4367.596,0.0,0.0,0.0,169.131,0.0,895.486,0.0,558.248,0.0,24.225,0.0,54.051,0.0,0.0,22.795,16.798,0.0,-inf,6539.17,6539.137,-inf,6919.791
Ask,772.336,5376.949,34.948,1.284,0.0,4349.758,0.0,0.0,0.0,32.37,0.0,580.71,0.0,126.262,0.0,26.918,0.0,27.76,0.0,0.0,25.75,171.189,0.0,-inf,5376.966,5376.92,-inf,3574.492
WhatsApp,2955.92747,8915.796,251.543,0.798,0.0,4914.637,0.0,0.0,0.0,499.148,0.0,1543.772,0.0,804.804,0.0,72.833,0.0,333.088,0.0,0.0,29.118,466.055,0.0,-inf,8915.814,8915.766,-inf,8380.903
360,3397.959,5733.403,809.067,0.743,0.0,0.306,0.0,0.0,0.0,3099.047,0.0,642.309,0.0,506.726,0.0,71.088,0.0,262.543,0.0,0.0,0.0,341.574,0.0,-inf,5733.412,5733.382,-inf,8210.532
Alipay,1667.153,6372.462,15.958,1.443,0.0,4314.933,0.0,0.0,0.0,101.044,0.0,1054.841,0.0,760.245,0.0,15.719,0.0,63.955,0.0,0.0,23.459,20.865,0.0,-inf,6372.48,5827.007,-inf,-inf
Github,3637.53,8487.35,1.18,0.94,0.0,4442.492,0.0,0.0,0.0,687.348,0.0,1454.217,0.0,951.503,0.0,99.499,0.0,243.26,0.0,0.0,25.154,581.757,0.0,12779.842,8487.366,8487.32,-inf,10940.899
Ok,3048.103,8352.829,556.342,0.955,0.0,4409.176,0.0,0.0,0.0,456.495,0.0,2071.783,0.0,663.849,0.0,77.766,0.0,90.68,0.0,0.0,25.696,0.087,0.0,-inf,8352.843,8352.81,-inf,6233.364
Netflix,1172.547,5779.653,10.797,0.798,0.0,4367.043,0.0,0.0,0.0,171.52,0.0,648.411,0.0,301.761,0.0,37.2,0.0,27.089,0.0,0.0,23.839,191.195,0.0,14219.946,5779.66,5779.627,-inf,9882.162
Wikia,2433.693,8619.105,456.972,1.876,0.0,4976.778,0.0,0.0,0.0,171.185,0.0,1234.559,0.0,773.359,0.0,123.467,0.0,106.353,0.0,0.0,26.723,747.833,0.0,-inf,8619.123,8619.089,-inf,36245.854
Youtube,3010.313,8204.419,260.816,2.586,0.0,4394.318,0.0,0.0,0.0,315.454,0.0,2105.237,0.0,655.47,0.0,120.476,0.0,81.25,0.0,0.0,23.918,244.894,0.0,-inf,8204.448,5337.801,-inf,4568.78
Bing,683.387,5242.35,0.024,0.664,0.0,4377.882,0.0,0.0,0.0,16.57,0.0,470.374,0.0,231.734,0.0,10.664,0.0,2.588,0.0,0.0,23.239,108.611,0.0,-inf,5242.343,5242.323,-inf,942.623
BBC,11721.769,13132.098,606.974,3.907,0.0,4405.304,0.0,0.0,0.0,554.202,0.0,9711.201,0.0,913.415,0.0,846.26,0.0,352.275,0.0,0.0,24.862,183.364,0.0,-inf,14216.027,13132.077,13166.696,32685.154
Sohu,18819.863499,24863.109,1.031,1.634,0.0,4407.708,0.0,0.0,0.0,18152.025,0.0,770.133,0.0,514.107,0.0,169.874,0.0,88.938,0.0,0.0,23.544,734.115,0.0,66663.739,24863.117,24863.078,-inf,61604.609
Jd,2192.117,4046.581,688.581,1.812,0.0,0.23,0.0,0.0,0.0,267.912,0.0,1091.23,0.0,1286.89,0.0,61.429,0.0,410.006,0.0,0.0,0.0,238.491,0.0,-inf,4637.743,2871.286,-inf,-inf
Nicovideo,3454.141,7340.123,72.691,0.63,0.0,4380.593,0.0,0.0,0.0,184.669,0.0,1975.291,0.0,374.175,0.0,29.705,0.0,134.734,0.0,0.0,25.927,161.708,0.0,-inf,8545.621,7340.1,-inf,36744.386
