,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
Weibo,9828.730517900703,1746.681999999797,95.90600000024642,0.0,0.0,0.3549999997194391,0.0,0.0,0.0,179.8719999999994,0.0,711.4860000000153,0.0,238.45699999996577,0.0,0.6820000000006985,0.0,519.9239999998499,0.0,0.0,0.0,0.0,0.0,-inf,16062.80700000003,1746.6479999998119,-inf,13650.446999999927
Quora,996.9455768313768,1248.3729999996722,4.284000000076048,0.0,0.0,0.11400000000503496,0.0,0.0,0.0,179.44500000000335,0.0,421.56499999963125,0.0,462.74999999996,0.0,0.4059999999954016,0.0,179.8090000000011,0.0,0.0,0.0,0.0,0.0,-inf,5003.526000000071,1248.3309999997728,-inf,4503.221999999601
Pinterest,4895.221133527681,1160.0540000000037,1.0610000001761364,0.0,0.0,0.11399999980858411,0.0,0.0,0.0,6.626000000000204,0.0,414.6260000000184,0.0,457.729999999985,0.0,0.07300000000032014,0.0,279.8240000000151,0.0,0.0,0.0,0.0,0.0,19657.114999999874,9304.169999999925,1160.0169999999925,-inf,11159.033000000054
Wikipedia,1949.7846467421914,2078.7140000000363,0.5390000000516011,0.0,0.0,0.1559999999772117,0.0,0.0,0.0,1065.1020000000026,0.0,562.9920000000129,0.0,253.03799999997864,0.0,0.12299999999959255,0.0,196.76400000001377,0.0,0.0,0.0,0.0,0.0,-inf,5589.703000000038,2078.6840000000084,-inf,3304.226000000024
Uptodown,6544.700917387433,3618.6100000003353,2.1180000001113513,0.0,0.0,0.19000000050800736,0.0,0.0,0.0,219.06300000000192,0.0,2163.422000000013,0.0,665.9509999998627,0.0,11.788000000000466,0.0,915.8610000000044,0.0,0.0,0.0,0.0,0.0,-inf,9241.007999999914,3618.570000000298,-inf,14757.539000000339
MSN,3627.0312811295194,2487.3970000001136,1.1459999999533466,0.0,0.0,0.08400000014080433,0.0,0.0,0.0,71.28799999999683,0.0,1244.4379999999983,0.0,719.2320000000291,0.0,0.2739999999976135,0.0,450.9349999999977,0.0,0.0,0.0,0.0,0.0,-inf,7958.528999999864,2487.3640000000596,-inf,7450.760000000009
Live,2682.9745961705553,3118.6750000000466,143.87000000009357,0.0,0.0,69.79099999993196,0.0,0.0,0.0,113.06000000000131,0.0,1619.0810000000056,0.0,1031.3580000000075,0.0,0.0790000000015425,0.0,141.43600000000515,0.0,0.0,0.0,0.0,0.0,-inf,6864.859999999986,3118.625,-inf,4163.021999999997
Cocco,3201.580415734457,1829.8570000003092,53.63899999978457,0.0,0.0,0.3949999998185376,0.0,0.0,0.0,198.61900000000242,0.0,1086.5790000007219,0.0,154.99799999997776,0.0,0.32000000000334694,0.0,335.3070000000007,0.0,0.0,0.0,0.0,0.0,-inf,7808.429999999702,1829.8209999999963,-inf,8629.422000000253
Taobao,4648.958420971063,1443.2569999999832,121.07200000011653,0.0,0.0,0.36699999988559284,0.0,0.0,0.0,7.80199999999968,0.0,852.9200000000164,0.0,209.96399999997448,0.0,0.08399999999892316,0.0,251.0479999999916,0.0,0.0,0.0,0.0,0.0,-inf,9827.475000000093,1443.2179999999935,-inf,8579.758999999962
Booking,1816.9543513409694,1748.4010000000708,1.5750000000589353,0.0,0.0,0.11299999968105112,0.0,0.0,0.0,148.625,0.0,765.4570000004242,0.0,624.2949999998891,0.0,0.1320000000014261,0.0,208.2040000000161,0.0,0.0,0.0,0.0,0.0,28448.576999999757,5918.003999999724,1748.3629999998957,-inf,13736.424000000115
