name,unit,avg,count,max,min,std,sum,architectures,benchmarks,benchmarkStart,bots,builds,deviceIds,displayLabel,masters,memoryAmounts,osNames,osVersions,productVersions,stories,storysetRepeats,traceStart,traceUrls
memory:chrome:gpu_process:reported_by_os:system_memory:ashmem:proportional_resident_size,B,463872,1,463872,463872,0,463872,armeabi-v7a,memory.top_10_mobile,2019-05-28 16:16:39,,,078f5c4425187fe8,memory.top_10_mobile 2019-05-28 16:16:39,,1945096192,android,M,,1 JPEG/JPG Page,0,2019-05-28 16:17:01,file:///home/fatima/chromium/src/tools/perf/1_JPEG_JPG_Page_2019-05-28_21-17-01_74610.html
memory:chrome:all_processes:reported_by_chrome:v8:heap:large_object_space:allocated_objects_size,B,480,1,480,480,0,480,armeabi-v7a,memory.top_10_mobile,2019-05-28 16:16:39,,,078f5c4425187fe8,memory.top_10_mobile 2019-05-28 16:16:39,,1945096192,android,M,,1 JPEG/JPG Page,0,2019-05-28 16:17:01,file:///home/fatima/chromium/src/tools/perf/1_JPEG_JPG_Page_2019-05-28_21-17-01_74610.html
memory:chrome:renderer_processes:reported_by_chrome:allocated_objects_size,B,56503808,1,56503808,56503808,0,56503808,armeabi-v7a,memory.top_10_mobile,2019-05-28 16:16:39,,,078f5c4425187fe8,memory.top_10_mobile 2019-05-28 16:16:39,,1945096192,android,M,,1 JPEG/JPG Page,0,2019-05-28 16:17:01,file:///home/fatima/chromium/src/tools/perf/1_JPEG_JPG_Page_2019-05-28_21-17-01_74610.html
memory:chrome:gpu_process:reported_by_os:system_memory:stack:proportional_resident_size,B,176128,1,176128,176128,0,176128,armeabi-v7a,memory.top_10_mobile,2019-05-28 16:16:39,,,078f5c4425187fe8,memory.top_10_mobile 2019-05-28 16:16:39,,1945096192,android,M,,1 JPEG/JPG Page,0,2019-05-28 16:17:01,file:///home/fatima/chromium/src/tools/perf/1_JPEG_JPG_Page_2019-05-28_21-17-01_74610.html
memory:chrome:all_processes:reported_by_os:private_footprint_size,B,105472000,1,105472000,105472000,0,105472000,armeabi-v7a,memory.top_10_mobile,2019-05-28 16:16:39,,,078f5c4425187fe8,memory.top_10_mobile 2019-05-28 16:16:39,,1945096192,android,M,,1 JPEG/JPG Page,0,2019-05-28 16:17:01,file:///home/fatima/chromium/src/tools/perf/1_JPEG_JPG_Page_2019-05-28_21-17-01_74610.html
memory:chrome:all_processes:reported_by_chrome:v8:heap:allocated_objects_size,B,1677836,1,1677836,1677836,0,1677836,armeabi-v7a,memory.top_10_mobile,2019-05-28 16:16:39,,,078f5c4425187fe8,memory.top_10_mobile 2019-05-28 16:16:39,,1945096192,android,M,,1 JPEG/JPG Page,0,2019-05-28 16:17:01,file:///home/fatima/chromium/src/tools/perf/1_JPEG_JPG_Page_2019-05-28_21-17-01_74610.html
memory:chrome:all_processes:reported_by_chrome:components:effective_size,B,0,1,0,0,0,0,armeabi-v7a,memory.top_10_mobile,2019-05-28 16:16:39,,,078f5c4425187fe8,memory.top_10_mobile 2019-05-28 16:16:39,,1945096192,android,M,,1 JPEG/JPG Page,0,2019-05-28 16:17:01,file:///home/fatima/chromium/src/tools/perf/1_JPEG_JPG_Page_2019-05-28_21-17-01_74610.html
memory:chrome:browser_process:reported_by_os:system_memory:java_heap:private_dirty_size,B,7241728,1,7241728,7241728,0,7241728,armeabi-v7a,memory.top_10_mobile,2019-05-28 16:16:39,,,078f5c4425187fe8,memory.top_10_mobile 2019-05-28 16:16:39,,1945096192,android,M,,1 JPEG/JPG Page,0,2019-05-28 16:17:01,file:///home/fatima/chromium/src/tools/perf/1_JPEG_JPG_Page_2019-05-28_21-17-01_74610.html
memory:chrome:gpu_process:reported_by_os:private_dirty_size,B,13103000,1,13103000,13103000,0,13103000,armeabi-v7a,memory.top_10_mobile,2019-05-28 16:16:39,,,078f5c4425187fe8,memory.top_10_mobile 2019-05-28 16:16:39,,1945096192,android,M,,1 JPEG/JPG Page,0,2019-05-28 16:17:01,file:///home/fatima/chromium/src/tools/perf/1_JPEG_JPG_Page_2019-05-28_21-17-01_74610.html
memory:chrome:gpu_process:reported_by_os:system_memory:ashmem:private_dirty_size,B,0,1,0,0,0,0,armeabi-v7a,memory.top_10_mobile,2019-05-28 16:16:39,,,078f5c4425187fe8,memory.top_10_mobile 2019-05-28 16:16:39,,1945096192,android,M,,1 JPEG/JPG Page,0,2019-05-28 16:17:01,file:///home/fatima/chromium/src/tools/perf/1_JPEG_JPG_Page_2019-05-28_21-17-01_74610.html
memory:chrome:renderer_processes:reported_by_os:system_memory:java_heap:proportional_resident_size,B,1277952,1,1277952,1277952,0,1277952,armeabi-v7a,memory.top_10_mobile,2019-05-28 16:16:39,,,078f5c4425187fe8,memory.top_10_mobile 2019-05-28 16:16:39,,1945096192,android,M,,1 JPEG/JPG Page,0,2019-05-28 16:17:01,file:///home/fatima/chromium/src/tools/perf/1_JPEG_JPG_Page_2019-05-28_21-17-01_74610.html
memory:chrome:all_processes:reported_by_chrome:v8:heap:new_space:allocated_objects_size,B,0,1,0,0,0,0,armeabi-v7a,memory.top_10_mobile,2019-05-28 16:16:39,,,078f5c4425187fe8,memory.top_10_mobile 2019-05-28 16:16:39,,1945096192,android,M,,1 JPEG/JPG Page,0,2019-05-28 16:17:01,file:///home/fatima/chromium/src/tools/perf/1_JPEG_JPG_Page_2019-05-28_21-17-01_74610.html
memory:chrome:renderer_processes:reported_by_chrome:v8:heap:old_space:effective_size,B,768920,1,768920,768920,0,768920,armeabi-v7a,memory.top_10_mobile,2019-05-28 16:16:39,,,078f5c4425187fe8,memory.top_10_mobile 2019-05-28 16:16:39,,1945096192,android,M,,1 JPEG/JPG Page,0,2019-05-28 16:17:01,file:///home/fatima/chromium/src/tools/perf/1_JPEG_JPG_Page_2019-05-28_21-17-01_74610.html
memory:chrome:browser_process:reported_by_os:system_memory:stack:proportional_resident_size,B,401408,1,401408,401408,0,401408,armeabi-v7a,memory.top_10_mobile,2019-05-28 16:16:39,,,078f5c4425187fe8,memory.top_10_mobile 2019-05-28 16:16:39,,1945096192,android,M,,1 JPEG/JPG Page,0,2019-05-28 16:17:01,file:///home/fatima/chromium/src/tools/perf/1_JPEG_JPG_Page_2019-05-28_21-17-01_74610.html
memory:chrome:renderer_processes:reported_by_chrome:v8:heap:code_space:allocated_objects_size,B,813184,1,813184,813184,0,813184,armeabi-v7a,memory.top_10_mobile,2019-05-28 16:16:39,,,078f5c4425187fe8,memory.top_10_mobile 2019-05-28 16:16:39,,1945096192,android,M,,1 JPEG/JPG Page,0,2019-05-28 16:17:01,file:///home/fatima/chromium/src/tools/perf/1_JPEG_JPG_Page_2019-05-28_21-17-01_74610.html
memory:chrome:browser_process:reported_by_chrome:malloc:allocated_objects_size,B,48277064,1,48277064,48277064,0,48277064,armeabi-v7a,memory.top_10_mobile,2019-05-28 16:16:39,,,078f5c4425187fe8,memory.top_10_mobile 2019-05-28 16:16:39,,1945096192,android,M,,1 JPEG/JPG Page,0,2019-05-28 16:17:01,file:///home/fatima/chromium/src/tools/perf/1_JPEG_JPG_Page_2019-05-28_21-17-01_74610.html
memory:chrome:gpu_process:reported_by_chrome:gpu:effective_size,B,859468,1,859468,859468,0,859468,armeabi-v7a,memory.top_10_mobile,2019-05-28 16:16:39,,,078f5c4425187fe8,memory.top_10_mobile 2019-05-28 16:16:39,,1945096192,android,M,,1 JPEG/JPG Page,0,2019-05-28 16:17:01,file:///home/fatima/chromium/src/tools/perf/1_JPEG_JPG_Page_2019-05-28_21-17-01_74610.html
memory:chrome:browser_process:reported_by_os:proportional_resident_size,B,118210944,1,118210944,118210944,0,118210944,armeabi-v7a,memory.top_10_mobile,2019-05-28 16:16:39,,,078f5c4425187fe8,memory.top_10_mobile 2019-05-28 16:16:39,,1945096192,android,M,,1 JPEG/JPG Page,0,2019-05-28 16:17:01,file:///home/fatima/chromium/src/tools/perf/1_JPEG_JPG_Page_2019-05-28_21-17-01_74610.html
memory:chrome:all_processes:reported_by_chrome:java_heap:effective_size,B,83032892,1,83032892,83032892,0,83032892,armeabi-v7a,memory.top_10_mobile,2019-05-28 16:16:39,,,078f5c4425187fe8,memory.top_10_mobile 2019-05-28 16:16:39,,1945096192,android,M,,1 JPEG/JPG Page,0,2019-05-28 16:17:01,file:///home/fatima/chromium/src/tools/perf/1_JPEG_JPG_Page_2019-05-28_21-17-01_74610.html
memory:chrome:browser_process:reported_by_chrome:leveldatabase:effective_size,B,24600,1,24600,24600,0,24600,armeabi-v7a,memory.top_10_mobile,2019-05-28 16:16:39,,,078f5c4425187fe8,memory.top_10_mobile 2019-05-28 16:16:39,,1945096192,android,M,,1 JPEG/JPG Page,0,2019-05-28 16:17:01,file:///home/fatima/chromium/src/tools/perf/1_JPEG_JPG_Page_2019-05-28_21-17-01_74610.html
